! Date: 14/08/2026  Time: 14:36:41  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.42640542E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  2.8928171E+01  1.4024580E-04  1.1126220E-01  1.8814387E+22  5.0236270E-03  1.8439613E+22  5.1266055E-03
    2  8.0861471E+02  3.9202209E-03  3.1100566E+00  1.8502218E+22  5.0236270E-03  1.8127445E+22  5.1266055E-03
    3  1.5883013E+03  7.7001959E-03  6.1088510E+00  1.7625531E+22  5.0236270E-03  1.7250758E+22  5.1266055E-03
    4  2.3679878E+03  1.1480171E-02  9.1076454E+00  1.6327864E+22  5.0236270E-03  1.5953091E+22  5.1266055E-03
    5  3.1476743E+03  1.5260146E-02  1.2106440E+01  1.4752347E+22  7.1903850E-02  1.4377574E+22  7.3427872E-02
    6  3.9273609E+03  1.9040121E-02  1.5105234E+01  1.3230994E+22  1.9148739E-01  1.2856221E+22  1.9581441E-01
    7  4.7070474E+03  2.2820096E-02  1.8104029E+01  1.1648182E+22  3.5650950E-01  1.1273409E+22  3.6533543E-01
    8  5.4867340E+03  2.6600071E-02  2.1102823E+01  1.0243229E+22  4.9181294E-01  9.8684554E+21  5.0537680E-01
    9  6.2664205E+03  3.0380046E-02  2.4101617E+01  9.0147971E+21  7.0357147E-01  8.6400237E+21  7.2548873E-01
   10  7.0461070E+03  3.4160021E-02  2.7100412E+01  7.8832493E+21  8.3859395E-01  7.5084759E+21  8.6841114E-01
   11  7.8257936E+03  3.7939996E-02  3.0099206E+01  6.8589949E+21  9.6144718E-01  6.4842215E+21  1.0004959E+00
   12  8.6054801E+03  4.1719971E-02  3.3098000E+01  6.0786234E+21  1.1437470E+00  5.7038501E+21  1.1970057E+00
   13  9.3851667E+03  4.5499946E-02  3.6096795E+01  5.4513025E+21  1.2558767E+00  5.0765291E+21  1.3433875E+00
   14  1.0164853E+04  4.9279922E-02  3.9095589E+01  4.7562465E+21  1.2717434E+00  4.3814732E+21  1.3501618E+00
   15  1.0944540E+04  5.3059897E-02  4.2094384E+01  4.3466907E+21  1.2558767E+00  3.9719173E+21  1.3433875E+00
   16  1.1724226E+04  5.6839872E-02  4.5093178E+01  3.8423573E+21  1.2558767E+00  3.4675839E+21  1.3433875E+00
   17  1.2503913E+04  6.0619847E-02  4.8091972E+01  3.5233244E+21  1.3463077E+00  3.1485510E+21  1.4990567E+00
   18  1.3283599E+04  6.4399822E-02  5.1090767E+01  3.1280234E+21  1.3463077E+00  2.7532500E+21  1.4990567E+00
   19  1.4063286E+04  6.8179797E-02  5.4089561E+01  2.9055425E+21  1.3463077E+00  2.5307691E+21  1.4990567E+00
   20  1.4842972E+04  7.1959772E-02  5.7088356E+01  2.5590815E+21  1.3463077E+00  2.1843081E+21  1.4990567E+00
   21  1.5622659E+04  7.5739747E-02  6.0087150E+01  2.4114052E+21  1.2935572E+00  2.0366318E+21  1.4772541E+00
   22  1.6402346E+04  7.9519722E-02  6.3085944E+01  2.2105262E+21  1.2935572E+00  1.8357529E+21  1.4772541E+00
   23  1.7182032E+04  8.3299697E-02  6.6084739E+01  1.9956565E+21  1.7859446E+00  1.6208831E+21  2.1322068E+00
   24  1.7961719E+04  8.7079672E-02  6.9083533E+01  1.8792021E+21  1.3548391E+00  1.5044287E+21  1.6800435E+00
   25  1.8741405E+04  9.0859647E-02  7.2082327E+01  1.7193557E+21  1.7859446E+00  1.3445823E+21  2.1322068E+00
   26  1.9521092E+04  9.4639622E-02  7.5081122E+01  1.5618387E+21  2.0920782E+00  1.1870654E+21  2.6435207E+00
   27  2.0300778E+04  9.8419597E-02  7.8079916E+01  1.4745945E+21  1.4677049E+00  1.0998211E+21  1.9491674E+00
   28  2.1080465E+04  1.0219957E-01  8.1078711E+01  1.3649051E+21  2.0510250E+00  9.9013175E+20  2.6435207E+00
   29  2.1860151E+04  1.0597955E-01  8.4077505E+01  1.2120709E+21  2.0510250E+00  8.3729757E+20  2.7877854E+00
   30  2.2639838E+04  1.0975952E-01  8.7076299E+01  1.1455348E+21  1.6110069E+00  7.7076139E+20  2.3626495E+00
   31  2.3419524E+04  1.1353950E-01  9.0075094E+01  1.0676363E+21  2.0510250E+00  6.9286296E+20  2.7877854E+00
   32  2.4199211E+04  1.1731947E-01  9.3073888E+01  9.6696594E+20  2.0799340E+00  5.9219256E+20  3.1467776E+00
   33  2.4978897E+04  1.2109945E-01  9.6072683E+01  8.4980743E+20  2.0799340E+00  4.7503405E+20  3.1467776E+00
   34  2.5758584E+04  1.2487942E-01  9.9071477E+01  7.7850543E+20  2.8511256E+00  4.0373205E+20  4.7939082E+00
   35  2.6538271E+04  1.2865940E-01  1.0207027E+02  6.8848648E+20  3.0240994E+00  3.1371310E+20  5.2912573E+00
   36  2.7317957E+04  1.3243937E-01  1.0506907E+02  5.5339741E+20  4.0727859E+00  1.7862404E+20  6.9516255E+00
   37  2.8097644E+04  1.3621935E-01  1.0806786E+02  3.7478533E+20  4.1207434E+00  1.0000000E-99  5.2912573E+00
   38  2.8877330E+04  1.3999932E-01  1.1106665E+02  3.7477323E+20  4.1207434E+00  1.0000000E-99  1.0000000E-99
   39  2.9657017E+04  1.4377930E-01  1.1406545E+02  3.7476081E+20  1.2446541E-03  1.0000000E-99  1.0000000E-99
   40  3.0436703E+04  1.4755927E-01  1.1706424E+02  3.7474805E+20  1.2446541E-03  1.0000000E-99  1.0000000E-99
   41  3.1216390E+04  1.5133925E-01  1.2006304E+02  3.7473496E+20  1.2446541E-03  1.0000000E-99  1.0000000E-99
   42  3.1996076E+04  1.5511922E-01  1.2306183E+02  3.7472153E+20  1.3119792E-03  1.0000000E-99  1.0000000E-99
   43  3.2775763E+04  1.5889920E-01  1.2606063E+02  3.7470778E+20  1.3810846E-03  1.0000000E-99  1.0000000E-99
   44  3.3555449E+04  1.6267917E-01  1.2905942E+02  3.7469369E+20  1.4519710E-03  1.0000000E-99  1.0000000E-99
   45  3.4335136E+04  1.6645915E-01  1.3205822E+02  3.7467927E+20  1.5246391E-03  1.0000000E-99  1.0000000E-99
   46  3.5114822E+04  1.7023912E-01  1.3505701E+02  3.7466452E+20  1.5990897E-03  1.0000000E-99  1.0000000E-99
   47  3.5894509E+04  1.7401910E-01  1.3805580E+02  3.7464944E+20  1.6753237E-03  1.0000000E-99  1.0000000E-99
   48  3.6674196E+04  1.7779907E-01  1.4105460E+02  3.7463402E+20  1.7533417E-03  1.0000000E-99  1.0000000E-99
   49  3.7453882E+04  1.8157905E-01  1.4405339E+02  3.7461828E+20  1.8331448E-03  1.0000000E-99  1.0000000E-99
   50  3.8233569E+04  1.8535902E-01  1.4705219E+02  3.7460220E+20  1.9147336E-03  1.0000000E-99  1.0000000E-99
   51  3.9013255E+04  1.8913900E-01  1.5005098E+02  3.7458579E+20  1.9981091E-03  1.0000000E-99  1.0000000E-99
   52  3.9792942E+04  1.9291897E-01  1.5304978E+02  3.7456904E+20  2.0832722E-03  1.0000000E-99  1.0000000E-99
   53  4.0572628E+04  1.9669895E-01  1.5604857E+02  3.7455197E+20  2.1702238E-03  1.0000000E-99  1.0000000E-99
   54  4.1352315E+04  2.0047892E-01  1.5904736E+02  3.7453456E+20  2.2589648E-03  1.0000000E-99  1.0000000E-99
   55  4.2132001E+04  2.0425890E-01  1.6204616E+02  3.7451682E+20  2.3494961E-03  1.0000000E-99  1.0000000E-99
   56  4.2911688E+04  2.0803887E-01  1.6504495E+02  3.7449874E+20  2.4418187E-03  1.0000000E-99  1.0000000E-99
   57  4.3691374E+04  2.1181885E-01  1.6804375E+02  3.7448034E+20  2.5359336E-03  1.0000000E-99  1.0000000E-99
   58  4.4471061E+04  2.1559882E-01  1.7104254E+02  3.7446160E+20  2.6318419E-03  1.0000000E-99  1.0000000E-99
   59  4.5250748E+04  2.1937880E-01  1.7404134E+02  3.7444253E+20  2.7295444E-03  1.0000000E-99  1.0000000E-99
   60  4.6030434E+04  2.2315877E-01  1.7704013E+02  3.7442312E+20  2.8290424E-03  1.0000000E-99  1.0000000E-99
   61  4.6810121E+04  2.2693875E-01  1.8003893E+02  3.7440339E+20  2.9303367E-03  1.0000000E-99  1.0000000E-99
   62  4.7589807E+04  2.3071872E-01  1.8303772E+02  3.7438332E+20  3.0334286E-03  1.0000000E-99  1.0000000E-99
   63  4.8369494E+04  2.3449870E-01  1.8603651E+02  3.7436292E+20  3.1383191E-03  1.0000000E-99  1.0000000E-99
   64  4.9149180E+04  2.3827867E-01  1.8903531E+02  3.7434218E+20  3.2450094E-03  1.0000000E-99  1.0000000E-99
   65  4.9928867E+04  2.4205865E-01  1.9203410E+02  3.7432111E+20  3.3535005E-03  1.0000000E-99  1.0000000E-99
   66  5.0708553E+04  2.4583862E-01  1.9503290E+02  3.7429971E+20  3.4637937E-03  1.0000000E-99  1.0000000E-99
   67  5.1488240E+04  2.4961860E-01  1.9803169E+02  3.7427798E+20  3.5758901E-03  1.0000000E-99  1.0000000E-99
   68  5.2267926E+04  2.5339857E-01  2.0103049E+02  3.7425591E+20  3.6897909E-03  1.0000000E-99  1.0000000E-99
   69  5.3047613E+04  2.5717855E-01  2.0402928E+02  3.7423351E+20  3.8054974E-03  1.0000000E-99  1.0000000E-99
   70  5.3827299E+04  2.6095852E-01  2.0702807E+02  3.7421078E+20  3.9230107E-03  1.0000000E-99  1.0000000E-99
   71  5.4606986E+04  2.6473850E-01  2.1002687E+02  3.7418771E+20  4.0423322E-03  1.0000000E-99  1.0000000E-99
   72  5.5386673E+04  2.6851847E-01  2.1302566E+02  3.7416431E+20  4.1634632E-03  1.0000000E-99  1.0000000E-99
   73  5.6166359E+04  2.7229845E-01  2.1602446E+02  3.7414058E+20  4.2864048E-03  1.0000000E-99  1.0000000E-99
   74  5.6946046E+04  2.7607842E-01  2.1902325E+02  3.7411651E+20  4.4111585E-03  1.0000000E-99  1.0000000E-99
   75  5.7725732E+04  2.7985840E-01  2.2202205E+02  3.7409211E+20  4.5377256E-03  1.0000000E-99  1.0000000E-99
   76  5.8505419E+04  2.8363837E-01  2.2502084E+02  3.7406738E+20  4.6661074E-03  1.0000000E-99  1.0000000E-99
   77  5.9285105E+04  2.8741835E-01  2.2801964E+02  3.7404231E+20  4.7963054E-03  1.0000000E-99  1.0000000E-99
   78  6.0064792E+04  2.9119832E-01  2.3101843E+02  3.7401691E+20  4.9283208E-03  1.0000000E-99  1.0000000E-99
   79  6.0844478E+04  2.9497830E-01  2.3401722E+02  3.7399117E+20  5.0621552E-03  1.0000000E-99  1.0000000E-99
   80  6.1624165E+04  2.9875828E-01  2.3701602E+02  3.7396510E+20  5.1978100E-03  1.0000000E-99  1.0000000E-99
   81  6.2403851E+04  3.0253825E-01  2.4001481E+02  3.7393870E+20  5.3352866E-03  1.0000000E-99  1.0000000E-99
   82  6.3183538E+04  3.0631823E-01  2.4301361E+02  3.7391196E+20  5.4745865E-03  1.0000000E-99  1.0000000E-99
   83  6.3963224E+04  3.1009820E-01  2.4601240E+02  3.7388489E+20  5.6157113E-03  1.0000000E-99  1.0000000E-99
   84  6.4742911E+04  3.1387818E-01  2.4901120E+02  3.7385748E+20  5.7586624E-03  1.0000000E-99  1.0000000E-99
   85  6.5522598E+04  3.1765815E-01  2.5200999E+02  3.7382974E+20  5.9034414E-03  1.0000000E-99  1.0000000E-99
   86  6.6302284E+04  3.2143813E-01  2.5500878E+02  3.7380167E+20  6.0500498E-03  1.0000000E-99  1.0000000E-99
   87  6.7081971E+04  3.2521810E-01  2.5800758E+02  3.7377326E+20  6.1984892E-03  1.0000000E-99  1.0000000E-99
   88  6.7861657E+04  3.2899808E-01  2.6100637E+02  3.7374452E+20  6.3487613E-03  1.0000000E-99  1.0000000E-99
   89  6.8641344E+04  3.3277805E-01  2.6400517E+02  3.7371544E+20  6.5008676E-03  1.0000000E-99  1.0000000E-99
   90  6.9421030E+04  3.3655803E-01  2.6700396E+02  3.7368603E+20  6.6548098E-03  1.0000000E-99  1.0000000E-99
   91  7.0200717E+04  3.4033800E-01  2.7000276E+02  3.7365628E+20  6.8105895E-03  1.0000000E-99  1.0000000E-99
   92  7.0980403E+04  3.4411798E-01  2.7300155E+02  3.7362620E+20  6.9682085E-03  1.0000000E-99  1.0000000E-99
   93  7.1760090E+04  3.4789795E-01  2.7600035E+02  3.7359579E+20  7.1276685E-03  1.0000000E-99  1.0000000E-99
   94  7.2539776E+04  3.5167793E-01  2.7899914E+02  3.7356503E+20  7.2889711E-03  1.0000000E-99  1.0000000E-99
   95  7.3319463E+04  3.5545790E-01  2.8199793E+02  3.7353395E+20  7.4521181E-03  1.0000000E-99  1.0000000E-99
   96  7.4099149E+04  3.5923788E-01  2.8499673E+02  3.7350253E+20  7.6171113E-03  1.0000000E-99  1.0000000E-99
   97  7.4878836E+04  3.6301785E-01  2.8799552E+02  3.7347077E+20  7.7839525E-03  1.0000000E-99  1.0000000E-99
   98  7.5658523E+04  3.6679783E-01  2.9099432E+02  3.7343868E+20  7.9526434E-03  1.0000000E-99  1.0000000E-99
   99  7.6438209E+04  3.7057780E-01  2.9399311E+02  3.7340625E+20  8.1231860E-03  1.0000000E-99  1.0000000E-99
  100  7.7217896E+04  3.7435778E-01  2.9699191E+02  3.7337349E+20  8.2955820E-03  1.0000000E-99  1.0000000E-99
  101  7.7997582E+04  3.7813775E-01  2.9999070E+02  3.7334039E+20  8.4698334E-03  1.0000000E-99  1.0000000E-99
  102  7.8777269E+04  3.8191773E-01  3.0298950E+02  3.7330696E+20  8.6459420E-03  1.0000000E-99  1.0000000E-99
  103  7.9556955E+04  3.8569770E-01  3.0598829E+02  3.7327319E+20  8.8239097E-03  1.0000000E-99  1.0000000E-99
  104  8.0336642E+04  3.8947768E-01  3.0898708E+02  3.7323908E+20  9.0037385E-03  1.0000000E-99  1.0000000E-99
  105  8.1116328E+04  3.9325765E-01  3.1198588E+02  3.7320464E+20  9.1854303E-03  1.0000000E-99  1.0000000E-99
  106  8.1896015E+04  3.9703763E-01  3.1498467E+02  3.7316986E+20  9.3689872E-03  1.0000000E-99  1.0000000E-99
  107  8.2675701E+04  4.0081760E-01  3.1798347E+02  3.7313475E+20  9.5544110E-03  1.0000000E-99  1.0000000E-99
