! Date: 14/08/2026  Time: 14:39:51  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.42640542E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
   30  3.0262443E+17  1.2877490E-01  2.0229193E+04  9.8072549E-02  7.7804590E+01  1.1750841E-20  2.5273279E+03  1.1750841E-22  2.5273279E+01       Infinity  1.6843173E+01
   31  3.4421131E+17  1.2841919E-01  2.3009105E+04  1.1154975E-01  8.8496557E+01  8.5173104E-21  1.8318719E+03  8.5173104E-23  1.8318719E+01       Infinity  1.7772292E+01
   32  3.9001477E+17  1.2154308E-01  2.6070877E+04  1.2639344E-01  1.0027261E+02  6.2575865E-21  1.3458588E+03  6.2575865E-23  1.3458588E+01       Infinity  1.8806947E+01
   33  4.1508423E+17  6.5897839E-03  2.7746667E+04  1.3451779E-01  1.0671795E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  1.9483058E+01
   34  4.4488764E+17  1.2783342E-01  2.9738902E+04  1.4417628E-01  1.1438039E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  1.9822092E+01
   35  5.0557747E+17  1.2759301E-01  3.3795766E+04  1.6384425E-01  1.2998372E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0111300E+01
   36  5.7448145E+17  1.2759301E-01  3.8401713E+04  1.8617420E-01  1.4769890E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0281647E+01
   37  6.6194049E+17  1.5351570E-01  4.4247989E+04  2.1451735E-01  1.7018457E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0394317E+01
   38  7.8368795E+17  1.8103721E-01  5.2386304E+04  2.5397248E-01  2.0148578E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0484993E+01
   39  9.5410097E+17  2.0852024E-01  6.3777711E+04  3.0919882E-01  2.4529889E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0554971E+01
   40  1.1930248E+18  2.3377410E-01  7.9748782E+04  3.8662769E-01  3.0672609E+02  7.0239995E-23  1.5106961E+01  7.0239995E-25  1.5106961E-01       Infinity  2.0609007E+01
