! Date: 15/08/2026  Time: 02:58:44  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.01079157E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  3.5225613E+01  1.7077624E-04  1.3548313E-01  1.7935138E+22  2.9825349E-03  1.1939275E+22  4.4909587E-03
    2  8.1450327E+02  3.9487690E-03  3.1327049E+00  1.7767914E+22  2.9825349E-03  1.1772051E+22  4.4909587E-03
    3  1.5937809E+03  7.7267618E-03  6.1299267E+00  1.7285458E+22  2.9825349E-03  1.1289595E+22  4.4909587E-03
    4  2.3730586E+03  1.1504755E-02  9.1271484E+00  1.6544329E+22  2.9825349E-03  1.0548466E+22  4.4909587E-03
    5  3.1523363E+03  1.5282747E-02  1.2124370E+01  1.5620560E+22  4.1008910E-02  9.6246972E+21  6.2338115E-02
    6  3.9316139E+03  1.9060740E-02  1.5121592E+01  1.4595912E+22  1.1008640E-01  8.6000487E+21  1.7057532E-01
    7  4.7108916E+03  2.2838733E-02  1.8118814E+01  1.3513477E+22  2.0233325E-01  7.5176136E+21  3.2274513E-01
    8  5.4901692E+03  2.6616726E-02  2.1116035E+01  1.2485530E+22  3.0712832E-01  6.4896672E+21  5.0955823E-01
    9  6.2694469E+03  3.0394718E-02  2.4113257E+01  1.1451655E+22  4.2611968E-01  5.4557921E+21  7.4390990E-01
   10  7.0487245E+03  3.4172711E-02  2.7110479E+01  1.0522074E+22  5.1682833E-01  4.5262114E+21  9.6051522E-01
   11  7.8280022E+03  3.7950704E-02  3.0107701E+01  9.6479710E+21  6.5122228E-01  3.6521079E+21  1.3074261E+00
   12  8.6072799E+03  4.1728697E-02  3.3104923E+01  8.8099236E+21  7.2260110E-01  2.8140606E+21  1.5943571E+00
   13  9.3865575E+03  4.5506690E-02  3.6102144E+01  7.9861984E+21  8.2707623E-01  1.9903354E+21  2.0463420E+00
   14  1.0165835E+04  4.9284682E-02  3.9099366E+01  6.9989810E+21  9.5751208E-01  1.0031180E+21  2.7468205E+00
   15  1.0945113E+04  5.3062675E-02  4.2096588E+01  5.9963980E+21  1.1326134E+00  1.0000000E-99  2.7468205E+00
   16  1.1724391E+04  5.6840668E-02  4.5093810E+01  5.9958648E+21  1.1326134E+00  1.0000000E-99  1.0000000E-99
   17  1.2503668E+04  6.0618661E-02  4.8091031E+01  5.9952949E+21  1.4772712E-03  1.0000000E-99  1.0000000E-99
   18  1.3282946E+04  6.4396653E-02  5.1088253E+01  5.9946881E+21  1.4772712E-03  1.0000000E-99  1.0000000E-99
   19  1.4062223E+04  6.8174646E-02  5.4085475E+01  5.9940444E+21  1.4772712E-03  1.0000000E-99  1.0000000E-99
   20  1.4841501E+04  7.1952639E-02  5.7082697E+01  5.9933639E+21  1.6741370E-03  1.0000000E-99  1.0000000E-99
   21  1.5620779E+04  7.5730632E-02  6.0079918E+01  5.9926466E+21  1.8833743E-03  1.0000000E-99  1.0000000E-99
   22  1.6400056E+04  7.9508624E-02  6.3077140E+01  5.9918923E+21  2.1049986E-03  1.0000000E-99  1.0000000E-99
   23  1.7179334E+04  8.3286617E-02  6.6074362E+01  5.9911012E+21  2.3390261E-03  1.0000000E-99  1.0000000E-99
   24  1.7958612E+04  8.7064610E-02  6.9071584E+01  5.9902732E+21  2.5854743E-03  1.0000000E-99  1.0000000E-99
   25  1.8737889E+04  9.0842603E-02  7.2068806E+01  5.9894082E+21  2.8443613E-03  1.0000000E-99  1.0000000E-99
   26  1.9517167E+04  9.4620596E-02  7.5066027E+01  5.9885063E+21  3.1157064E-03  1.0000000E-99  1.0000000E-99
   27  2.0296445E+04  9.8398588E-02  7.8063249E+01  5.9875675E+21  3.3995295E-03  1.0000000E-99  1.0000000E-99
   28  2.1075722E+04  1.0217658E-01  8.1060471E+01  5.9865916E+21  3.6958519E-03  1.0000000E-99  1.0000000E-99
   29  2.1855000E+04  1.0595457E-01  8.4057693E+01  5.9855788E+21  4.0046954E-03  1.0000000E-99  1.0000000E-99
   30  2.2634278E+04  1.0973257E-01  8.7054914E+01  5.9845290E+21  4.3260831E-03  1.0000000E-99  1.0000000E-99
   31  2.3413555E+04  1.1351056E-01  9.0052136E+01  5.9834421E+21  4.6600388E-03  1.0000000E-99  1.0000000E-99
