! Date: 09/09/2026  Time: 00:51:11  Created by RADMC3D compiled on Sep  9 2026 00:16    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.28642999E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  1.0632108E+15  9.6918015E-01  7.1071251E+01  3.4455841E-04  2.7335097E-01  3.3181170E-19  7.1364845E+04  3.3181170E-21  7.1364845E+02       Infinity  9.0125040E+00
    2  2.1386268E+15  5.2388257E-01  1.4295837E+02  6.9307223E-04  5.4983990E-01  3.3167889E-19  7.1336279E+04  3.3167889E-21  7.1336279E+02       Infinity  9.9901143E+00
    3  3.3079151E+15  3.6826436E-01  2.2112047E+02  1.0720075E-03  8.5046334E-01  3.3143614E-19  7.1284069E+04  3.3143614E-21  7.1284069E+02       Infinity  9.5152131E+00
    4  4.5792697E+15  2.8924304E-01  3.0610527E+02  1.4840198E-03  1.1773280E+00  3.3105568E-19  7.1202242E+04  3.3105568E-21  7.1202242E+02       Infinity  9.2126165E+00
    5  5.9615998E+15  2.4156911E-01  3.9850833E+02  1.9319964E-03  1.5327244E+00  3.3050449E-19  7.1083694E+04  3.3050449E-21  7.1083694E+02       Infinity  9.2534550E+00
    6  7.4645924E+15  2.0976991E-01  4.9897718E+02  2.4190764E-03  1.9191430E+00  3.2974308E-19  7.0919934E+04  3.2974308E-21  7.0919934E+02       Infinity  9.2594807E+00
    7  9.0987801E+15  1.8711612E-01  6.0821588E+02  2.9486733E-03  2.3392919E+00  3.2872439E-19  7.0700836E+04  3.2872439E-21  7.0700836E+02       Infinity  9.4971003E+00
    8  1.0875615E+16  1.7021023E-01  7.2698994E+02  3.5244983E-03  2.7961152E+00  3.2740821E-19  7.0417758E+04  3.2740821E-21  7.0417758E+02       Infinity  9.3599174E+00
    9  1.2807548E+16  1.5715151E-01  8.5613170E+02  4.1505866E-03  3.2928142E+00  3.2573837E-19  7.0058614E+04  3.2573837E-21  7.0058614E+02       Infinity  9.4523949E+00
   10  1.4908118E+16  1.4679349E-01  9.9654614E+02  4.8313256E-03  3.8328698E+00  3.2361722E-19  6.9602406E+04  3.2361722E-21  6.9602406E+02       Infinity  9.6712271E+00
