# Injection truth table -- cmf2.00_n600_s2029_flat  seed=2029
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 355 of 517 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.1 M_sun
# 600 cores assigned to 83 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.1 versus 0.0623 M_sun, median |log10 ratio| 0.191 dex
# drawn contrast versus node contrast at the drawn column: median 1.223 versus 1.236, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.1 versus 42.0 arcsec, median |log10 ratio| 0.062 dex
# target background column: median 5.06e+21 cm^-2 (5th 3.09e+21, 95th 1.52e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.55 +/- 0.09  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.58 +/- 0.15  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  045  i02j08k08       892    785    4.667e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  046  i02j08k08       731    760    5.585e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  047  i02j08k08       555    779    6.998e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  048  i02j08k08       929    386    5.001e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  049  i02j08k08       298    599    5.600e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  050  i02j08k08       122    843    5.224e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  051  i02j08k08       243    699    5.981e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  052  i02j08k08       590    912    4.757e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  053  i02j08k08       729    381    6.126e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  054  i02j08k08       564    583    6.013e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  055  i02j08k08       572    631    4.989e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  056  i02j08k08       673    711    5.836e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  057  i02j08k08       510    693    5.646e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  058  i02j08k08       750    334    4.631e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  059  i02j08k08       288    854    4.614e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  060  i02j08k08       602    787    4.612e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  061  i02j08k08       913    829    4.621e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  062  i02j08k08       508    137    6.574e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  063  i02j08k08       551    185    5.283e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  064  i02j08k08       790    374    4.761e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    71.05  1
  065  i03j09k08       403    495    9.364e+21    1.200e+22    9.95    2.644e-20  0.2469    44.77    70.91  1
