! Date: 14/08/2026  Time: 13:29:58  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.64871048E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  2.4843188E+15  8.3268221E-01  1.6606646E+02  8.0510183E-04  6.3871713E-01  5.6960729E-20  1.2250905E+04  5.6960729E-22  1.2250905E+02       Infinity  1.4413019E+01
    2  4.5901403E+15  4.6686916E-01  3.0683193E+02  1.4875427E-03  1.1801228E+00  5.6946849E-20  1.2247920E+04  5.6946849E-22  1.2247920E+02       Infinity  1.4256186E+01
    3  6.7716447E+15  3.2783968E-01  4.5265649E+02  2.1945104E-03  1.7409865E+00  5.6923885E-20  1.2242981E+04  5.6923885E-22  1.2242981E+02       Infinity  1.4337965E+01
    4  9.0315519E+15  2.5464070E-01  6.0372196E+02  2.9268864E-03  2.3220075E+00  5.6890863E-20  1.2235878E+04  5.6890863E-22  1.2235878E+02       Infinity  1.4365443E+01
    5  1.1372680E+16  2.0948934E-01  7.6021670E+02  3.6855839E-03  2.9239104E+00  5.6846751E-20  1.2226391E+04  5.6846751E-22  1.2226391E+02       Infinity  1.4433462E+01
    6  1.3797948E+16  1.7887299E-01  9.2233583E+02  4.4715488E-03  3.5474455E+00  5.6790442E-20  1.2214280E+04  5.6790442E-22  1.2214280E+02       Infinity  1.4369262E+01
    7  1.6310379E+16  1.5675801E-01  1.0902815E+03  5.2857612E-03  4.1933904E+00  5.6720739E-20  1.2199289E+04  5.6720739E-22  1.2199289E+02       Infinity  1.4389993E+01
    8  1.8913107E+16  1.4004431E-01  1.2642631E+03  6.1292362E-03  4.8625504E+00  5.6636356E-20  1.2181140E+04  5.6636356E-22  1.2181140E+02       Infinity  1.4325257E+01
    9  2.1609376E+16  1.2697571E-01  1.4444976E+03  7.0030256E-03  5.5557599E+00  5.6535910E-20  1.2159536E+04  5.6535910E-22  1.2159536E+02       Infinity  1.4304114E+01
   10  2.4402549E+16  1.1648291E-01  1.6312096E+03  7.9082188E-03  6.2738832E+00  5.6417916E-20  1.2134159E+04  5.6417916E-22  1.2134159E+02       Infinity  1.4394560E+01
   11  2.7296108E+16  1.0787758E-01  1.8246321E+03  8.8459445E-03  7.0178158E+00  5.6280780E-20  1.2104664E+04  5.6280780E-22  1.2104664E+02       Infinity  1.4398911E+01
   12  3.0293661E+16  1.0069657E-01  2.0250062E+03  9.8173719E-03  7.7884852E+00  5.6128297E-20  1.2071868E+04  5.6128297E-22  1.2071868E+02       Infinity  1.4487702E+01
   13  3.3398945E+16  9.4616795E-02  2.2325816E+03  1.0823712E-02  8.5868523E+00  5.5951294E-20  1.2033799E+04  5.5951294E-22  1.2033799E+02       Infinity  1.4522986E+01
   14  3.6615833E+16  8.9405986E-02  2.4476173E+03  1.1866220E-02  9.4139126E+00  5.5750080E-20  1.1990523E+04  5.5750080E-22  1.1990523E+02       Infinity  1.4583533E+01
   15  3.9948336E+16  8.4892898E-02  2.6703813E+03  1.2946196E-02  1.0270697E+01  5.5523449E-20  1.1941780E+04  5.5523449E-22  1.1941780E+02       Infinity  1.4622406E+01
   16  4.3400608E+16  8.0948494E-02  2.9011514E+03  1.4064986E-02  1.1158275E+01  5.5269625E-20  1.1887188E+04  5.5269625E-22  1.1887188E+02       Infinity  1.4718551E+01
   17  4.6976954E+16  7.7473694E-02  3.1402154E+03  1.5223985E-02  1.2077751E+01  5.4986863E-20  1.1826373E+04  5.4986863E-22  1.1826373E+02       Infinity  1.4790581E+01
   18  5.0681833E+16  7.4391160E-02  3.3878713E+03  1.6424638E-02  1.3030274E+01  5.4672913E-20  1.1758850E+04  5.4672913E-22  1.1758850E+02       Infinity  1.4894291E+01
   19  5.4519865E+16  7.1639642E-02  3.6444279E+03  1.7668442E-02  1.4017030E+01  5.4326253E-20  1.1684291E+04  5.4326253E-22  1.1684291E+02       Infinity  1.5023903E+01
   20  5.8495835E+16  6.9169998E-02  3.9102050E+03  1.8956948E-02  1.5039250E+01  5.3944168E-20  1.1602114E+04  5.3944168E-22  1.1602114E+02       Infinity  1.5157193E+01
   21  6.2614701E+16  6.6942346E-02  4.1855342E+03  2.0291764E-02  1.6098209E+01  5.3525498E-20  1.1512068E+04  5.3525498E-22  1.1512068E+02       Infinity  1.5335880E+01
   22  6.6881598E+16  6.4923979E-02  4.4707587E+03  2.1674552E-02  1.7195226E+01  5.3067458E-20  1.1413554E+04  5.3067458E-22  1.1413554E+02       Infinity  1.5521431E+01
   23  7.1301847E+16  6.3087820E-02  4.7662341E+03  2.3107037E-02  1.8331669E+01  5.2568541E-20  1.1306249E+04  5.2568541E-22  1.1306249E+02       Infinity  1.5745465E+01
   24  7.5880959E+16  6.1411262E-02  5.0723288E+03  2.4591006E-02  1.9508957E+01  5.2026725E-20  1.1189717E+04  5.2026725E-22  1.1189717E+02       Infinity  1.6011134E+01
   25  8.0624643E+16  5.9875280E-02  5.3894245E+03  2.6128308E-02  2.0728556E+01  5.1440207E-20  1.1063571E+04  5.1440207E-22  1.1063571E+02       Infinity  1.6319603E+01
   26  8.5538814E+16  5.8463750E-02  5.7179166E+03  2.7720861E-02  2.1991987E+01  5.0807183E-20  1.0927423E+04  5.0807183E-22  1.0927423E+02       Infinity  1.6698955E+01
   27  9.0629600E+16  5.7162914E-02  6.0582146E+03  2.9370649E-02  2.3300825E+01  5.0126384E-20  1.0780999E+04  5.0126384E-22  1.0780999E+02       Infinity  1.7180305E+01
   28  9.5903348E+16  5.5960964E-02  6.4107429E+03  3.1079731E-02  2.4656703E+01  4.9396217E-20  1.0623957E+04  4.9396217E-22  1.0623957E+02       Infinity  1.7777012E+01
   29  1.0125105E+17  5.2627160E-02  6.7682145E+03  3.2812779E-02  2.6031594E+01  4.8633091E-20  1.0459827E+04  4.8633091E-22  1.0459827E+02       Infinity  1.8614249E+01
   30  1.0403091E+17  2.2221487E-03  6.9540369E+03  3.3713659E-02  2.6746296E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  1.9257023E+01
   31  1.0702627E+17  5.3814292E-02  7.1542642E+03  3.4684375E-02  2.7516401E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  1.9530253E+01
   32  1.1288931E+17  5.2853011E-02  7.5461843E+03  3.6584431E-02  2.9023786E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  1.9771162E+01
   33  1.1896307E+17  5.1957103E-02  7.9521899E+03  3.8552775E-02  3.0585346E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  1.9927911E+01
   34  1.2525512E+17  5.1120623E-02  8.3727874E+03  4.0591861E-02  3.2203028E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0034138E+01
   35  1.3177330E+17  5.0338321E-02  8.8085010E+03  4.2704231E-02  3.3878850E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0120261E+01
   36  1.3857781E+17  5.0338321E-02  9.2633544E+03  4.4909392E-02  3.5628286E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0195668E+01
   37  1.4787740E+17  7.8601654E-02  9.8849937E+03  4.7923143E-02  3.8019207E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0274791E+01
   38  1.6348185E+17  1.1980228E-01  1.0928087E+04  5.2980133E-02  4.2031104E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0361390E+01
   39  1.8999456E+17  1.7600461E-01  1.2700352E+04  6.1572198E-02  4.8847508E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0451570E+01
   40  2.3557986E+17  2.4505780E-01  1.5747541E+04  7.6345185E-02  6.0567466E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0540558E+01
   41  3.1424752E+17  3.1696233E-01  2.1006149E+04  1.0183928E-01  8.0792881E+01  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0613564E+01
   42  4.4763319E+17  3.7344577E-01  2.9922431E+04  1.4506604E-01  1.1508627E+02  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0661940E+01
   43  6.6199784E+17  3.9511093E-01  4.4251823E+04  2.1453594E-01  1.7019932E+02  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0707899E+01
   44  9.7479582E+17  3.7344577E-01  6.5161076E+04  3.1590547E-01  2.5061952E+02  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0771561E+01
   45  1.3746722E+18  3.1696233E-01  9.1891158E+04  4.4549478E-01  3.5342753E+02  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.0876869E+01
   46  1.8149108E+18  2.4505780E-01  1.2131929E+05  5.8816445E-01  4.6661267E+02  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.1033604E+01
   47  2.2338761E+18  1.7600461E-01  1.4932539E+05  7.2393998E-01  5.7432844E+02  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.1235291E+01
   48  2.5853263E+18  1.1980228E-01  1.7281839E+05  8.3783568E-01  6.6468612E+02  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.1458019E+01
   49  2.8522876E+18  7.8601654E-02  1.9066365E+05  9.2435074E-01  7.3332172E+02  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.1686178E+01
   50  3.0409223E+18  5.0338321E-02  2.0327310E+05  9.8548225E-01  7.8181962E+02  2.7964547E-22  6.0145123E+01  2.7964547E-24  6.0145123E-01       Infinity  2.1910313E+01
