# Injection truth table -- cmf2.00_n600_s2032_flat_iso  seed=2032
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.101 M_sun
# 1 of 600 draws discarded: the background column of the real source drawn lies outside every embedding rung
# 599 cores assigned to 67 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.101 versus 0.0643 M_sun, median |log10 ratio| 0.186 dex
# drawn contrast versus node contrast at the drawn column: median 1.218 versus 1.240, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.6 versus 41.7 arcsec, median |log10 ratio| 0.061 dex
# target background column: median 4.88e+21 cm^-2 (5th 3.07e+21, 95th 1.54e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.67 +/- 0.10  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.58 +/- 0.17  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  045  i02j08k08       731    760    5.606e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  046  i02j08k08       650    206    5.603e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  047  i02j08k08       638    267    5.966e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  048  i02j08k08       886    405    6.697e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  049  i02j08k08       426    709    5.594e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  050  i02j08k08       674    659    6.770e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  051  i02j08k08       844    847    6.784e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  052  i02j08k08       269    836    4.505e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  053  i02j08k08       469    788    5.596e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  054  i02j08k08       286    903    4.591e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  055  i02j08k08        62    924    6.228e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  056  i02j08k08       892    785    4.688e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  057  i01j08k08       338    745    4.111e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  058  i01j08k08       589    180    4.235e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  059  i01j07k08       223    880    4.178e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  060  i01j07k08       792    263    3.562e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  061  i01j07k08       710    928    4.266e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  062  i01j07k08       834    937    4.360e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  063  i01j07k08       584    107    4.312e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  064  i01j07k08       653    122    3.918e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  065  i01j07k08       768    125    3.948e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  066  i01j07k08       687    851    4.229e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  067  i02j07k08        95    890    5.425e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  068  i02j07k08       890    735    5.690e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  069  i02j07k08       146    873    4.504e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  070  i02j07k08       505    662    4.445e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  071  i02j07k08       284    737    5.052e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  072  i02j07k08       819    163    4.511e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  073  i02j07k08       180    806    4.410e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  074  i02j07k08       215    639    5.937e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  075  i02j07k08       615    836    4.878e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  076  i02j07k08       528    133    5.814e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  077  i02j07k08       458    830    4.570e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  078  i02j07k08       922    835    4.584e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  079  i02j07k08       365    933    4.482e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  080  i02j07k08       443    611    5.688e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  081  i02j07k08       733    883    5.659e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  082  i02j07k08       856    371    4.515e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  083  i02j07k08       784    381    4.967e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  084  i02j07k08       332    887    4.692e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
