! Date: 15/08/2026  Time: 09:06:09  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 8.25392120E+00
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  3.3404240E+01  1.6194610E-04  1.2847785E-01  3.4308134E+22  1.4676627E-03  1.0324115E+22  4.9039770E-03
    2  8.1306410E+02  3.9417918E-03  3.1271696E+00  3.4147777E+22  1.4676627E-03  1.0163758E+22  4.9039770E-03
    3  1.5927240E+03  7.7216375E-03  6.1258614E+00  3.3687409E+22  1.4676627E-03  9.7033895E+21  4.9039770E-03
    4  2.3723838E+03  1.1501483E-02  9.1245531E+00  3.2987741E+22  1.4676627E-03  9.0037221E+21  4.9039770E-03
    5  3.1520437E+03  1.5281329E-02  1.2123245E+01  3.2122928E+22  2.0186708E-02  8.1389093E+21  6.8937588E-02
    6  3.9317035E+03  1.9061175E-02  1.5121937E+01  3.1163334E+22  5.2674477E-02  7.1793152E+21  1.8782101E-01
    7  4.7113634E+03  2.2841020E-02  1.8120628E+01  3.0259787E+22  9.3490839E-02  6.2757674E+21  3.5537513E-01
    8  5.4910232E+03  2.6620866E-02  2.1119320E+01  2.9308886E+22  1.3721650E-01  5.3248667E+21  5.6760096E-01
    9  6.2706831E+03  3.0400712E-02  2.4118012E+01  2.8420833E+22  1.6264142E-01  4.4368137E+21  7.4353161E-01
   10  7.0503429E+03  3.4180557E-02  2.7116704E+01  2.7675778E+22  2.0849861E-01  3.6917585E+21  1.0729463E+00
   11  7.8300028E+03  3.7960403E-02  3.0115395E+01  2.6988877E+22  2.2668000E-01  3.0048573E+21  1.3741830E+00
