! Date: 15/08/2026  Time: 09:07:10  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 8.25392120E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  9.9209410E+14  9.9259493E-01  6.6317394E+01  3.2151138E-04  2.5506690E-01  2.9116576E-19  6.2622864E+04  2.9116576E-21  6.2622864E+02       Infinity  4.9361220E+00
    2  2.0245605E+15  5.3354061E-01  1.3533351E+02  6.5610635E-04  5.2051350E-01  2.9103860E-19  6.2595515E+04  2.9103860E-21  6.2595515E+02       Infinity  8.0599187E+00
    3  3.1570893E+15  3.7530530E-01  2.1103838E+02  1.0231289E-03  8.1168609E-01  2.9080213E-19  6.2544657E+04  2.9080213E-21  6.2544657E+02       Infinity  7.6252451E+00
    4  4.3993781E+15  2.9542932E-01  2.9408026E+02  1.4257217E-03  1.1310779E+00  2.9042580E-19  6.2463716E+04  2.9042580E-21  6.2463716E+02       Infinity  7.7698422E+00
    5  5.7620644E+15  2.4742301E-01  3.8517021E+02  1.8673322E-03  1.4814239E+00  2.8987254E-19  6.2344724E+04  2.8987254E-21  6.2344724E+02       Infinity  7.8723769E+00
    6  7.2568166E+15  2.1549905E-01  4.8508823E+02  2.3517418E-03  1.8657239E+00  2.8909725E-19  6.2177977E+04  2.8909725E-21  6.2177977E+02       Infinity  7.8804137E+00
    7  8.8964340E+15  1.9281858E-01  5.9468988E+02  2.8830983E-03  2.2872688E+00  2.8804517E-19  6.1951698E+04  2.8804517E-21  6.1951698E+02       Infinity  8.0145693E+00
    8  1.0694956E+16  1.7593779E-01  7.1491368E+02  3.4659517E-03  2.7496680E+00  2.8668227E-19  6.1658572E+04  2.8668227E-21  6.1658572E+02       Infinity  7.9522611E+00
    9  1.2667784E+16  1.6293366E-01  8.4678907E+02  4.1052928E-03  3.2568810E+00  2.8490199E-19  6.1275676E+04  2.8490199E-21  6.1275676E+02       Infinity  7.9136285E+00
   10  1.4831810E+16  1.5264783E-01  9.9144527E+02  4.8065962E-03  3.8132510E+00  2.8262690E-19  6.0786358E+04  2.8262690E-21  6.0786358E+02       Infinity  7.9749965E+00
   11  1.7205565E+16  1.4434082E-01  1.1501210E+03  5.5758671E-03  4.4235422E+00  2.7976163E-19  6.0170106E+04  2.7976163E-21  6.0170106E+02       Infinity  7.9244127E+00
   12  1.9809374E+16  1.3751836E-01  1.3241748E+03  6.4196925E-03  5.0929802E+00  2.7619781E-19  5.9403613E+04  2.7619781E-21  5.9403613E+02       Infinity  7.9610936E+00
   13  2.2665533E+16  1.3183746E-01  1.5150973E+03  7.3452980E-03  5.8272973E+00  2.7181646E-19  5.8461289E+04  2.7181646E-21  5.8461289E+02       Infinity  8.0190167E+00
   14  2.5798500E+16  1.2705262E-01  1.7245232E+03  8.3606094E-03  6.6327815E+00  2.6648884E-19  5.7315442E+04  2.6648884E-21  5.7315442E+02       Infinity  8.0110449E+00
   15  2.9235100E+16  1.2298349E-01  1.9542458E+03  9.4743206E-03  7.5163298E+00  2.6008504E-19  5.5938136E+04  2.6008504E-21  5.5938136E+02       Infinity  8.0361633E+00
   16  3.3004762E+16  1.1949455E-01  2.2062321E+03  1.0695968E-02  8.4855080E+00  2.5247997E-19  5.4302467E+04  2.5247997E-21  5.4302467E+02       Infinity  8.0302923E+00
   17  3.7139764E+16  1.1648202E-01  2.4826399E+03  1.2036012E-02  9.5486150E+00  2.4356290E-19  5.2384615E+04  2.4356290E-21  5.2384615E+02       Infinity  8.0782850E+00
   18  4.1675514E+16  1.1386504E-01  2.7858360E+03  1.3505928E-02  1.0714754E+01  2.3325247E-19  5.0167087E+04  2.3325247E-21  5.0167087E+02       Infinity  8.0598725E+00
   19  4.6650849E+16  1.1157968E-01  3.1184166E+03  1.5118303E-02  1.1993910E+01  2.2151187E-19  4.7641962E+04  2.2151187E-21  4.7641962E+02       Infinity  8.1141159E+00
   20  5.2108373E+16  1.0957475E-01  3.4832296E+03  1.6886942E-02  1.3397037E+01  2.0836571E-19  4.4814534E+04  2.0836571E-21  4.4814534E+02       Infinity  8.1359276E+00
   21  5.8094818E+16  1.0780873E-01  3.8833987E+03  1.8826990E-02  1.4936149E+01  1.9391535E-19  4.1706604E+04  1.9391535E-21  4.1706604E+02       Infinity  8.1360842E+00
   22  6.4661445E+16  1.0624762E-01  4.3223506E+03  2.0955059E-02  1.6624425E+01  1.7834695E-19  3.8358208E+04  1.7834695E-21  3.8358208E+02       Infinity  8.1612121E+00
   23  7.1864482E+16  1.0486333E-01  4.8038439E+03  2.3289372E-02  1.8476323E+01  1.6193476E-19  3.4828336E+04  1.6193476E-21  3.4828336E+02       Infinity  8.1750741E+00
   24  7.9765607E+16  1.0363241E-01  5.3320015E+03  2.5849917E-02  2.0507698E+01  1.4503123E-19  3.1192785E+04  1.4503123E-21  3.1192785E+02       Infinity  8.1865470E+00
   25  8.8432477E+16  1.0253516E-01  5.9113460E+03  2.8658620E-02  2.2735946E+01  1.2804268E-19  2.7538950E+04  1.2804268E-21  2.7538950E+02       Infinity  8.2081507E+00
