  ID   i   j   k    SD_emb    T_BE       M_BE  FWHM_pc   xi_max contr_rho   peak_exc  contrast detect hole       rho_c    rho_edge     rho_emb      r0_AU   R_out_AU  R_cloud_AU      N_tot    a_BE  stab
 298   5   6  10  6.79e+22   7.283     0.5825   0.2500   1.5277     1.418  5.841e+20     1.009      0    1  3.2372e-21  2.2827e-21  1.1135e-20   20682.03   31596.08   947882.52 6.8175e+22    5.18   sub
 299   5   7   4  6.79e+22   6.969     1.3733   0.0131  58.2455  1983.399  2.381e+22     1.351      1    1  6.6662e-18  3.3610e-21  1.3548e-20     445.84   25968.15   779044.53 9.6522e+22    1.70  deep
 300   5   7   5  6.79e+22   7.059     1.3733   0.0214  34.6157   719.223  2.157e+22     1.318      1    1  2.8266e-18  3.9301e-21  1.4750e-20     689.06   23852.16   715564.92 8.6528e+22    1.60  deep
 301   5   7   6  6.79e+22   7.144     1.3733   0.0350  17.3145   159.631  1.653e+22     1.244      1    1  9.6631e-19  6.0534e-21  1.7139e-20    1185.57   20527.50   615825.01 7.8663e+22    1.31  deep
 302   5   7   7  6.79e+22   7.203     1.3733   0.0572   9.0764    32.879  1.069e+22     1.157      1    1  3.1819e-19  9.6775e-21  1.8683e-20    2074.67   18830.59   564917.70 7.3851e+22    1.05 super
 303   5   7   8  6.79e+22   7.242     1.3733   0.0936   5.4680     9.471  5.957e+21     1.088      0    1  9.9828e-20  1.0540e-20  1.7324e-20    3713.92   20307.62   609228.56 7.0986e+22    1.01   sub
 304   5   7   9  6.79e+22   7.266     1.3733   0.1529   3.6421     4.027  2.884e+21     1.042      0    1  2.8245e-20  7.0137e-21  1.3813e-20    6993.39   25470.91   764127.20 6.9344e+22    1.25   sub
 305   5   7  10  6.79e+22   7.278     1.3733   0.2500   2.5752     2.327  1.246e+21     1.018      0    1  7.1993e-21  3.0936e-21  9.8541e-21   13863.92   35702.75  1071082.51 6.8508e+22    1.89   sub
 306   5   8   6  6.79e+22   7.128     3.2375   0.0350  55.6368  1818.769  1.804e+22     1.266      1    1  1.1812e-18  6.4944e-22  5.9037e-21    1071.10   59592.80  1787784.06 8.0068e+22    1.69  deep
 307   5   8   7  6.79e+22   7.192     3.2375   0.0572  27.8049   456.959  1.213e+22     1.179      1    1  3.7725e-19  8.2556e-22  6.6460e-21    1903.86   52936.78  1588103.45 7.4730e+22    1.52  deep
 308   5   8   8  6.79e+22   7.232     3.2375   0.0936  13.8577    94.021  7.386e+21     1.109      1    1  1.2504e-19  1.3299e-21  7.6560e-21    3316.09   45953.28  1378598.30 7.1746e+22    1.21  deep
 309   5   8   9  6.79e+22   7.256     3.2375   0.1529   7.8175    22.592  4.256e+21     1.063      0    1  4.2933e-20  1.9004e-21  7.9393e-21    5668.44   44313.18  1329395.25 7.0046e+22    1.02 super
 310   5   8  10  6.79e+22   7.271     3.2375   0.2500   4.8587     7.245  2.169e+21     1.032      0    1  1.3009e-20  1.7956e-21  7.0243e-21   10308.47   50086.11  1502583.30 6.8973e+22    1.05   sub
 311   5   9   8  6.79e+22   7.225     7.6324   0.0936  44.4803  1183.470  8.260e+21     1.122      1    1  1.4945e-19  1.2628e-22  2.6089e-21    3031.71  134851.65  4045549.36 7.2235e+22    1.66  deep
 312   5   9   9  6.79e+22   7.251     7.6324   0.1529  22.3846   285.949  4.854e+21     1.072      0    1  4.9277e-20  1.7233e-22  2.9714e-21    5289.37  118400.61  3552018.23 7.0355e+22    1.43  deep
 313   5   9  10  6.79e+22   7.266     7.6324   0.2500  11.9694    65.685  2.872e+21     1.042      0    1  1.7728e-20  2.6990e-22  3.3297e-21    8827.41  105659.21  3169776.33 6.9329e+22    1.15 super
 314   5  10  10  6.79e+22   7.264    17.9932   0.2500  36.7737   812.552  3.138e+21     1.046      0    1  1.9827e-20  2.4401e-23  1.1463e-21    8346.05  306915.57  9207466.95 6.9468e+22    1.62  deep
