  ID   i   j   k    SD_emb    T_BE       M_BE  FWHM_pc   xi_max contr_rho   peak_exc  contrast detect hole       rho_c    rho_edge     rho_emb      r0_AU   R_out_AU  R_cloud_AU      N_tot    a_BE  stab
 282   5   5   2  4.80e+22   6.804     0.2471   0.0049  25.2635   372.390  1.999e+22     1.416      1    0  4.7062e-17  1.2638e-19  5.9393e-20     165.79    4188.56   125656.71 1.2224e+23    1.48  deep
 283   5   5   3  4.80e+22   7.011     0.2471   0.0080  12.6038    74.600  2.048e+22     1.427      1    0  1.6629e-17  2.2291e-19  6.9716e-20     283.12    3568.35   107050.64 9.1651e+22    1.17  deep
 284   5   5   4  4.80e+22   7.222     0.2471   0.0131   6.9955    17.133  1.881e+22     1.392      1    0  5.6709e-18  3.3100e-19  7.2269e-20     492.08    3442.30   103269.01 7.2439e+22    1.00 super
 285   5   5   5  4.80e+22   7.416     0.2471   0.0214   4.3535     5.722  1.451e+22     1.302      1    0  1.6931e-18  2.9590e-19  6.2617e-20     912.58    3972.92   119187.46 6.0176e+22    1.10   sub
 286   5   5   6  4.80e+22   7.551     0.2471   0.0350   2.9863     2.876  8.843e+21     1.184      1    0  4.6110e-19  1.6035e-19  4.7211e-20    1764.54    5269.42   158082.58 5.3516e+22    1.54   sub
 287   5   5   7  4.80e+22   7.627     0.2471   0.0572   2.1508     1.882  4.212e+21     1.088      0    0  1.1341e-19  6.0260e-20  3.2346e-20    3575.83    7690.95   230728.37 5.0276e+22    2.55   sub
 288   5   5   8  4.80e+22   7.662     0.2471   0.0936   1.5983     1.461  1.736e+21     1.036      0    1  2.6490e-20  1.8136e-20  2.0990e-20    7415.58   11852.23   355566.84 4.8891e+22    4.67   sub
 289   5   5   9  4.80e+22   7.676     0.2471   0.1529   1.2135     1.257  6.785e+20     1.014      0    1  6.1293e-21  4.8753e-21  1.3285e-20   15430.47   18725.18   561755.40 4.8342e+22    9.04   sub
 290   5   5  10  4.80e+22   7.681     0.2471   0.2500   0.9318     1.149  2.586e+20     1.005      0    1  1.4047e-21  1.2227e-21  8.2797e-21   32243.94   30045.97   901379.15 4.8130e+22   18.07   sub
 291   5   6   3  4.80e+22   6.965     0.5825   0.0080  40.6969   994.173  2.361e+22     1.492      1    1  1.9755e-17  1.9871e-20  2.3611e-20     258.90   10536.48   316094.54 9.7082e+22    1.64  deep
 292   5   6   4  4.80e+22   7.163     0.5825   0.0131  20.2102   227.585  2.339e+22     1.487      1    0  6.9331e-18  3.0464e-20  2.7773e-20     443.20    8957.23   268716.83 7.7066e+22    1.38  deep
 293   5   6   5  4.80e+22   7.339     0.5825   0.0214  10.2412    44.539  1.996e+22     1.416      1    0  2.3619e-18  5.3030e-20  3.1603e-20     768.63    7871.72   236151.67 6.4592e+22    1.09 super
 294   5   6   6  4.80e+22   7.480     0.5825   0.0350   5.9368    11.495  1.392e+22     1.290      1    0  7.5991e-19  6.6108e-20  3.0630e-20    1368.05    8121.79   243653.80 5.6852e+22    1.00   sub
 295   5   6   7  4.80e+22   7.580     0.5825   0.0572   3.8660     4.507  7.756e+21     1.162      1    0  2.1964e-19  4.8729e-20  2.5121e-20    2561.49    9902.80   297084.10 5.2259e+22    1.19   sub
 296   5   6   8  4.80e+22   7.637     0.5825   0.0936   2.7201     2.506  3.643e+21     1.076      0    0  5.8415e-20  2.3306e-20  1.8345e-20    4985.51   13560.93   406828.01 4.9881e+22    1.74   sub
 297   5   6   9  4.80e+22   7.665     0.5825   0.1529   1.9795     1.734  1.498e+21     1.031      0    1  1.3945e-20  8.0444e-21  1.2293e-20   10222.76   20236.42   607092.58 4.8757e+22    2.98   sub
 298   5   6  10  4.80e+22   7.677     0.5825   0.2500   1.4855     1.394  5.898e+20     1.012      0    1  3.2738e-21  2.3485e-21  7.9309e-21   21115.16   31367.53   941025.93 4.8296e+22    5.53   sub
 299   5   7   4  4.80e+22   7.158     1.3733   0.0131  56.5946  1878.521  2.445e+22     1.509      1    1  6.8578e-18  3.6506e-21  9.8671e-21     445.49   25212.32   756369.55 7.7431e+22    1.69  deep
 300   5   7   5  4.80e+22   7.307     1.3733   0.0214  31.7985   604.658  2.201e+22     1.459      1    1  2.7294e-18  4.5139e-21  1.0966e-20     713.44   22686.25   680587.59 6.6614e+22    1.57  deep
 301   5   7   6  4.80e+22   7.437     1.3733   0.0350  16.2132   136.848  1.702e+22     1.355      1    1  9.8020e-19  7.1627e-21  1.2775e-20    1201.08   19473.34   584200.24 5.9051e+22    1.28  deep
 302   5   7   7  4.80e+22   7.539     1.3733   0.0572   8.5087    27.946  1.092e+22     1.228      1    1  3.2000e-19  1.1451e-20  1.3815e-20    2116.39   18007.71   540231.20 5.4082e+22    1.03 super
 303   5   7   8  4.80e+22   7.605     1.3733   0.0936   5.2307     8.552  6.118e+21     1.127      1    1  1.0226e-19  1.1958e-20  1.2648e-20    3760.23   19668.60   590058.07 5.1186e+22    1.02   sub
 304   5   7   9  4.80e+22   7.646     1.3733   0.1529   3.5147     3.774  2.953e+21     1.062      0    1  2.8947e-20  7.6690e-21  9.9878e-21    7086.74   24907.67   747230.09 4.9497e+22    1.29   sub
 305   5   7  10  4.80e+22   7.668     1.3733   0.2500   2.4953     2.234  1.267e+21     1.026      0    1  7.3368e-21  3.2836e-21  7.0723e-21   14096.64   35175.79  1055273.62 4.8636e+22    1.98   sub
 306   5   8   6  4.80e+22   7.420     3.2375   0.0350  49.8327  1474.161  1.814e+22     1.378      1    1  1.0959e-18  7.4341e-22  4.3999e-21    1134.59   56539.97  1696199.11 5.9962e+22    1.68  deep
 307   5   8   7  4.80e+22   7.518     3.2375   0.0572  25.8369   390.807  1.252e+22     1.261      1    1  3.8323e-19  9.8062e-22  4.9857e-21    1931.24   49897.06  1496911.79 5.5046e+22    1.49  deep
 308   5   8   8  4.80e+22   7.584     3.2375   0.0936  13.1686    83.053  7.755e+21     1.162      1    1  1.3226e-19  1.5925e-21  5.7214e-21    3301.89   43481.25  1304437.38 5.2059e+22    1.19  deep
 309   5   8   9  4.80e+22   7.628     3.2375   0.1529   7.4355    19.934  4.423e+21     1.092      0    1  4.4689e-20  2.2419e-21  5.8733e-21    5696.57   42356.82  1270704.58 5.0249e+22    1.01 super
 310   5   8  10  4.80e+22   7.656     3.2375   0.2500   4.6792     6.672  2.250e+21     1.047      0    1  1.3569e-20  2.0338e-21  5.1332e-21   10357.14   48463.33  1453899.86 4.9131e+22    1.06   sub
 311   5   9   8  4.80e+22   7.573     7.6324   0.0936  42.0892  1062.244  8.651e+21     1.180      1    1  1.5659e-19  1.4742e-22  1.9493e-21    3032.23  127624.06  3828721.69 5.2559e+22    1.65  deep
 312   5   9   9  4.80e+22   7.618     7.6324   0.1529  21.5350   262.415  5.187e+21     1.108      1    1  5.3737e-20  2.0478e-22  2.2251e-21    5191.63  111801.50  3354044.89 5.0644e+22    1.41  deep
 313   5   9  10  4.80e+22   7.646     7.6324   0.2500  11.0861    54.302  2.955e+21     1.062      0    1  1.8013e-20  3.3171e-22  2.4978e-21    8983.86   99596.16  2987884.66 4.9488e+22    1.12 super
 314   5  10   9  4.80e+22   7.617    17.9932   0.1529  59.8517  2087.728  5.238e+21     1.109      1    1  5.3269e-20  2.5515e-23  7.9716e-22    5214.11  312073.15  9362194.44 5.0677e+22    1.70  deep
 315   5  10  10  4.80e+22   7.642    17.9932   0.2500  34.9659   734.046  3.329e+21     1.069      0    1  2.1238e-20  2.8933e-23  8.6021e-22    8270.89  289199.44  8675983.21 4.9682e+22    1.60  deep
 316   6   1   1  9.60e+22   6.796     0.0080   0.0030   1.7247     1.543  1.050e+21     1.011      0    0  2.6037e-17  1.6877e-17  1.2950e-18     222.77     384.21    11526.24 1.2387e+23    3.95   sub
 317   6   1   2  9.60e+22   6.895     0.0080   0.0049   1.2901     1.292  1.030e+21     1.011      0    0  5.9159e-18  4.5775e-18  8.1930e-19     470.74     607.28    18218.49 1.0661e+23    7.76   sub
 318   6   1   3  9.60e+22   6.941     0.0080   0.0080   0.9887     1.168  9.826e+20     1.010      0    0  1.3831e-18  1.1840e-18  5.1516e-19     976.83     965.82    28974.49 1.0008e+23   15.41   sub
 319   6   1   4  9.60e+22   6.961     0.0080   0.0131   0.7583     1.098  8.659e+20     1.009      0    1  3.0603e-19  2.7880e-19  3.1551e-19    2079.65    1576.93    47308.03 9.7505e+22   31.89   sub
 320   6   2   1  9.60e+22   6.682     0.0189   0.0030   2.9991     2.895  2.466e+21     1.026      0    0  5.5808e-17  1.9280e-17  1.0995e-18     150.88     452.51    13575.37 1.5321e+23    1.53   sub
 321   6   2   2  9.60e+22   6.817     0.0189   0.0049   2.1462     1.878  2.420e+21     1.025      0    0  1.3765e-17  7.3304e-18  7.5546e-19     306.86     658.60    19757.96 1.1967e+23    2.56   sub
 322   6   2   3  9.60e+22   6.904     0.0189   0.0080   1.5875     1.454  2.303e+21     1.024      0    0  3.2125e-18  2.2095e-18  4.9031e-19     639.23    1014.75    30442.40 1.0526e+23    4.75   sub
 323   6   2   4  9.60e+22   6.945     0.0189   0.0131   1.2031     1.253  2.035e+21     1.021      0    0  7.4364e-19  5.9366e-19  3.1033e-19    1332.57    1603.28    48098.28 9.9559e+22    9.24   sub
 324   6   2   5  9.60e+22   6.963     0.0189   0.0214   0.9223     1.146  1.514e+21     1.016      0    1  1.6942e-19  1.4787e-19  1.9299e-19    2795.29    2578.16    77344.66 9.7343e+22   18.58   sub
 325   6   2   6  9.60e+22   6.969     0.0189   0.0350   0.7176     1.087  8.553e+20     1.009      0    1  4.0146e-20  3.6924e-20  1.2069e-19    5745.06    4122.57   123677.07 9.6518e+22   37.24   sub
 326   6   3   1  9.60e+22   6.604     0.0445   0.0030   5.9836    11.713  5.727e+21     1.060      0    0  9.1576e-17  7.8185e-18  7.1014e-19     117.09     700.63    21018.79 1.8744e+23    1.00   sub
 327   6   3   2  9.60e+22   6.726     0.0445   0.0049   3.8797     4.538  5.610e+21     1.058      0    0  2.6664e-17  5.8755e-18  5.8561e-19     218.99     849.63    25488.77 1.4027e+23    1.19   sub
