  ID   i   j   k    SD_emb    T_BE       M_BE      FWHM_pc   xi_max contr_rho   peak_exc  contrast detect hole       rho_c    rho_edge     rho_emb      r0_AU   R_out_AU  R_cloud_AU      N_tot    a_BE  stab
 158   1  15   8  5.30e+20   8.885     0.488036  0.0188905   7.8001    22.465  2.357e+22    45.473      1    0  3.4525e-18  1.5368e-19  5.0345e-22     699.49    5456.05   163681.45 2.1999e+22    1.02 super
 159   1  15   9  5.30e+20   9.432     0.488036   0.024159   5.7445    10.631  2.085e+22    40.338      1    0  1.9921e-18  1.8739e-19  5.0400e-22     948.76    5450.15   163504.52 1.6518e+22    1.01   sub
 160   1  15  10  5.30e+20  10.096     0.488036  0.0308968   4.3757     5.783  1.731e+22    33.663      1    0  1.1130e-18  1.9246e-19  4.7801e-22    1313.29    5746.50   172395.12 1.2067e+22    1.10   sub
 161   1  15  11  5.30e+20  10.892     0.488036  0.0395137   3.4257     3.607  1.345e+22    26.376      1    0  6.0278e-19  1.6714e-19  4.3262e-22    1853.47    6349.36   190480.92 8.5955e+21    1.32   sub
 162   1  15  12  5.30e+20  11.852     0.488036  0.0505338   2.7191     2.505  9.704e+21    19.310      1    0  3.1063e-19  1.2400e-19  3.7508e-22    2693.33    7323.40   219702.05 5.9336e+21    1.74   sub
 163   1  15  13  5.30e+20  12.949     0.488036  0.0646273   2.1908     1.919  6.601e+21    13.455      1    0  1.5505e-19  8.0798e-20  3.1467e-22    3984.67    8729.42   261882.53 4.0396e+21    2.46   sub
 164   1  15  14  5.30e+20  13.796     0.488036  0.0826515   1.8138     1.606  4.285e+21     9.084      1    0  7.5380e-20  4.6950e-20  2.5673e-22    5898.79   10699.45   320983.42 2.7478e+21    3.55   sub
 165   1  15  15  5.30e+20  13.796     0.488036   0.105703   1.5703     1.443  2.701e+21     6.096      1    0  3.6173e-20  2.5059e-20  2.0543e-22    8515.29   13371.33   401140.05 1.9076e+21    4.86   sub
 166   1  15  16  5.30e+20  13.796     0.488036   0.135182   1.3665     1.330  1.687e+21     4.184      1    0  1.7365e-20  1.3056e-20  1.6356e-22   12290.13   16794.38   503831.43 1.3834e+21    6.74   sub
 167   1  15  17  5.30e+20  13.796     0.488036   0.172884   1.1946     1.249  1.051e+21     2.983      1    0  8.3704e-21  6.7021e-21  1.2989e-22   17701.77   21147.39   634421.72 1.0589e+21    9.41   sub
 168   1  15  18  5.30e+20  13.796     0.488036     0.2211   1.0466     1.189  6.499e+20     2.226      1    0  4.0158e-21  3.3772e-21  1.0270e-22   25556.59   26746.52   802395.68 8.5621e+20   13.25   sub
 169   1  16   4  5.30e+20   7.472     0.723783 0.00706165  52.3884  1622.187  2.549e+22    49.089      1    0  2.4456e-17  1.5076e-20  2.1755e-22     241.01   12626.38   378791.49 5.7268e+22    1.69  deep
 170   1  16   5  5.30e+20   7.669     0.723783 0.00903109  40.8568  1001.894  2.624e+22    50.517      1    0  1.7200e-17  1.7168e-20  2.3091e-22     291.16   11895.90   356877.02 4.8591e+22    1.64  deep
 171   1  16   6  5.30e+20   7.998     0.723783  0.0115498  27.4823   445.808  2.688e+22    51.718      1    0  1.0188e-17  2.2853e-20  2.5872e-22     386.33   10617.34   318520.06 3.8050e+22    1.52  deep
 172   1  16   7  5.30e+20   8.326     0.723783   0.014771  19.0312   198.538  2.673e+22    51.429      1    0  6.4084e-18  3.2278e-20  2.9041e-22     497.00    9458.43   283752.86 3.0601e+22    1.36  deep
 173   1  16   8  5.30e+20   8.756     0.723783  0.0188905  12.5293    73.521  2.549e+22    49.086      1    0  3.7372e-18  5.0831e-20  3.2848e-22     667.42    8362.30   250868.97 2.3647e+22    1.16  deep
 174   1  16   9  5.30e+20   9.226     0.723783   0.024159   8.7352    29.856  2.321e+22    44.799      1    0  2.2281e-18  7.4630e-20  3.5441e-22     887.27    7750.45   232513.39 1.8335e+22    1.04 super
 175   1  16  10  5.30e+20   9.790     0.723783  0.0308968   6.3198    13.359  1.996e+22    38.659      1    0  1.2918e-18  9.6699e-20  3.6210e-22    1200.37    7586.03   227580.92 1.3888e+22    1.00   sub
 176   1  16  11  5.30e+20  10.446     0.723783  0.0395137   4.7895     7.020  1.623e+22    31.627      1    0  7.3973e-19  1.0538e-19  3.5001e-22    1638.57    7847.98   235439.27 1.0350e+22    1.05   sub
 177   1  16  12  5.30e+20  11.221     0.723783  0.0505338   3.7407     4.233  1.245e+22    24.486      1    0  4.1164e-19  9.7253e-20  3.2257e-22    2276.52    8515.69   255470.80 7.5384e+21    1.22   sub
 178   1  16  13  5.30e+20  12.165     0.723783  0.0646273   2.9566     2.832  8.895e+21    17.783      1    0  2.1586e-19  7.6228e-20  2.8382e-22    3273.33    9678.03   290340.86 5.2966e+21    1.56   sub
 179   1  16  14  5.30e+20  13.263     0.723783  0.0826515   2.3664     2.094  5.984e+21    12.290      1    0  1.0790e-19  5.1537e-20  2.4011e-22    4834.29   11439.87   343196.00 3.6402e+21    2.16   sub
 180   1  16  15  5.30e+20  13.796     0.723783   0.105703   1.9781     1.732  3.851e+21     8.267      1    0  5.2476e-20  3.0292e-20  1.9642e-22    7069.88   13984.78   419543.39 2.4981e+21    2.98   sub
 181   1  16  16  5.30e+20  13.796     0.723783   0.135182   1.7133     1.535  2.453e+21     5.628      1    0  2.5725e-20  1.6759e-20  1.5878e-22   10097.51   17299.62   518988.73 1.7721e+21    4.01   sub
 182   1  16  17  5.30e+20  13.796     0.723783   0.172884   1.4854     1.394  1.526e+21     3.880      1    0  1.2300e-20  8.8241e-21  1.2663e-22   14602.99   21691.39   650741.83 1.2987e+21    5.53   sub
 183   1  16  18  5.30e+20  13.796     0.723783     0.2211   1.2924     1.293  9.414e+20     2.776      1    0  5.8458e-21  4.5194e-21  1.0034e-22   21182.13   27375.73   821271.93 1.0027e+21    7.72   sub
 184   1  17   5  5.30e+20   7.725      1.07341 0.00903109  59.6244  2072.828  2.690e+22    51.764      1    0  1.5504e-17  7.4795e-21  1.4968e-22     307.78   18351.49   550544.61 4.6523e+22    1.70  deep
 185   1  17   6  5.30e+20   7.884      1.07341  0.0115498  49.8648  1475.981  2.729e+22    52.490      1    0  1.1971e-17  8.1104e-21  1.5567e-22     353.85   17644.89   529346.76 4.1282e+22    1.68  deep
 186   1  17   7  5.30e+20   8.299      1.07341   0.014771  31.6260   597.920  2.743e+22    52.761      1    0  6.4887e-18  1.0852e-20  1.7613e-22     493.13   15595.78   467873.42 3.1115e+22    1.57  deep
 187   1  17   8  5.30e+20   8.666      1.07341  0.0188905  21.5756   263.519  2.659e+22    51.175      1    0  4.0119e-18  1.5224e-20  1.9866e-22     640.86   13826.92   414807.70 2.4897e+22    1.41  deep
 188   1  17   9  5.30e+20   9.121      1.07341   0.024159  14.1071    98.167  2.459e+22    47.391      1    0  2.3516e-18  2.3955e-20  2.2674e-22     858.74   12114.37   363431.03 1.9367e+22    1.22  deep
 189   1  17  10  5.30e+20   9.567      1.07341  0.0308968   9.9928    41.878  2.202e+22    42.545      1    0  1.4711e-18  3.5129e-20  2.4720e-22    1111.98   11111.77   333353.16 1.5450e+22    1.08 super
 190   1  17  11  5.30e+20  10.130      1.07341  0.0395137   7.1373    18.006  1.858e+22    36.048      1    0  8.6827e-19  4.8222e-20  2.5841e-22    1489.33   10629.84   318895.12 1.1889e+22    1.00 super
 191   1  17  12  5.30e+20  10.785      1.07341  0.0505338   5.3277     8.919  1.487e+22    29.050      1    0  5.0255e-19  5.6343e-20  2.5524e-22    2019.99   10762.00   322860.05 8.9770e+21    1.02   sub
 192   1  17  13  5.30e+20  11.563      1.07341  0.0646273   4.1048     5.072  1.125e+22    22.225      1    0  2.8107e-19  5.5412e-20  2.3927e-22    2796.74   11480.07   344402.12 6.6078e+21    1.14   sub
 193   1  17  14  5.30e+20  12.498      1.07341  0.0826515   3.2201     3.245  7.997e+21    16.088      1    0  1.4901e-19  4.5924e-20  2.1362e-22    3993.27   12858.65   385759.37 4.7106e+21    1.41   sub
 194   1  17  15  5.30e+20  13.594      1.07341   0.105703   2.5581     2.307  5.350e+21    11.094      1    0  7.4599e-20  3.2337e-20  1.8242e-22    5886.13   15057.56   451726.72 3.2714e+21    1.90   sub
 195   1  17  16  5.30e+20  13.796      1.07341   0.135182   2.1729     1.902  3.486e+21     7.577      1    0  3.7312e-20  1.9613e-20  1.5077e-22    8384.27   18218.50   546555.11 2.2976e+21    2.50   sub
 196   1  17  17  5.30e+20  13.796      1.07341   0.172884   1.8671     1.645  2.195e+21     5.142      1    0  1.7988e-20  1.0934e-20  1.2183e-22   12075.46   22545.87   676376.22 1.6363e+21    3.35   sub
 197   1  17  18  5.30e+20  13.796      1.07341     0.2211   1.6174     1.473  1.377e+21     3.599      1    0  8.7133e-21  5.9173e-21  9.7886e-23   17350.06   28061.83   841854.75 1.2218e+21    4.55   sub
 198   1  18   7  5.30e+20   8.147      1.59192   0.014771  58.3667  1991.196  2.788e+22    53.596      1    0  7.9555e-18  3.9953e-21  1.0665e-22     441.26   25754.80   772643.94 3.4358e+22    1.70  deep
 199   1  18   8  5.30e+20   8.567      1.59192  0.0188905  38.3997   885.981  2.731e+22    52.522      1    0  4.4656e-18  5.0403e-21  1.1844e-22     603.95   23191.37   695741.14 2.6390e+22    1.63  deep
 200   1  18   9  5.30e+20   9.019      1.59192   0.024159  24.7697   356.843  2.557e+22    49.239      1    0  2.5589e-18  7.1709e-21  1.3547e-22     818.58   20276.09   608282.78 2.0452e+22    1.47  deep
 201   1  18  10  5.30e+20   9.419      1.59192  0.0308968  17.2176   157.558  2.338e+22    45.108      1    0  1.6335e-18  1.0368e-20  1.5237e-22    1047.04   18027.63   540828.83 1.6622e+22    1.31  deep
 202   1  18  11  5.30e+20   9.939      1.59192  0.0395137  11.4470    58.807  2.016e+22    39.031      1    0  9.6332e-19  1.6381e-20  1.7133e-22    1400.56   16032.15   480964.44 1.2963e+22    1.13 super
 203   1  18  12  5.30e+20  10.531      1.59192  0.0505338   7.9462    23.534  1.656e+22    32.245      1    0  5.6229e-19  2.3892e-20  1.8319e-22    1886.99   14994.32   449829.54 9.9844e+21    1.02 super
 204   1  18  13  5.30e+20  11.175      1.59192  0.0646273   5.8912    11.286  1.315e+22    25.816      1    0  3.3254e-19  2.9465e-20  1.8447e-22    2527.63   14890.66   446719.89 7.6762e+21    1.00   sub
 205   1  18  14  5.30e+20  11.941      1.59192  0.0826515   4.4999     6.135  9.920e+21    19.717      1    0  1.8893e-19  3.0797e-20  1.7609e-22    3466.52   15599.08   467972.39 5.7430e+21    1.08   sub
 206   1  18  15  5.30e+20  12.856      1.59192   0.105703   3.5089     3.763  7.070e+21    14.340      1    0  1.0179e-19  2.7046e-20  1.5975e-22    4900.42   17195.30   515859.05 4.1671e+21    1.29   sub
 207   1  18  16  5.30e+20  13.796      1.59192   0.135182   2.7992     2.611  4.769e+21     9.999      1    0  5.2002e-20  1.9919e-20  1.3817e-22    7101.99   19879.91   596397.34 2.9526e+21    1.67   sub
 208   1  18  17  5.30e+20  13.796      1.59192   0.172884   2.3841     2.112  3.098e+21     6.845      1    0  2.5954e-20  1.2287e-20  1.1461e-22   10052.75   23966.52   718995.54 2.0927e+21    2.13   sub
 209   1  18  18  5.30e+20  13.796      1.59192     0.2211   2.0399     1.784  1.959e+21     4.695      1    0  1.2580e-20  7.0522e-21  9.3258e-23   14439.26   29454.59   883637.80 1.5142e+21    2.81   sub
 210   1  19   8  5.30e+20   8.647      2.36091  0.0188905  55.7890  1828.214  2.731e+22    52.531      1    0  3.9850e-18  2.1797e-21  7.6659e-23     642.28   35832.40  1074972.07 2.5184e+22    1.69  deep
 211   1  19   9  5.30e+20   9.008      2.36091   0.024159  40.1995   970.310  2.587e+22    49.813      1    0  2.5483e-18  2.6263e-21  8.3352e-23     819.78   32954.89   988646.71 2.0574e+22    1.64  deep
 212   1  19  10  5.30e+20   9.448      2.36091  0.0308968  27.0812   432.109  2.347e+22    45.279      1    0  1.5416e-18  3.5677e-21  9.3968e-23    1079.42   29231.93   876958.03 1.6388e+22    1.51  deep
 213   1  19  11  5.30e+20   9.810      2.36091  0.0395137  19.8008   217.287  2.122e+22    41.036      1    0  1.0497e-18  4.8310e-21  1.0407e-22    1332.99   26394.36   791830.84 1.3758e+22    1.37  deep
 214   1  19  12  5.30e+20  10.352      2.36091  0.0505338  13.0049    80.553  1.783e+22    34.648      1    0  6.1897e-19  7.6840e-21  1.1845e-22    1783.16   23189.78   695693.33 1.0782e+22    1.18  deep
 215   1  19  13  5.30e+20  10.907      2.36091  0.0646273   9.1293    33.364  1.466e+22    28.657      1    0  3.7811e-19  1.1333e-20  1.2848e-22    2341.93   21380.26   641407.68 8.5407e+21    1.05 super
 216   1  19  14  5.30e+20  11.571      2.36091  0.0826515   6.5861    14.772  1.148e+22    22.660      1    0  2.2164e-19  1.5004e-20  1.3238e-22    3150.56   20749.81   622494.28 6.5877e+21    1.00 super
 217   1  19  15  5.30e+20  12.355      2.36091   0.105703   4.9258     7.469  8.571e+21    17.171      1    0  1.2494e-19  1.6729e-20  1.2861e-22    4335.98   21358.31   640749.40 4.9520e+21    1.04   sub
 218   1  19  16  5.30e+20  13.246      2.36091   0.135182   3.8201     4.405  6.150e+21    12.604      1    0  6.8491e-20  1.5548e-20  1.1858e-22    6063.86   23164.85   694945.50 3.6607e+21    1.20   sub
