! Date: 09/09/2026  Time: 00:51:36  Created by RADMC3D compiled on Sep  9 2026 00:16    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 6.91991355E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
   30  1.6203397E+17  1.0360649E-01  1.0831302E+04  5.2510911E-02  4.1658853E+01  3.6613223E-20  7.8746379E+03  3.6613223E-22  7.8746379E+01       Infinity  6.9312044E+00
   31  1.7968856E+17  1.0307506E-01  1.2011438E+04  5.8232295E-02  4.6197839E+01  2.8993992E-20  6.2359215E+03  2.8993992E-22  6.2359215E+01       Infinity  6.9356706E+00
   32  1.9324385E+17  4.4447314E-02  1.2917553E+04  6.2625205E-02  4.9682897E+01  2.4486377E-20  5.2664403E+03  2.4486377E-22  5.2664403E+01       Infinity  6.9419662E+00
   33  2.0346089E+17  5.8217120E-02  1.3600520E+04  6.5936276E-02  5.2309693E+01  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9378359E+00
   34  2.2065547E+17  1.0216951E-01  1.4749907E+04  7.1508585E-02  5.6730412E+01  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9367621E+00
   35  2.4436378E+17  1.0178416E-01  1.6334710E+04  7.9191819E-02  6.2825807E+01  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9380843E+00
   36  2.7056982E+17  1.0178416E-01  1.8086475E+04  8.7684502E-02  6.9563367E+01  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9356154E+00
   37  3.0436125E+17  1.3156451E-01  2.0345293E+04  9.8635408E-02  7.8251127E+01  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9383747E+00
   38  3.5376139E+17  1.6609257E-01  2.3647488E+04  1.1464468E-01  9.0951878E+01  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9418409E+00
   39  4.2655279E+17  2.0355200E-01  2.8513293E+04  1.3823445E-01  1.0966651E+02  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9430628E+00
   40  5.3423551E+17  2.4060506E-01  3.5711438E+04  1.7313156E-01  1.3735169E+02  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9458952E+00
   41  6.9295612E+17  2.7260232E-01  4.6321256E+04  2.2456870E-01  1.7815868E+02  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9493291E+00
   42  9.2337105E+17  2.9449527E-01  6.1723542E+04  2.9924006E-01  2.3739824E+02  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9557669E+00
   43  1.2479652E+18  3.0229998E-01  8.3421320E+04  4.0443241E-01  3.2085123E+02  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9690048E+00
   44  1.6846569E+18  2.9449527E-01  1.1261235E+05  5.4595260E-01  4.3312444E+02  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  6.9950830E+00
   45  2.2377228E+18  2.7260232E-01  1.4958253E+05  7.2518661E-01  5.7531743E+02  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  7.0378506E+00
   46  2.8904562E+18  2.4060506E-01  1.9321506E+05  9.3672019E-01  7.4313486E+02  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  7.1144990E+00
   47  3.6050979E+18  2.0355200E-01  2.4098591E+05  1.1683166E+00  9.2686887E+02  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  7.2400303E+00
   48  4.3317457E+18  1.6609257E-01  2.8955931E+05  1.4038039E+00  1.1136897E+03  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  7.4591622E+00
   49  5.0218282E+18  1.3156451E-01  3.3568848E+05  1.6274413E+00  1.2911095E+03  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  7.9456801E+00
   50  5.6391642E+18  1.0178416E-01  3.7695484E+05  1.8275035E+00  1.4498263E+03  3.7659604E-20  8.0996897E+03  3.7659604E-22  8.0996897E+01       Infinity  1.2449482E+01
