! Date: 14/08/2026  Time: 14:18:08  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.56803652E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  1.1053575E+02  5.3588509E-04  4.2513751E-01  4.0595238E+21  8.6738739E-04  3.6847636E+21  9.5569333E-04
    2  8.9042107E+02  4.3168238E-03  3.4246964E+00  4.0521840E+21  8.6738739E-04  3.6774238E+21  9.5569333E-04
    3  1.6703064E+03  8.0977625E-03  6.4242553E+00  4.0264461E+21  8.6738739E-04  3.6516859E+21  9.5569333E-04
    4  2.4501917E+03  1.1878701E-02  9.4238142E+00  3.9838058E+21  8.6738739E-04  3.6090456E+21  9.5569333E-04
    5  3.2300770E+03  1.5659640E-02  1.2423373E+01  3.9246135E+21  1.0129054E-02  3.5498533E+21  1.1164922E-02
    6  4.0099623E+03  1.9440579E-02  1.5422932E+01  3.8493313E+21  2.7786208E-02  3.4745711E+21  3.0654623E-02
    7  4.7898476E+03  2.3221517E-02  1.8422491E+01  3.7598623E+21  5.4171385E-02  3.3851021E+21  5.9843252E-02
    8  5.5697330E+03  2.7002456E-02  2.1422050E+01  3.6551738E+21  8.9554360E-02  3.2804136E+21  9.9110688E-02
    9  6.3496183E+03  3.0783395E-02  2.4421609E+01  3.5357429E+21  1.3232909E-01  3.1609828E+21  1.4678955E-01
   10  7.1295036E+03  3.4564334E-02  2.7421168E+01  3.4035864E+21  1.8719904E-01  3.0288262E+21  2.0825238E-01
   11  7.9093889E+03  3.8345272E-02  3.0420727E+01  3.2573021E+21  2.5349722E-01  2.8825420E+21  2.8300055E-01
   12  8.6892742E+03  4.2126211E-02  3.3420285E+01  3.1031299E+21  3.2882823E-01  2.7283697E+21  3.6865730E-01
   13  9.4691595E+03  4.5907150E-02  3.6419844E+01  2.9368300E+21  4.2318543E-01  2.5620698E+21  4.7686308E-01
   14  1.0249045E+04  4.9688088E-02  3.9419403E+01  2.7584576E+21  5.1561698E-01  2.3836974E+21  5.8452710E-01
   15  1.1028930E+04  5.3469027E-02  4.2418962E+01  2.5674208E+21  6.4083779E-01  2.1926606E+21  7.3168430E-01
   16  1.1808815E+04  5.7249966E-02  4.5418521E+01  2.3621493E+21  7.9170620E-01  1.9873891E+21  9.1178486E-01
   17  1.2588701E+04  6.1030905E-02  4.8418080E+01  2.1476524E+21  9.7862686E-01  1.7728922E+21  1.1390807E+00
   18  1.3368586E+04  6.4811843E-02  5.1417639E+01  1.9199904E+21  1.2196193E+00  1.5452303E+21  1.4386335E+00
   19  1.4148471E+04  6.8592782E-02  5.4417198E+01  1.6578400E+21  1.4885327E+00  1.2830798E+21  1.7858270E+00
   20  1.4928357E+04  7.2373721E-02  5.7416757E+01  1.3432809E+21  1.8642302E+00  9.6852069E+20  2.2865396E+00
   21  1.5708242E+04  7.6154660E-02  6.0416316E+01  8.9587400E+20  2.5891953E+00  5.2111382E+20  3.2788902E+00
   22  1.6488127E+04  7.9935598E-02  6.3415874E+01  3.7478067E+20  3.9212893E+00  1.0000000E-99  3.2788902E+00
   23  1.7268013E+04  8.3716537E-02  6.6415433E+01  3.7475928E+20  3.9212893E+00  1.0000000E-99  1.0000000E-99
   24  1.8047898E+04  8.7497476E-02  6.9414992E+01  3.7473689E+20  1.3525084E-03  1.0000000E-99  1.0000000E-99
   25  1.8827783E+04  9.1278414E-02  7.2414551E+01  3.7471350E+20  1.3525084E-03  1.0000000E-99  1.0000000E-99
   26  1.9607669E+04  9.5059353E-02  7.5414110E+01  3.7468912E+20  1.3525084E-03  1.0000000E-99  1.0000000E-99
   27  2.0387554E+04  9.8840292E-02  7.8413669E+01  3.7466374E+20  1.4752100E-03  1.0000000E-99  1.0000000E-99
   28  2.1167439E+04  1.0262123E-01  8.1413228E+01  3.7463736E+20  1.6032621E-03  1.0000000E-99  1.0000000E-99
   29  2.1947325E+04  1.0640217E-01  8.4412787E+01  3.7460999E+20  1.7366687E-03  1.0000000E-99  1.0000000E-99
   30  2.2727210E+04  1.1018311E-01  8.7412346E+01  3.7458162E+20  1.8754342E-03  1.0000000E-99  1.0000000E-99
   31  2.3507095E+04  1.1396405E-01  9.0411904E+01  3.7455225E+20  2.0195628E-03  1.0000000E-99  1.0000000E-99
   32  2.4286980E+04  1.1774499E-01  9.3411463E+01  3.7452188E+20  2.1690594E-03  1.0000000E-99  1.0000000E-99
   33  2.5066866E+04  1.2152592E-01  9.6411022E+01  3.7449052E+20  2.3239285E-03  1.0000000E-99  1.0000000E-99
   34  2.5846751E+04  1.2530686E-01  9.9410581E+01  3.7445815E+20  2.4841753E-03  1.0000000E-99  1.0000000E-99
   35  2.6626636E+04  1.2908780E-01  1.0241014E+02  3.7442479E+20  2.6498047E-03  1.0000000E-99  1.0000000E-99
   36  2.7406522E+04  1.3286874E-01  1.0540970E+02  3.7439043E+20  2.8208222E-03  1.0000000E-99  1.0000000E-99
   37  2.8186407E+04  1.3664968E-01  1.0840926E+02  3.7435507E+20  2.9972331E-03  1.0000000E-99  1.0000000E-99
   38  2.8966292E+04  1.4043062E-01  1.1140882E+02  3.7431871E+20  3.1790432E-03  1.0000000E-99  1.0000000E-99
   39  2.9746178E+04  1.4421156E-01  1.1440838E+02  3.7428135E+20  3.3662583E-03  1.0000000E-99  1.0000000E-99
   40  3.0526063E+04  1.4799250E-01  1.1740793E+02  3.7424299E+20  3.5588844E-03  1.0000000E-99  1.0000000E-99
   41  3.1305948E+04  1.5177343E-01  1.2040749E+02  3.7420363E+20  3.7569277E-03  1.0000000E-99  1.0000000E-99
   42  3.2085834E+04  1.5555437E-01  1.2340705E+02  3.7416326E+20  3.9603945E-03  1.0000000E-99  1.0000000E-99
   43  3.2865719E+04  1.5933531E-01  1.2640661E+02  3.7412190E+20  4.1692915E-03  1.0000000E-99  1.0000000E-99
   44  3.3645604E+04  1.6311625E-01  1.2940617E+02  3.7407954E+20  4.3836252E-03  1.0000000E-99  1.0000000E-99
   45  3.4425490E+04  1.6689719E-01  1.3240573E+02  3.7403617E+20  4.6034026E-03  1.0000000E-99  1.0000000E-99
   46  3.5205375E+04  1.7067813E-01  1.3540529E+02  3.7399180E+20  4.8286309E-03  1.0000000E-99  1.0000000E-99
