! Date: 14/08/2026  Time: 14:19:39  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.56803652E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  3.0298796E+15  9.0847721E-01  2.0253494E+02  9.8190362E-04  7.7898055E-01  4.3788354E-20  9.4178387E+03  4.3788354E-22  9.4178387E+01       Infinity  1.3721311E+01
    2  5.8699721E+15  4.9874314E-01  3.9238340E+02  1.9023022E-03  1.5091669E+00  4.3774324E-20  9.4148211E+03  4.3774324E-22  9.4148211E+01       Infinity  1.3358482E+01
    3  8.8906612E+15  3.5022929E-01  5.9430400E+02  2.8812275E-03  2.2857846E+00  4.3749793E-20  9.4095451E+03  4.3749793E-22  9.4095451E+01       Infinity  1.3169763E+01
    4  1.2103431E+16  2.7362237E-01  8.0906439E+02  3.9224009E-03  3.1117861E+00  4.3712809E-20  9.4015908E+03  4.3712809E-22  9.4015908E+01       Infinity  1.3130391E+01
    5  1.5520495E+16  2.2694890E-01  1.0374810E+03  5.0297808E-03  3.9903117E+00  4.3661165E-20  9.3904833E+03  4.3661165E-22  9.3904833E+01       Infinity  1.2989962E+01
    6  1.9154845E+16  1.9558186E-01  1.2804223E+03  6.2075772E-03  4.9247012E+00  4.3592340E-20  9.3756808E+03  4.3592340E-22  9.3756808E+01       Infinity  1.3064897E+01
    7  2.3020297E+16  1.7308915E-01  1.5388118E+03  7.4602676E-03  5.9185069E+00  4.3503465E-20  9.3565658E+03  4.3503465E-22  9.3565658E+01       Infinity  1.3138351E+01
    8  2.7131546E+16  1.5619955E-01  1.8136319E+03  8.7926145E-03  6.9755072E+00  4.3391272E-20  9.3324358E+03  4.3391272E-22  9.3324358E+01       Infinity  1.3075644E+01
    9  3.1504223E+16  1.4307347E-01  2.1059273E+03  1.0209683E-02  8.0997203E+00  4.3252056E-20  9.3024937E+03  4.3252056E-22  9.3024937E+01       Infinity  1.3058313E+01
   10  3.6154952E+16  1.3259699E-01  2.4168092E+03  1.1716861E-02  9.2954202E+00  4.3087646E-20  9.2671330E+03  4.3087646E-22  9.2671330E+01       Infinity  1.3106242E+01
   11  4.1101412E+16  1.2405614E-01  2.7474597E+03  1.3319877E-02  1.0567153E+01  4.2884856E-20  9.2235176E+03  4.2884856E-22  9.2235176E+01       Infinity  1.3128701E+01
   12  4.6362409E+16  1.1697218E-01  3.0991356E+03  1.5024827E-02  1.1919752E+01  4.2643001E-20  9.1715003E+03  4.2643001E-22  9.1715003E+01       Infinity  1.3081666E+01
   13  5.1957944E+16  1.1101206E-01  3.4731741E+03  1.6838192E-02  1.3358362E+01  4.2356634E-20  9.1099096E+03  4.2356634E-22  9.1099096E+01       Infinity  1.3084577E+01
   14  5.7909290E+16  1.0593695E-01  3.8709970E+03  1.8766865E-02  1.4888450E+01  4.2020568E-20  9.0376297E+03  4.2020568E-22  9.0376297E+01       Infinity  1.3158966E+01
   15  6.4239072E+16  1.0157106E-01  4.2941168E+03  2.0818179E-02  1.6515834E+01  4.1628489E-20  8.9533027E+03  4.1628489E-22  8.9533027E+01       Infinity  1.3220625E+01
   16  7.0971355E+16  9.7782180E-02  4.7441420E+03  2.2999933E-02  1.8246700E+01  4.1174484E-20  8.8556571E+03  4.1174484E-22  8.8556571E+01       Infinity  1.3287835E+01
   17  7.8131732E+16  9.4468914E-02  5.2227837E+03  2.5320422E-02  2.0087629E+01  4.0652023E-20  8.7432880E+03  4.0652023E-22  8.7432880E+01       Infinity  1.3344370E+01
   18  8.5747425E+16  9.1552213E-02  5.7318613E+03  2.7788466E-02  2.2045620E+01  4.0054800E-20  8.6148396E+03  4.0054800E-22  8.6148396E+01       Infinity  1.3433795E+01
   19  9.3847387E+16  8.8969532E-02  6.2733103E+03  3.0413449E-02  2.4128117E+01  3.9376304E-20  8.4689112E+03  3.9376304E-22  8.4689112E+01       Infinity  1.3518824E+01
   20  1.0246241E+17  8.6670734E-02  6.8491892E+03  3.3205350E-02  2.6343035E+01  3.8610401E-20  8.3041835E+03  3.8610401E-22  8.3041835E+01       Infinity  1.3654062E+01
   21  1.1162525E+17  8.4615156E-02  7.4616873E+03  3.6174783E-02  2.8698797E+01  3.7751677E-20  8.1194924E+03  3.7751677E-22  8.1194924E+01       Infinity  1.3776255E+01
   22  1.2137074E+17  8.2769468E-02  8.1131330E+03  3.9333038E-02  3.1204358E+01  3.6795439E-20  7.9138281E+03  3.6795439E-22  7.9138281E+01       Infinity  1.3938493E+01
   23  1.3173593E+17  8.1106094E-02  8.8060031E+03  4.2692121E-02  3.3869243E+01  3.5738358E-20  7.6864751E+03  3.5738358E-22  7.6864751E+01       Infinity  1.4137378E+01
   24  1.4276023E+17  7.9602016E-02  9.5429317E+03  4.6264802E-02  3.6703583E+01  3.4578426E-20  7.4370011E+03  3.4578426E-22  7.4370011E+01       Infinity  1.4388979E+01
