! Date: 14/08/2026  Time: 14:15:53  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.23189124E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  3.4889395E+14  1.0739402E+00  2.3322120E+01  1.1306728E-04  8.9700462E-02  2.9747142E-18  6.3979063E+05  2.9747142E-20  6.3979063E+03       Infinity  6.2631954E+00
    2  7.4851320E+14  5.6718739E-01  5.0035017E+01  2.4257327E-04  1.9244237E-01  2.9729428E-18  6.3940965E+05  2.9729428E-20  6.3940965E+03       Infinity  5.9094395E+00
    3  1.2013053E+15  4.0042861E-01  8.0302302E+01  3.8931119E-04  3.0885501E-01  2.9694396E-18  6.3865619E+05  2.9694396E-20  6.3865619E+03       Infinity  6.1172676E+00
    4  1.7143455E+15  3.1793083E-01  1.1459692E+02  5.5557390E-04  4.4075738E-01  2.9635460E-18  6.3738861E+05  2.9635460E-20  6.3738861E+03       Infinity  8.6987281E+00
    5  2.2956502E+15  2.6901578E-01  1.5345474E+02  7.4395934E-04  5.9021053E-01  2.9544056E-18  6.3542272E+05  2.9544056E-20  6.3542272E+03       Infinity  8.1364548E+00
    6  2.9543027E+15  2.3685413E-01  1.9748294E+02  9.5741113E-04  7.5954975E-01  2.9409053E-18  6.3251913E+05  2.9409053E-20  6.3251913E+03       Infinity  8.1558604E+00
    7  3.7005947E+15  2.1424807E-01  2.4736948E+02  1.1992646E-03  9.5142106E-01  2.9221066E-18  6.2847598E+05  2.9221066E-20  6.2847598E+03       Infinity  7.9037664E+00
    8  4.5461875E+15  1.9760302E-01  3.0389387E+02  1.4732988E-03  1.1688226E+00  2.8957637E-18  6.2281023E+05  2.8957637E-20  6.2281023E+03       Infinity  7.8500732E+00
    9  5.5042940E+15  1.8492336E-01  3.6793933E+02  1.7837957E-03  1.4151513E+00  2.8600442E-18  6.1512783E+05  2.8600442E-20  6.1512783E+03       Infinity  8.1209488E+00
   10  6.5898850E+15  1.7501209E-01  4.4050660E+02  2.1356069E-03  1.6942562E+00  2.8125043E-18  6.0490313E+05  2.8125043E-20  6.0490313E+03       Infinity  8.0831932E+00
   11  7.8199236E+15  1.6710747E-01  5.2272960E+02  2.5342298E-03  2.0104985E+00  2.7503444E-18  5.9153399E+05  2.7503444E-20  5.9153399E+03       Infinity  8.1111809E+00
   12  9.2136297E+15  1.6070156E-01  6.1589311E+02  2.9858930E-03  2.3688196E+00  2.6705214E-18  5.7436595E+05  2.6705214E-20  5.7436595E+03       Infinity  8.1826577E+00
   13  1.0792781E+16  1.5544257E-01  7.2145284E+02  3.4976540E-03  2.7748186E+00  2.5699790E-18  5.5274167E+05  2.5699790E-20  5.5274167E+03       Infinity  8.1236115E+00
   14  1.2582052E+16  1.5107908E-01  8.4105823E+02  4.0775093E-03  3.2348394E+00  2.4460021E-18  5.2607717E+05  2.4460021E-20  5.2607717E+03       Infinity  8.2074535E+00
   15  1.4609402E+16  1.4742660E-01  9.7657819E+02  4.7345196E-03  3.7560699E+00  2.2967881E-18  4.9398477E+05  2.2967881E-20  4.9398477E+03       Infinity  8.2268158E+00
   16  1.6906508E+16  1.4434670E-01  1.1301303E+03  5.4789509E-03  4.3466549E+00  2.1220966E-18  4.5641277E+05  2.1220966E-20  4.5641277E+03       Infinity  8.2907281E+00
   17  1.9509265E+16  1.4173344E-01  1.3041138E+03  6.3224354E-03  5.0158224E+00  1.9239463E-18  4.1379532E+05  1.9239463E-20  4.1379532E+03       Infinity  8.3709501E+00
   18  2.2458342E+16  1.3950444E-01  1.5012474E+03  7.2781530E-03  5.7740286E+00  1.7070475E-18  3.6714553E+05  1.7070475E-20  3.6714553E+03       Infinity  8.4531359E+00
   19  2.5799820E+16  1.3759465E-01  1.7246114E+03  8.3610373E-03  6.6331209E+00  1.4788450E-18  3.1806457E+05  1.4788450E-20  3.1806457E+03       Infinity  8.5832184E+00
   20  2.9585911E+16  1.3595205E-01  1.9776960E+03  9.5880090E-03  7.6065231E+00  1.2488147E-18  2.6859049E+05  1.2488147E-20  2.6859049E+03       Infinity  8.7529065E+00
   21  3.3875775E+16  1.3453458E-01  2.2644557E+03  1.0978240E-02  8.7094451E+00  1.0271667E-18  2.2091924E+05  1.0271667E-20  2.2091924E+03       Infinity  8.9679669E+00
   22  3.8736444E+16  1.3330791E-01  2.5893714E+03  1.2553454E-02  9.9591206E+00  8.2317922E-19  1.7704637E+05  8.2317922E-21  1.7704637E+03       Infinity  9.2442957E+00
   23  4.4243868E+16  1.3224372E-01  2.9575199E+03  1.4338264E-02  1.1375077E+01  6.4372176E-19  1.3844932E+05  6.4372176E-21  1.3844932E+03       Infinity  9.5908820E+00
   24  5.0484104E+16  1.3131852E-01  3.3746539E+03  1.6360559E-02  1.2979438E+01  4.9243072E-19  1.0591020E+05  4.9243072E-21  1.0591020E+03       Infinity  1.0035237E+01
