! Date: 14/08/2026  Time: 13:33:58  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.56268465E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  7.9806323E+01  3.8690665E-04  3.0694740E-01  3.8782658E+21  3.0534195E-03  3.5035521E+21  3.3813060E-03
    2  8.5944244E+02  4.1666372E-03  3.3055478E+00  3.8502231E+21  3.0534195E-03  3.4755093E+21  3.3813060E-03
    3  1.6390786E+03  7.9463678E-03  6.3041483E+00  3.7632908E+21  3.0534195E-03  3.3885770E+21  3.3813060E-03
    4  2.4187147E+03  1.1726098E-02  9.3027487E+00  3.6184853E+21  3.0534195E-03  3.2437715E+21  3.3813060E-03
    5  3.1983508E+03  1.5505829E-02  1.2301349E+01  3.4136967E+21  3.5373467E-02  3.0389830E+21  3.9235969E-02
    6  3.9779869E+03  1.9285560E-02  1.5299950E+01  3.1459672E+21  1.0084316E-01  2.7712535E+21  1.1224146E-01
    7  4.7576230E+03  2.3065290E-02  1.8298550E+01  2.8104021E+21  2.0851796E-01  2.4356883E+21  2.3340736E-01
    8  5.5372591E+03  2.6845021E-02  2.1297150E+01  2.3837555E+21  3.7441175E-01  2.0090418E+21  4.2276944E-01
    9  6.3168952E+03  3.0624751E-02  2.4295751E+01  1.8120273E+21  6.3023062E-01  1.4373136E+21  7.2117494E-01
   10  7.0965314E+03  3.4404482E-02  2.7294351E+01  7.6393637E+20  1.0850002E+00  3.8922260E+20  1.2689929E+00
   11  7.8761675E+03  3.8184213E-02  3.0292952E+01  3.7474667E+20  2.0817936E+00  1.0000000E-99  1.2689929E+00
   12  8.6558036E+03  4.1963943E-02  3.3291552E+01  3.7469352E+20  2.0817936E+00  1.0000000E-99  1.0000000E-99
   13  9.4354397E+03  4.5743674E-02  3.6290153E+01  3.7463561E+20  1.7921551E-03  1.0000000E-99  1.0000000E-99
   14  1.0215076E+04  4.9523404E-02  3.9288753E+01  3.7457231E+20  1.7921551E-03  1.0000000E-99  1.0000000E-99
   15  1.0994712E+04  5.3303135E-02  4.2287354E+01  3.7450394E+20  1.7921551E-03  1.0000000E-99  1.0000000E-99
   16  1.1774348E+04  5.7082865E-02  4.5285954E+01  3.7443048E+20  2.1283524E-03  1.0000000E-99  1.0000000E-99
   17  1.2553984E+04  6.0862596E-02  4.8284554E+01  3.7435195E+20  2.4820735E-03  1.0000000E-99  1.0000000E-99
   18  1.3333620E+04  6.4642327E-02  5.1283155E+01  3.7426833E+20  2.8631759E-03  1.0000000E-99  1.0000000E-99
   19  1.4113256E+04  6.8422057E-02  5.4281755E+01  3.7417962E+20  3.2717215E-03  1.0000000E-99  1.0000000E-99
   20  1.4892893E+04  7.2201788E-02  5.7280356E+01  3.7408582E+20  3.7077769E-03  1.0000000E-99  1.0000000E-99
   21  1.5672529E+04  7.5981518E-02  6.0278956E+01  3.7398693E+20  4.1714135E-03  1.0000000E-99  1.0000000E-99
   22  1.6452165E+04  7.9761249E-02  6.3277557E+01  3.7388293E+20  4.6627070E-03  1.0000000E-99  1.0000000E-99
   23  1.7231801E+04  8.3540980E-02  6.6276157E+01  3.7377383E+20  5.1817378E-03  1.0000000E-99  1.0000000E-99
   24  1.8011437E+04  8.7320710E-02  6.9274758E+01  3.7365963E+20  5.7285911E-03  1.0000000E-99  1.0000000E-99
   25  1.8791073E+04  9.1100441E-02  7.2273358E+01  3.7354031E+20  6.3033567E-03  1.0000000E-99  1.0000000E-99
   26  1.9570709E+04  9.4880171E-02  7.5271958E+01  3.7341587E+20  6.9061293E-03  1.0000000E-99  1.0000000E-99
   27  2.0350345E+04  9.8659902E-02  7.8270559E+01  3.7328631E+20  7.5370083E-03  1.0000000E-99  1.0000000E-99
   28  2.1129981E+04  1.0243963E-01  8.1269159E+01  3.7315162E+20  8.1960979E-03  1.0000000E-99  1.0000000E-99
   29  2.1909618E+04  1.0621936E-01  8.4267760E+01  3.7301179E+20  8.8835071E-03  1.0000000E-99  1.0000000E-99
   30  2.2689254E+04  1.0999909E-01  8.7266360E+01  3.7286683E+20  9.5993500E-03  1.0000000E-99  1.0000000E-99
   31  2.3468890E+04  1.1377882E-01  9.0264961E+01  3.7271672E+20  1.0343746E-02  1.0000000E-99  1.0000000E-99
   32  2.4248526E+04  1.1755855E-01  9.3263561E+01  3.7256146E+20  1.1116818E-02  1.0000000E-99  1.0000000E-99
   33  2.5028162E+04  1.2133829E-01  9.6262162E+01  3.7240103E+20  1.1918696E-02  1.0000000E-99  1.0000000E-99
   34  2.5807798E+04  1.2511802E-01  9.9260762E+01  3.7223545E+20  1.2749514E-02  1.0000000E-99  1.0000000E-99
   35  2.6587434E+04  1.2889775E-01  1.0225936E+02  3.7206469E+20  1.3609411E-02  1.0000000E-99  1.0000000E-99
   36  2.7367070E+04  1.3267748E-01  1.0525796E+02  3.7188875E+20  1.4498532E-02  1.0000000E-99  1.0000000E-99
   37  2.8146706E+04  1.3645721E-01  1.0825656E+02  3.7170763E+20  1.5417028E-02  1.0000000E-99  1.0000000E-99
   38  2.8926343E+04  1.4023694E-01  1.1125516E+02  3.7152131E+20  1.6365052E-02  1.0000000E-99  1.0000000E-99
   39  2.9705979E+04  1.4401667E-01  1.1425376E+02  3.7132979E+20  1.7342766E-02  1.0000000E-99  1.0000000E-99
   40  3.0485615E+04  1.4779640E-01  1.1725236E+02  3.7113306E+20  1.8350336E-02  1.0000000E-99  1.0000000E-99
   41  3.1265251E+04  1.5157613E-01  1.2025097E+02  3.7093111E+20  1.9387934E-02  1.0000000E-99  1.0000000E-99
   42  3.2044887E+04  1.5535586E-01  1.2324957E+02  3.7072394E+20  2.0455738E-02  1.0000000E-99  1.0000000E-99
   43  3.2824523E+04  1.5913559E-01  1.2624817E+02  3.7051153E+20  2.1553930E-02  1.0000000E-99  1.0000000E-99
   44  3.3604159E+04  1.6291532E-01  1.2924677E+02  3.7029387E+20  2.2682699E-02  1.0000000E-99  1.0000000E-99
   45  3.4383795E+04  1.6669505E-01  1.3224537E+02  3.7007096E+20  2.3842241E-02  1.0000000E-99  1.0000000E-99
   46  3.5163431E+04  1.7047478E-01  1.3524397E+02  3.6984279E+20  2.5032757E-02  1.0000000E-99  1.0000000E-99
   47  3.5943068E+04  1.7425451E-01  1.3824257E+02  3.6960935E+20  2.6254452E-02  1.0000000E-99  1.0000000E-99
   48  3.6722704E+04  1.7803424E-01  1.4124117E+02  3.6937062E+20  2.7507541E-02  1.0000000E-99  1.0000000E-99
   49  3.7502340E+04  1.8181397E-01  1.4423977E+02  3.6912660E+20  2.8792242E-02  1.0000000E-99  1.0000000E-99
   50  3.8281976E+04  1.8559371E-01  1.4723837E+02  3.6887727E+20  3.0108782E-02  1.0000000E-99  1.0000000E-99
   51  3.9061612E+04  1.8937344E-01  1.5023697E+02  3.6862263E+20  3.1457392E-02  1.0000000E-99  1.0000000E-99
   52  3.9841248E+04  1.9315317E-01  1.5323557E+02  3.6836266E+20  3.2838311E-02  1.0000000E-99  1.0000000E-99
   53  4.0620884E+04  1.9693290E-01  1.5623417E+02  3.6809736E+20  3.4251785E-02  1.0000000E-99  1.0000000E-99
   54  4.1400520E+04  2.0071263E-01  1.5923277E+02  3.6782671E+20  3.5698066E-02  1.0000000E-99  1.0000000E-99
   55  4.2180157E+04  2.0449236E-01  1.6223137E+02  3.6755070E+20  3.7177412E-02  1.0000000E-99  1.0000000E-99
   56  4.2959793E+04  2.0827209E-01  1.6522997E+02  3.6726931E+20  3.8690091E-02  1.0000000E-99  1.0000000E-99
   57  4.3739429E+04  2.1205182E-01  1.6822857E+02  3.6698254E+20  4.0236375E-02  1.0000000E-99  1.0000000E-99
   58  4.4519065E+04  2.1583155E-01  1.7122717E+02  3.6669038E+20  4.1816545E-02  1.0000000E-99  1.0000000E-99
   59  4.5298701E+04  2.1961128E-01  1.7422577E+02  3.6639280E+20  4.3430888E-02  1.0000000E-99  1.0000000E-99
   60  4.6078337E+04  2.2339101E-01  1.7722437E+02  3.6608980E+20  4.5079701E-02  1.0000000E-99  1.0000000E-99
   61  4.6857973E+04  2.2717074E-01  1.8022297E+02  3.6578136E+20  4.6763286E-02  1.0000000E-99  1.0000000E-99
   62  4.7637609E+04  2.3095047E-01  1.8322157E+02  3.6546747E+20  4.8481955E-02  1.0000000E-99  1.0000000E-99
   63  4.8417245E+04  2.3473020E-01  1.8622017E+02  3.6514812E+20  5.0236026E-02  1.0000000E-99  1.0000000E-99
   64  4.9196882E+04  2.3850993E-01  1.8921878E+02  3.6482329E+20  5.2025827E-02  1.0000000E-99  1.0000000E-99
   65  4.9976518E+04  2.4228966E-01  1.9221738E+02  3.6449297E+20  5.3851694E-02  1.0000000E-99  1.0000000E-99
   66  5.0756154E+04  2.4606939E-01  1.9521598E+02  3.6415713E+20  5.5713969E-02  1.0000000E-99  1.0000000E-99
   67  5.1535790E+04  2.4984913E-01  1.9821458E+02  3.6381577E+20  5.7613006E-02  1.0000000E-99  1.0000000E-99
   68  5.2315426E+04  2.5362886E-01  2.0121318E+02  3.6346887E+20  5.9549167E-02  1.0000000E-99  1.0000000E-99
   69  5.3095062E+04  2.5740859E-01  2.0421178E+02  3.6311642E+20  6.1522821E-02  1.0000000E-99  1.0000000E-99
   70  5.3874698E+04  2.6118832E-01  2.0721038E+02  3.6275840E+20  6.3534349E-02  1.0000000E-99  1.0000000E-99
   71  5.4654334E+04  2.6496805E-01  2.1020898E+02  3.6239478E+20  6.5584139E-02  1.0000000E-99  1.0000000E-99
   72  5.5433970E+04  2.6874778E-01  2.1320758E+02  3.6202557E+20  6.7672590E-02  1.0000000E-99  1.0000000E-99
   73  5.6213607E+04  2.7252751E-01  2.1620618E+02  3.6165073E+20  6.9800110E-02  1.0000000E-99  1.0000000E-99
   74  5.6993243E+04  2.7630724E-01  2.1920478E+02  3.6127025E+20  7.1967118E-02  1.0000000E-99  1.0000000E-99
   75  5.7772879E+04  2.8008697E-01  2.2220338E+02  3.6088411E+20  7.4174043E-02  1.0000000E-99  1.0000000E-99
   76  5.8552515E+04  2.8386670E-01  2.2520198E+02  3.6049230E+20  7.6421323E-02  1.0000000E-99  1.0000000E-99
   77  5.9332151E+04  2.8764643E-01  2.2820058E+02  3.6009479E+20  7.8709409E-02  1.0000000E-99  1.0000000E-99
   78  6.0111787E+04  2.9142616E-01  2.3119918E+02  3.5969157E+20  8.1038761E-02  1.0000000E-99  1.0000000E-99
   79  6.0891423E+04  2.9520589E-01  2.3419778E+02  3.5928262E+20  8.3409852E-02  1.0000000E-99  1.0000000E-99
   80  6.1671059E+04  2.9898562E-01  2.3719638E+02  3.5886791E+20  8.5823164E-02  1.0000000E-99  1.0000000E-99
   81  6.2450696E+04  3.0276535E-01  2.4019498E+02  3.5844744E+20  8.8279193E-02  1.0000000E-99  1.0000000E-99
   82  6.3230332E+04  3.0654508E-01  2.4319358E+02  3.5802117E+20  9.0778446E-02  1.0000000E-99  1.0000000E-99
   83  6.4009968E+04  3.1032481E-01  2.4619218E+02  3.5758909E+20  9.3321443E-02  1.0000000E-99  1.0000000E-99
   84  6.4789604E+04  3.1410455E-01  2.4919078E+02  3.5715117E+20  9.5908714E-02  1.0000000E-99  1.0000000E-99
   85  6.5569240E+04  3.1788428E-01  2.5218938E+02  3.5670740E+20  9.8540807E-02  1.0000000E-99  1.0000000E-99
   86  6.6348876E+04  3.2166401E-01  2.5518798E+02  3.5625775E+20  1.0121828E-01  1.0000000E-99  1.0000000E-99
   87  6.7128512E+04  3.2544374E-01  2.5818659E+02  3.5580221E+20  1.0394170E-01  1.0000000E-99  1.0000000E-99
   88  6.7908148E+04  3.2922347E-01  2.6118519E+02  3.5534074E+20  1.0671166E-01  1.0000000E-99  1.0000000E-99
