! Date: 14/08/2026  Time: 13:34:44  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.56268465E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  2.0883481E+15  8.5662205E-01  1.3959745E+02  6.7677823E-04  5.3691327E-01  8.3972697E-20  1.8060540E+04  8.3972697E-22  1.8060540E+02       Infinity  1.3600028E+01
    2  3.9170642E+15  4.7701723E-01  2.6183957E+02  1.2694166E-03  1.0070753E+00  8.3950405E-20  1.8055746E+04  8.3950405E-22  1.8055746E+02       Infinity  1.3325400E+01
    3  5.8271325E+15  3.3492108E-01  3.8951975E+02  1.8884191E-03  1.4981529E+00  8.3912874E-20  1.8047673E+04  8.3912874E-22  1.8047673E+02       Infinity  1.3278179E+01
    4  7.8221721E+15  2.6059893E-01  5.2287991E+02  2.5349585E-03  2.0110766E+00  8.3858095E-20  1.8035892E+04  8.3858095E-22  1.8035892E+02       Infinity  1.3105471E+01
    5  9.9059630E+15  2.1493439E-01  6.6217273E+02  3.2102598E-03  2.5468182E+00  8.3783899E-20  1.8019934E+04  8.3783899E-22  1.8019934E+02       Infinity  1.3261138E+01
    6  1.2082453E+16  1.8405605E-01  8.0766212E+02  3.9156026E-03  3.1063928E+00  8.3687903E-20  1.7999287E+04  8.3687903E-22  1.7999287E+02       Infinity  1.3263829E+01
    7  1.4355767E+16  1.6180109E-01  9.5962375E+02  4.6523233E-03  3.6908606E+00  8.3567498E-20  1.7973391E+04  8.3567498E-22  1.7973391E+02       Infinity  1.3230146E+01
    8  1.6730211E+16  1.4501370E-01  1.1183455E+03  5.4218176E-03  4.3013290E+00  8.3419823E-20  1.7941630E+04  8.3419823E-22  1.7941630E+02       Infinity  1.3232189E+01
    9  1.9210285E+16  1.3191047E-01  1.2841282E+03  6.2255437E-03  4.9389547E+00  8.3241748E-20  1.7903330E+04  8.3241748E-22  1.7903330E+02       Infinity  1.3236192E+01
   10  2.1800687E+16  1.2140749E-01  1.4572859E+03  7.0650244E-03  5.6049458E+00  8.3029855E-20  1.7857757E+04  8.3029855E-22  1.7857757E+02       Infinity  1.3176732E+01
