! Date: 14/08/2026  Time: 14:48:02  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.52851508E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  9.4677437E+14  1.1169264E+00  6.3287957E+01  3.0682446E-04  2.4341522E-01  5.2167464E-19  1.1219987E+05  5.2167464E-21  1.1219987E+03       Infinity  4.7152580E+00
    2  2.0858093E+15  5.8518898E-01  1.3942774E+02  6.7595547E-04  5.3626054E-01  5.2130688E-19  1.1212077E+05  5.2130688E-21  1.1212077E+03       Infinity  5.7429879E+00
    3  3.4005398E+15  4.1430729E-01  2.2731205E+02  1.1020248E-03  8.7427710E-01  5.2055455E-19  1.1195896E+05  5.2055455E-21  1.1195896E+03       Infinity  5.8946678E+00
    4  4.9180669E+15  3.3065546E-01  3.2875247E+02  1.5938150E-03  1.2644326E+00  5.1924871E-19  1.1167811E+05  5.1924871E-21  1.1167811E+03       Infinity  6.3068464E+00
    5  6.6696717E+15  2.8142675E-01  4.4584002E+02  2.1614637E-03  1.7147693E+00  5.1716109E-19  1.1122911E+05  5.1716109E-21  1.1122911E+03       Infinity  9.0119691E+00
    6  8.6914608E+15  2.4927387E-01  5.8098827E+02  2.8166719E-03  2.2345703E+00  5.1403035E-19  1.1055576E+05  5.1403035E-21  1.1055576E+03       Infinity  9.2247875E+00
    7  1.1025110E+16  2.2682259E-01  7.3698307E+02  3.5729456E-03  2.8345503E+00  5.0945617E-19  1.0957197E+05  5.0945617E-21  1.0957197E+03       Infinity  8.8225773E+00
    8  1.3718723E+16  2.1040460E-01  9.1703999E+02  4.4458742E-03  3.5270769E+00  5.0293595E-19  1.0816962E+05  5.0293595E-21  1.0816962E+03       Infinity  9.2208886E+00
    9  1.6827825E+16  1.9798881E-01  1.1248706E+03  5.4534516E-03  4.3264254E+00  4.9388152E-19  1.0622223E+05  4.9388152E-21  1.0622223E+03       Infinity  9.2413874E+00
   10  2.0416504E+16  1.8835925E-01  1.3647590E+03  6.6164473E-03  5.2490730E+00  4.8158552E-19  1.0357765E+05  4.8158552E-21  1.0357765E+03       Infinity  8.8890677E+00
   11  2.4558735E+16  1.8074323E-01  1.6416500E+03  7.9588346E-03  6.3140386E+00  4.6526084E-19  1.0006660E+05  4.6526084E-21  1.0006660E+03       Infinity  8.9346612E+00
   12  2.9339903E+16  1.7462605E-01  1.9612514E+03  9.5082844E-03  7.5432746E+00  4.4411799E-19  9.5519270E+04  4.4411799E-21  9.5519270E+02       Infinity  8.9237662E+00
   13  3.4858564E+16  1.6965158E-01  2.3301511E+03  1.1296736E-02  8.9621196E+00  4.1749299E-19  8.9792863E+04  4.1749299E-21  8.9792863E+02       Infinity  8.9638761E+00
   14  4.1228476E+16  1.6556549E-01  2.7559534E+03  1.3361056E-02  1.0599821E+01  3.8504623E-19  8.2814333E+04  3.8504623E-21  8.2814333E+02       Infinity  9.3195505E+00
   15  4.8580944E+16  1.6218133E-01  3.2474355E+03  1.5743795E-02  1.2490137E+01  3.4699251E-19  7.4629878E+04  3.4699251E-21  7.4629878E+02       Infinity  9.4638111E+00
   16  5.7067526E+16  1.5935932E-01  3.8147285E+03  1.8494071E-02  1.4672033E+01  3.0430262E-19  6.5448292E+04  3.0430262E-21  6.5448292E+02       Infinity  9.6322302E+00
   17  6.6863159E+16  1.5699265E-01  4.4695261E+03  2.1668576E-02  1.7190485E+01  2.5876470E-19  5.5654164E+04  2.5876470E-21  5.5654164E+02       Infinity  9.9817084E+00
   18  7.8169764E+16  1.5499836E-01  5.2253260E+03  2.5332747E-02  2.0097408E+01  2.1281143E-19  4.5770702E+04  2.1281143E-21  4.5770702E+02       Infinity  1.0331057E+01
   19  9.1220407E+16  1.5331110E-01  6.0977076E+03  2.9562114E-02  2.3452722E+01  1.6908993E-19  3.6367243E+04  1.6908993E-21  3.6367243E+02       Infinity  1.0651577E+01
   20  1.0628411E+17  1.5187874E-01  7.1046536E+03  3.4443859E-02  2.7325591E+01  1.2990641E-19  2.7939794E+04  1.2990641E-21  2.7939794E+02       Infinity  1.1065842E+01
   21  1.2367137E+17  1.5065926E-01  8.2669206E+03  4.0078611E-02  3.1795849E+01  9.6767855E-20  2.0812476E+04  9.6767855E-22  2.0812476E+02       Infinity  1.1604446E+01
   22  1.4374062E+17  1.4961847E-01  9.6084667E+03  4.6582521E-02  3.6955641E+01  7.0198819E-20  1.5098105E+04  7.0198819E-22  1.5098105E+02       Infinity  1.2224889E+01
   23  1.6690553E+17  1.4872832E-01  1.1156946E+04  5.4089655E-02  4.2911329E+01  4.9869264E-20  1.0725698E+04  4.9869264E-22  1.0725698E+02       Infinity  1.2848339E+01
   24  1.9364362E+17  1.4796565E-01  1.2944277E+04  6.2754761E-02  4.9785679E+01  3.4901778E-20  7.5065466E+03  3.4901778E-22  7.5065466E+01       Infinity  1.3559405E+01
   25  2.2450605E+17  1.4731119E-01  1.5007303E+04  7.2756456E-02  5.7720395E+01  2.4206765E-20  5.2063023E+03  2.4206765E-22  5.2063023E+01       Infinity  1.4291662E+01
   26  2.6012899E+17  1.4674886E-01  1.7388549E+04  8.4300907E-02  6.6879036E+01  1.6727080E-20  3.5975991E+03  1.6727080E-22  3.5975991E+01       Infinity  1.5001362E+01
   27  3.0124676E+17  1.4626513E-01  2.0137102E+04  9.7626084E-02  7.7450393E+01  1.1567710E-20  2.4879407E+03  1.1567710E-22  2.4879407E+01       Infinity  1.5789180E+01
   28  3.4870692E+17  1.4584862E-01  2.3309618E+04  1.1300666E-01  8.9652376E+01  8.0345881E-21  1.7280498E+03  8.0345881E-23  1.7280498E+01       Infinity  1.6522531E+01
