# Injection truth table -- cmf2.00_n600_s2031_flat  seed=2031
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.0949 M_sun
# 1 of 600 draws discarded: the background column of the real source drawn lies outside every embedding rung
# 599 cores assigned to 71 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.0949 versus 0.0643 M_sun, median |log10 ratio| 0.175 dex
# drawn contrast versus node contrast at the drawn column: median 1.220 versus 1.238, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.1 versus 41.4 arcsec, median |log10 ratio| 0.063 dex
# target background column: median 4.93e+21 cm^-2 (5th 3.08e+21, 95th 1.34e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.67 +/- 0.11  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.51 +/- 0.16  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  045  i02j08k08       563    919    4.966e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  046  i02j08k08       719    699    5.825e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  047  i02j08k08       911    930    5.748e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  048  i02j08k08       666    179    5.387e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  049  i02j08k08       260    599    5.662e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  050  i02j08k08       458    878    5.168e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  051  i02j08k08       868    858    5.617e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  052  i02j08k08       502    899    6.296e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  053  i02j08k08       460    742    5.248e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  054  i02j08k08       932    566    5.429e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  055  i02j08k08       559    223    6.003e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  056  i02j08k08       608    245    5.166e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  057  i02j08k08       547    859    6.165e+21    6.000e+21   11.57    1.732e-20  0.1607    43.52    70.24  1
  058  i01j08k08       628     59    3.941e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  059  i01j08k08       312    772    4.144e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  060  i01j08k08       338    745    4.131e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  061  i01j08k08       408    935    4.366e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  062  i01j08k08       232    924    4.162e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  063  i01j08k08       656    858    4.240e+21    3.000e+21   13.29    1.748e-20  0.1609    43.23    69.90  1
  064  i01j07k08       705    924    4.245e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  065  i01j07k08       604    190    4.287e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  066  i01j07k08       584    107    4.312e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  067  i01j07k08       821    236    3.860e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  068  i01j07k08       687    851    4.309e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  069  i01j07k08       223    880    4.178e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  070  i01j07k08       385    755    4.414e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  071  i01j07k08       803    137    3.837e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  072  i01j07k08       302    920    4.409e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  073  i01j07k08       792    263    3.567e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  074  i01j07k08       827    362    4.191e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  075  i01j07k08       168    847    4.312e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  076  i01j07k08       573     63    4.156e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  077  i01j07k08       446    663    4.256e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  078  i01j07k08       861    317    3.456e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  079  i02j07k08       548    827    6.175e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  080  i02j07k08       649    223    6.081e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  081  i02j07k08       228    676    5.698e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  082  i02j07k08       828    465    5.274e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  083  i02j07k08       443    611    5.688e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  084  i02j07k08       448    809    4.420e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  085  i02j07k08       332    867    4.518e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  086  i02j07k08       146    873    4.547e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  087  i02j07k08       333    926    4.761e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
