! Date: 14/08/2026  Time: 14:16:59  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.30740192E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  3.6630828E+01  1.7758883E-04  1.4088780E-01  1.3188391E+22  4.2135940E-03  1.2813653E+22  4.3376547E-03
    2  8.1650767E+02  3.9584865E-03  3.1404141E+00  1.3017015E+22  4.2135940E-03  1.2642278E+22  4.3376547E-03
    3  1.5963845E+03  7.7393841E-03  6.1399404E+00  1.2521318E+22  4.2135940E-03  1.2146580E+22  4.3376547E-03
    4  2.3762614E+03  1.1520282E-02  9.1394667E+00  1.1753127E+22  4.2135940E-03  1.1378389E+22  4.3376547E-03
    5  3.1561382E+03  1.5301179E-02  1.2138993E+01  1.0785821E+22  5.7907549E-02  1.0411084E+22  5.9658807E-02
    6  3.9360150E+03  1.9082077E-02  1.5138519E+01  9.7047683E+21  1.5916393E-01  9.3300305E+21  1.6423824E-01
    7  4.7158919E+03  2.2862975E-02  1.8138046E+01  8.5685849E+21  3.0260952E-01  8.1938471E+21  3.1303162E-01
    8  5.4957687E+03  2.6643872E-02  2.1137572E+01  7.3747415E+21  4.7828676E-01  7.0000037E+21  4.9648075E-01
    9  6.2756456E+03  3.0424770E-02  2.4137098E+01  6.3037194E+21  6.8880485E-01  5.9289817E+21  7.1834538E-01
   10  7.0555224E+03  3.4205668E-02  2.7136625E+01  5.1951522E+21  9.8040603E-01  4.8204144E+21  1.0289624E+00
   11  7.8353992E+03  3.7986565E-02  3.0136151E+01  4.1744576E+21  1.1825434E+00  3.7997199E+21  1.2514006E+00
   12  8.6152761E+03  4.1767463E-02  3.3135677E+01  3.1623372E+21  1.6512155E+00  2.7875994E+21  1.7671392E+00
   13  9.3951529E+03  4.5548361E-02  3.6135204E+01  2.0038502E+21  2.0864076E+00  1.6291124E+21  2.2694566E+00
   14  1.0175030E+04  4.9329258E-02  3.9134730E+01  3.7477997E+20  2.9264143E+00  1.0000000E-99  2.2694566E+00
   15  1.0954907E+04  5.3110156E-02  4.2134256E+01  3.7474480E+20  2.9264143E+00  1.0000000E-99  1.0000000E-99
   16  1.1734783E+04  5.6891054E-02  4.5133782E+01  3.7470703E+20  1.4658075E-03  1.0000000E-99  1.0000000E-99
   17  1.2514660E+04  6.0671951E-02  4.8133309E+01  3.7466665E+20  1.4658075E-03  1.0000000E-99  1.0000000E-99
   18  1.3294537E+04  6.4452849E-02  5.1132835E+01  3.7462365E+20  1.4658075E-03  1.0000000E-99  1.0000000E-99
   19  1.4074414E+04  6.8233746E-02  5.4132361E+01  3.7457805E+20  1.6750422E-03  1.0000000E-99  1.0000000E-99
   20  1.4854291E+04  7.2014644E-02  5.7131888E+01  3.7452983E+20  1.8983004E-03  1.0000000E-99  1.0000000E-99
   21  1.5634168E+04  7.5795542E-02  6.0131414E+01  3.7447900E+20  2.1356007E-03  1.0000000E-99  1.0000000E-99
   22  1.6414044E+04  7.9576439E-02  6.3130940E+01  3.7442556E+20  2.3869630E-03  1.0000000E-99  1.0000000E-99
   23  1.7193921E+04  8.3357337E-02  6.6130467E+01  3.7436950E+20  2.6524084E-03  1.0000000E-99  1.0000000E-99
   24  1.7973798E+04  8.7138235E-02  6.9129993E+01  3.7431083E+20  2.9319591E-03  1.0000000E-99  1.0000000E-99
   25  1.8753675E+04  9.0919132E-02  7.2129519E+01  3.7424953E+20  3.2256386E-03  1.0000000E-99  1.0000000E-99
   26  1.9533552E+04  9.4700030E-02  7.5129046E+01  3.7418562E+20  3.5334717E-03  1.0000000E-99  1.0000000E-99
   27  2.0313429E+04  9.8480928E-02  7.8128572E+01  3.7411909E+20  3.8554841E-03  1.0000000E-99  1.0000000E-99
   28  2.1093306E+04  1.0226183E-01  8.1128098E+01  3.7404994E+20  4.1917030E-03  1.0000000E-99  1.0000000E-99
   29  2.1873182E+04  1.0604272E-01  8.4127625E+01  3.7397816E+20  4.5421567E-03  1.0000000E-99  1.0000000E-99
   30  2.2653059E+04  1.0982362E-01  8.7127151E+01  3.7390376E+20  4.9068748E-03  1.0000000E-99  1.0000000E-99
