! Date: 08/09/2026  Time: 14:07:35  Created by RADMC3D compiled on Jul 23 2026 22:03    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 5.24040458E+00
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  7.3243883E-01  3.5509148E-06  2.8170724E-03  1.2332177E+24  6.4265573E-03  4.4767518E+23  1.8124909E-02
    2  4.2342392E+01  2.0527889E-04  1.6285535E-01  1.2014788E+24  6.4265573E-03  4.1593633E+23  1.8124909E-02
    3  8.3952346E+01  4.0700686E-04  3.2289364E-01  1.1271422E+24  6.4265573E-03  3.4159973E+23  1.8124909E-02
    4  1.2556230E+02  6.0873484E-04  4.8293192E-01  1.0444411E+24  6.4265573E-03  2.5889855E+23  1.8124909E-02
    5  1.6717225E+02  8.1046281E-04  6.4297020E-01  9.7896168E+23  9.3311047E-02  1.9341918E+23  2.8766090E-01
    6  2.0878221E+02  1.0121908E-03  8.0300848E-01  9.2890629E+23  1.8930083E-01  1.4336378E+23  6.8861386E-01
    7  2.5039216E+02  1.2139188E-03  9.6304677E-01  8.9430737E+23  2.0886442E-01  1.0876486E+23  1.0187052E+00
    8  2.9200211E+02  1.4156467E-03  1.1230850E+00  8.6742773E+23  2.0886442E-01  8.1885224E+22  1.3473640E+00
    9  3.3361207E+02  1.6173747E-03  1.2831233E+00  8.4647271E+23  1.9850900E-01  6.0930205E+22  1.5197646E+00
   10  3.7522202E+02  1.8191027E-03  1.4431616E+00  8.3367627E+23  1.8356583E-01  4.8133759E+22  1.8465150E+00
   11  4.1683197E+02  2.0208306E-03  1.6031999E+00  8.2356489E+23  1.2959783E-01  3.8022379E+22  2.0056756E+00
   12  4.5844193E+02  2.2225586E-03  1.7632382E+00  8.1267412E+23  1.2959783E-01  2.7131610E+22  2.2188441E+00
   13  5.0005188E+02  2.4242866E-03  1.9232765E+00  8.0859608E+23  1.1603465E-01  2.3053573E+22  2.0056756E+00
   14  5.4166183E+02  2.6260146E-03  2.0833147E+00  8.0102046E+23  1.1603465E-01  1.5477955E+22  2.2422690E+00
   15  5.8327179E+02  2.8277425E-03  2.2433530E+00  7.9854897E+23  5.7904957E-02  1.3006460E+22  2.3505929E+00
   16  6.2488174E+02  3.0294705E-03  2.4033913E+00  7.9493225E+23  5.7904957E-02  9.3897380E+21  2.3505929E+00
   17  6.6649169E+02  3.2311985E-03  2.5634296E+00  7.9126281E+23  6.5875203E-02  5.7203008E+21  4.7283811E+00
