! Date: 08/09/2026  Time: 14:15:01  Created by RADMC3D compiled on Jul 23 2026 22:03    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 5.24040458E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  2.6451054E+13  1.1715167E+00  1.7681438E+00  8.5720851E-06  6.8005530E-03  4.8785169E-16  1.0492535E+08  4.8785169E-18  1.0492535E+06       Infinity  1.0000000E-31
    2  6.0287024E+13  6.0849062E-01  4.0299387E+00  1.9537425E-05  1.5499764E-02  4.8742206E-16  1.0483295E+08  4.8742206E-18  1.0483295E+06       Infinity  1.0000000E-31
    3  1.0034278E+14  4.3279067E-01  6.7075004E+00  3.2518432E-05  2.5798078E-02  4.8650278E-16  1.0463523E+08  4.8650278E-18  1.0463523E+06       Infinity  3.3056569E+00
    4  1.4776165E+14  3.4792735E-01  9.8772559E+00  4.7885630E-05  3.7989446E-02  4.8483851E-16  1.0427729E+08  4.8483851E-18  1.0427729E+06       Infinity  4.3442598E+00
    5  2.0389713E+14  2.9848702E-01  1.3629681E+01  6.6077650E-05  5.2421850E-02  4.8207952E-16  1.0368390E+08  4.8207952E-18  1.0368390E+06       Infinity  4.2299116E+00
    6  2.7035153E+14  2.6649803E-01  1.8071883E+01  8.7613758E-05  6.9507243E-02  4.7778232E-16  1.0275967E+08  4.7778232E-18  1.0275967E+06       Infinity  4.0179649E+00
    7  3.4902168E+14  2.4437496E-01  2.3330658E+01  1.1310867E-04  8.9733301E-02  4.7123575E-16  1.0135166E+08  4.7123575E-18  1.0135166E+06       Infinity  4.1146168E+00
    8  4.4215311E+14  2.2836140E-01  2.9556110E+01  1.4329010E-04  1.1367735E-01  4.6162024E-16  9.9283589E+07  4.6162024E-18  9.9283589E+05       Infinity  5.7304784E+00
    9  5.5240412E+14  2.1638381E-01  3.6925934E+01  1.7901952E-04  1.4202282E-01  4.4790133E-16  9.6332976E+07  4.4790133E-18  9.6332976E+05       Infinity  5.1521350E+00
   10  6.8292164E+14  2.0720349E-01  4.5650492E+01  2.2131679E-04  1.7557882E-01  4.2890648E-16  9.2247634E+07  4.2890648E-18  9.2247634E+05       Infinity  4.9381988E+00
