# radiative transfer cores injected into simsky2.w20
# tag  y_pix  x_pix  M_BE(Msun)  R_BE(arcsec)  SD_emb(cm-2)  FWHM(arcsec)  Td_avg(K)  local_column(cm-2)
i08j25k14      999  1115     1.3015      68.05      4.8e+22      61.02     7.62    3.561e+22
i08j25k14     1163   899     1.3015      68.05      4.8e+22      61.02     7.62    3.495e+22
i08j25k14     1081  1122     1.3015      68.05      4.8e+22      61.02     7.62    3.454e+22
i08j25k14      790   671     1.3015      68.05      4.8e+22      61.02     7.62    3.446e+22
i08j25k14      804   835     1.3015      68.05      4.8e+22      61.02     7.62    3.459e+22
i08j25k14      972   672     1.3015      68.05      4.8e+22      61.02     7.62    3.525e+22
i07j27k10      923   457     2.8650     184.67      2.4e+22      28.15     8.32      1.9e+22
i07j27k10     1084   785     2.8650     184.67      2.4e+22      28.15     8.32    2.535e+22
i07j27k10     1695  1343     2.8650     184.67      2.4e+22      28.15     8.32    2.323e+22
i07j27k10     1166  1077     2.8650     184.67      2.4e+22      28.15     8.32    1.797e+22
i07j27k10      644   993     2.8650     184.67      2.4e+22      28.15     8.32    1.871e+22
i07j27k10      967   587     2.8650     184.67      2.4e+22      28.15     8.32    1.763e+22
i07j27k10      891   665     2.8650     184.67      2.4e+22      28.15     8.32    2.841e+22
i07j27k10     1040  1564     2.8650     184.67      2.4e+22      28.15     8.32    1.917e+22
i04j28k11     1472  1484     4.2534     235.81        3e+21      32.32    12.44    4.229e+21
i04j28k11     1667   272     4.2534     235.81        3e+21      32.32    12.44    4.136e+21
i04j28k11     1698   522     4.2534     235.81        3e+21      32.32    12.44    3.917e+21
i04j28k11      945  1682     4.2534     235.81        3e+21      32.32    12.44    3.508e+21
i04j28k11      423  1669     4.2534     235.81        3e+21      32.32    12.44    3.556e+21
i04j28k11     1473   134     4.2534     235.81        3e+21      32.32    12.44    3.471e+21
i04j28k11     1654  1642     4.2534     235.81        3e+21      32.32    12.44    3.741e+21
i04j28k11      102  1633     4.2534     235.81        3e+21      32.32    12.44    4.213e+21
