# Injection truth table -- cmf2.00_n400_s2026  seed=2026
# sep_criterion=90.0"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  scale
#-------------------------------------------------------------------------------------------------------
  061  i01j06k08       754    386    4.590e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90  1
  062  i01j06k08       869    214    3.221e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90  1
  063  i01j06k08       124    910    4.333e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90  1
  064  i01j06k08       723    126    4.053e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90  1
  065  i01j06k08       769    235    4.406e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90  1
  066  i01j06k08       520    622    4.779e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90  1
  067  i02j12k05       525    768    8.450e+21    6.000e+21    8.59    2.820e-18  0.8947    41.21  1
  068  i02j11k03       634    330    6.649e+21    6.000e+21    7.44    2.157e-17  0.5826    37.54  1
  069  i02j11k03       855    754    8.285e+21    6.000e+21    7.44    2.157e-17  0.5826    37.54  1
  070  i02j11k03       691    664    6.830e+21    6.000e+21    7.44    2.157e-17  0.5826    37.54  1
  071  i02j11k03       394    481    7.036e+21    6.000e+21    7.44    2.157e-17  0.5826    37.54  1
  072  i04j11k07       433    419    2.474e+22    2.400e+22    8.44    2.302e-19  0.5823    36.29  1
  073  i03j11k07       527    457    1.560e+22    1.200e+22    9.42    2.387e-19  0.5824    34.79  1
  074  i01j11k04       859    906    4.289e+21    3.000e+21    8.09    7.818e-18  0.5827    29.57  1
  075  i01j11k04       758    325    3.725e+21    3.000e+21    8.09    7.818e-18  0.5827    29.57  1
  076  i01j11k04       469    735    4.114e+21    3.000e+21    8.09    7.818e-18  0.5827    29.57  1
  077  i04j09k07       177    235    2.986e+22    2.400e+22    8.57    1.129e-19  0.2468    29.15  1
  078  i01j09k07       937    452    4.258e+21    3.000e+21   12.12    1.155e-19  0.2469    27.97  1
  079  i01j09k07       621    197    4.153e+21    3.000e+21   12.12    1.155e-19  0.2469    27.97  1
  080  i01j09k07       737     37    3.241e+21    3.000e+21   12.12    1.155e-19  0.2469    27.97  1
  081  i04j08k07       269    280    3.478e+22    2.400e+22    8.62    7.464e-20  0.1608    27.84  1
  082  i04j08k07       280    351    2.665e+22    2.400e+22    8.62    7.464e-20  0.1608    27.84  1
  083  i03j10k02       704    517    1.185e+22    1.200e+22    7.03    4.883e-17  0.3795    26.19  1
  084  i02j06k07       349    568    8.001e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  085  i02j06k07       135    365    7.893e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  086  i02j06k07       456    583    7.734e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  087  i02j06k07        62    910    6.175e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  088  i02j06k07       822    871    6.637e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  089  i02j06k07        90    395    6.993e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  090  i02j06k07       762    715    7.275e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  091  i02j06k07       262    553    7.703e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  092  i02j06k07       894    659    6.385e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  093  i02j06k07       370    615    6.847e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  094  i02j06k07       914    937    5.967e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  095  i02j06k07        37     62    8.436e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  096  i02j06k07       194     40    8.455e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  097  i02j06k07       433    363    9.308e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  098  i02j06k07       321    611    6.883e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  099  i02j06k07       836    815    8.133e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18  1
  100  i02j05k07       732    683    7.385e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  101  i02j05k07       685    571    7.732e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  102  i02j05k07       664    720    6.157e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  103  i02j05k07       547    254    7.889e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  104  i02j05k07       613    736    7.751e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  105  i02j05k07       401    272    7.136e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  106  i02j05k07       322     46    7.592e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  107  i02j05k07        49    609    8.862e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  108  i02j05k07       770    812    6.775e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  109  i02j05k07       590    579    7.438e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  110  i02j05k07        85    721    8.054e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  111  i02j05k07       890    509    6.700e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  112  i02j05k07       563    728    8.912e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  113  i02j05k07       510    120    6.629e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  114  i02j05k07       645    516    8.441e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  115  i02j05k07       688    331    6.932e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  116  i02j05k07       593    316    7.012e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  117  i02j05k07       483    891    6.177e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  118  i02j05k07       688    212    8.246e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  119  i02j05k07       479     91    8.572e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  120  i02j05k07       140     69    7.834e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  121  i02j05k07        67    571    7.918e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  122  i02j05k07       391    688    5.882e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98  1
  123  i02j10k03       935    702    6.907e+21    6.000e+21    7.50    1.929e-17  0.3795    21.49  1
  124  i02j10k03       493    171    7.832e+21    6.000e+21    7.50    1.929e-17  0.3795    21.49  1
  125  i02j10k03       445    467    9.188e+21    6.000e+21    7.50    1.929e-17  0.3795    21.49  1
  126  i02j10k03       531    693    6.605e+21    6.000e+21    7.50    1.929e-17  0.3795    21.49  1
  127  i04j09k06       177    464    2.463e+22    2.400e+22    8.38    4.674e-19  0.2472    19.72  1
