# Injection truth table -- cmf2.00_n400_s2026  seed=2026
# sep_criterion=90.0"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  scale
#-------------------------------------------------------------------------------------------------------
  262  i02j07k02       391    101    8.421e+21    6.000e+21    7.22    4.116e-17  0.1048     5.54  1
  263  i02j07k02       535    201    6.068e+21    6.000e+21    7.22    4.116e-17  0.1048     5.54  1
  264  i03j05k03       831    517    1.358e+22    1.200e+22    8.24    7.273e-18  0.0445     4.28  1
  265  i03j05k03       113    494    1.279e+22    1.200e+22    8.24    7.273e-18  0.0445     4.28  1
  266  i03j05k03       590    697    1.441e+22    1.200e+22    8.24    7.273e-18  0.0445     4.28  1
  267  i03j05k03       236     35    1.236e+22    1.200e+22    8.24    7.273e-18  0.0445     4.28  1
  268  i03j05k03       818    769    1.347e+22    1.200e+22    8.24    7.273e-18  0.0445     4.28  1
  269  i03j05k03       796    522    1.654e+22    1.200e+22    8.24    7.273e-18  0.0445     4.28  1
  270  i03j06k01       383    310    1.460e+22    1.200e+22    6.82    1.096e-16  0.0683     3.80  1
  271  i03j06k01       138    533    1.452e+22    1.200e+22    6.82    1.096e-16  0.0683     3.80  1
  272  i03j06k01       276    497    1.540e+22    1.200e+22    6.82    1.096e-16  0.0683     3.80  1
  273  i03j06k01       209    515    1.632e+22    1.200e+22    6.82    1.096e-16  0.0683     3.80  1
  274  i02j05k02       793    844    7.826e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  275  i02j05k02       711    246    6.595e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  276  i02j05k02       430    499    7.190e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  277  i02j05k02       469    127    7.586e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  278  i02j05k02       151    641    7.725e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  279  i02j05k02       129    754    6.013e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  280  i02j05k02       719    416    7.376e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  281  i02j05k02       419    717    6.186e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  282  i02j05k02       258    594    6.301e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  283  i02j05k02       180    663    6.740e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  284  i02j05k02       413    609    6.064e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  285  i02j05k02       748    160    6.726e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  286  i02j05k02       872    466    6.415e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  287  i02j05k02        72     84    8.405e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  288  i02j05k02       220    673    6.014e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  289  i02j05k02       941    774    6.364e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  290  i02j05k02       427    241    6.730e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  291  i02j05k02       322    541    7.556e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  292  i02j05k02       833    625    8.349e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  293  i02j05k02       601    362    8.282e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  294  i02j05k02       579    274    6.347e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  295  i02j05k02       663    287    6.028e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  296  i02j05k02       245    757    6.770e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  297  i02j05k02       564    672    6.099e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  298  i02j05k02       598    542    7.908e+21    6.000e+21    7.57    2.807e-17  0.0445     3.10  1
  299  i01j05k02       228    833    4.213e+21    3.000e+21    7.64    2.823e-17  0.0445     3.09  1
  300  i01j05k02       941    509    4.237e+21    3.000e+21    7.64    2.823e-17  0.0445     3.09  1
  301  i04j04k02       802    696    2.410e+22    2.400e+22    7.45    2.025e-17  0.0290     2.71  1
  302  i02j04k01       499    351    8.037e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  303  i02j04k01       168    610    8.488e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  304  i02j04k01       729    350    7.498e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  305  i02j04k01        50    735    7.533e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  306  i02j04k01       354     65    7.806e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  307  i02j04k01       775    421    8.046e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  308  i02j04k01        90    938    6.297e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  309  i02j04k01        36    387    6.138e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  310  i02j04k01       509    727    7.041e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  311  i02j04k01       359    531    7.863e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  312  i02j04k01       918    609    6.191e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  313  i02j04k01       469    368    7.951e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  314  i02j04k01       712    166    7.820e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  315  i02j04k01       313    649    6.756e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  316  i02j04k01       108    683    6.249e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  317  i02j04k01       853    848    6.000e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  318  i02j04k01       106    149    6.695e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  319  i02j04k01       155     35    6.888e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  320  i02j04k01       455    160    8.434e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  321  i02j04k01       469    928    6.101e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  322  i02j04k01        98    358    8.024e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  323  i02j04k01       314    138    6.341e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  324  i02j04k01       781    457    8.280e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  325  i02j04k01       169    733    6.129e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
  326  i02j04k01        95    756    6.059e+21    6.000e+21    7.10    7.590e-17  0.0290     2.01  1
