# radiative transfer cores injected into simsky2.w80
# tag  y_pix  x_pix  M_BE(Msun)  R_BE(arcsec)  SD_emb(cm-2)  FWHM(arcsec)  Td_avg(K)  local_column(cm-2)
i04j19k15      187    43     0.1216      42.73        3e+21      69.23    13.39    4.234e+21
i04j19k15       54    48     0.1216      42.73        3e+21      69.23    13.39    4.178e+21
i04j19k15     1743    43     0.1216      42.73        3e+21      69.23    13.39     4.21e+21
i04j19k15     1736  1743     0.1216      42.73        3e+21      69.23    13.39    4.231e+21
i04j19k15      556  1752     0.1216      42.73        3e+21      69.23    13.39    4.206e+21
i04j19k15     1395  1751     0.1216      42.73        3e+21      69.23    13.39    4.242e+21
i08j19k09      899   926     0.1218      11.77      4.8e+22      19.13     7.53    5.425e+22
i08j19k09     1109   674     0.1218      11.77      4.8e+22      19.13     7.53    4.245e+22
i08j19k09      978   672     0.1218      11.77      4.8e+22      19.13     7.53    4.917e+22
i08j19k09      747   943     0.1218      11.77      4.8e+22      19.13     7.53    3.724e+22
i08j19k09     1043  1111     0.1218      11.77      4.8e+22      19.13     7.53    4.461e+22
i08j19k09      636  1112     0.1218      11.77      4.8e+22      19.13     7.53    3.729e+22
i08j19k09     1153   888     0.1218      11.77      4.8e+22      19.13     7.53    4.405e+22
i08j19k09     1084   892     0.1218      11.77      4.8e+22      19.13     7.53    5.511e+22
i04j20k03     1310  1755     0.1808      10.17        3e+21      15.62     9.18     4.22e+21
i04j20k03       48  1754     0.1808      10.17        3e+21      15.62     9.18    4.233e+21
i04j20k03      203  1755     0.1808      10.17        3e+21      15.62     9.18    4.225e+21
i04j20k03      122  1755     0.1808      10.17        3e+21      15.62     9.18    4.213e+21
i04j20k03     1477    38     0.1808      10.17        3e+21      15.62     9.18     4.24e+21
i06j21k13     1066  1372     0.2682      29.07      1.2e+22      43.34     9.33    1.479e+22
i06j21k13     1568  1070     0.2682      29.07      1.2e+22      43.34     9.33    9.872e+21
i06j21k13      591   760     0.2682      29.07      1.2e+22      43.34     9.33    1.522e+22
i06j21k13      351  1068     0.2682      29.07      1.2e+22      43.34     9.33    1.082e+22
i06j21k13      835  1204     0.2682      29.07      1.2e+22      43.34     9.33    1.585e+22
i06j21k13      160  1538     0.2682      29.07      1.2e+22      43.34     9.33    1.144e+22
i06j21k13     1444   754     0.2682      29.07      1.2e+22      43.34     9.33     1.01e+22
i06j21k13      775  1302     0.2682      29.07      1.2e+22      43.34     9.33     1.41e+22
i05j21k04     1001  1658     0.2683      15.40        6e+21      17.17     9.00    6.017e+21
i05j21k04     1719  1396     0.2683      15.40        6e+21      17.17     9.00    8.386e+21
i05j21k04       74   507     0.2683      15.40        6e+21      17.17     9.00    7.692e+21
i05j21k04      570   119     0.2683      15.40        6e+21      17.17     9.00     5.82e+21
i05j21k04     1033   107     0.2683      15.40        6e+21      17.17     9.00    5.734e+21
i05j21k04     1044   316     0.2683      15.40        6e+21      17.17     9.00    7.777e+21
i05j21k04     1666   555     0.2683      15.40        6e+21      17.17     9.00    5.848e+21
i05j21k04      217  1235     0.2683      15.40        6e+21      17.17     9.00    6.822e+21
i06j22k15     1662   707     0.3981      46.62      1.2e+22      71.75     9.50    1.112e+22
i06j22k15     1721  1298     0.3981      46.62      1.2e+22      71.75     9.50    9.085e+21
i06j22k15      130   413     0.3981      46.62      1.2e+22      71.75     9.50    1.053e+22
i06j22k15      866  1382     0.3981      46.62      1.2e+22      71.75     9.50    1.214e+22
i06j22k15      736   201     0.3981      46.62      1.2e+22      71.75     9.50    1.437e+22
i06j22k15       99  1326     0.3981      46.62      1.2e+22      71.75     9.50    1.686e+22
i06j22k15     1387   483     0.3981      46.62      1.2e+22      71.75     9.50    1.142e+22
i06j22k15     1539   929     0.3981      46.62      1.2e+22      71.75     9.50    1.247e+22
i06j24k15      809   179     0.8770      54.88      1.2e+22      74.22     9.34    9.717e+21
i06j24k15      143   855     0.8770      54.88      1.2e+22      74.22     9.34    1.074e+22
i06j24k15      307  1298     0.8770      54.88      1.2e+22      74.22     9.34        1e+22
i06j24k15      224   732     0.8770      54.88      1.2e+22      74.22     9.34    8.779e+21
i06j24k15     1653   244     0.8770      54.88      1.2e+22      74.22     9.34    1.531e+22
i06j24k15     1278   477     0.8770      54.88      1.2e+22      74.22     9.34    1.336e+22
i06j24k15     1223   552     0.8770      54.88      1.2e+22      74.22     9.34    1.048e+22
i06j24k15      797   304     0.8770      54.88      1.2e+22      74.22     9.34    8.898e+21
i08j25k14     1288   896     1.3015      68.05      4.8e+22      61.02     7.62    3.695e+22
i08j25k14      908   772     1.3015      68.05      4.8e+22      61.02     7.62    3.535e+22
