! Date: 15/08/2026  Time: 11:42:11  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 7.59654500E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  9.7168528E+14  1.0009716E+00  6.4953149E+01  3.1489742E-04  2.4981980E-01  2.7827705E-19  5.9850808E+04  2.7827705E-21  5.9850808E+02       Infinity  5.1680724E+00
    2  1.9931578E+15  5.3699494E-01  1.3323437E+02  6.4592957E-04  5.1243988E-01  2.7815165E-19  5.9823838E+04  2.7815165E-21  5.9823838E+02       Infinity  7.9076670E+00
    3  3.1172222E+15  3.7784059E-01  2.0837343E+02  1.0102090E-03  8.0143627E-01  2.7791700E-19  5.9773371E+04  2.7791700E-21  5.9773371E+02       Infinity  7.5251779E+00
    4  4.3541822E+15  2.9766945E-01  2.9105910E+02  1.4110750E-03  1.1194581E+00  2.7754149E-19  5.9692607E+04  2.7754149E-21  5.9692607E+02       Infinity  7.4413000E+00
    5  5.7153766E+15  2.4955168E-01  3.8204933E+02  1.8522020E-03  1.4694205E+00  2.7698650E-19  5.9573242E+04  2.7698650E-21  5.9573242E+02       Infinity  7.5540276E+00
    6  7.2132830E+15  2.1758897E-01  4.8217818E+02  2.3376337E-03  1.8545315E+00  2.7620472E-19  5.9405099E+04  2.7620472E-21  5.9405099E+02       Infinity  7.5654829E+00
    7  8.8616319E+15  1.9490395E-01  5.9236350E+02  2.8718198E-03  2.2783212E+00  2.7513836E-19  5.9175750E+04  2.7513836E-21  5.9175750E+02       Infinity  7.5463226E+00
    8  1.0675533E+16  1.7803659E-01  7.1361531E+02  3.4596571E-03  2.7446743E+00  2.7375445E-19  5.8878103E+04  2.7375445E-21  5.8878103E+02       Infinity  7.5398674E+00
    9  1.2671614E+16  1.6505603E-01  8.4704508E+02  4.1065340E-03  3.2578657E+00  2.7193110E-19  5.8485945E+04  2.7193110E-21  5.8485945E+02       Infinity  7.4141273E+00
   10  1.4868172E+16  1.5479975E-01  9.9387589E+02  4.8183801E-03  3.8225996E+00  2.6959316E-19  5.7983110E+04  2.6959316E-21  5.7983110E+02       Infinity  7.3979324E+00
   11  1.7285341E+16  1.4652588E-01  1.1554537E+03  5.6017206E-03  4.4440527E+00  2.6663730E-19  5.7347374E+04  2.6663730E-21  5.7347374E+02       Infinity  7.4300485E+00
   12  1.9945280E+16  1.3973869E-01  1.3332596E+03  6.4637361E-03  5.1279216E+00  2.6294690E-19  5.6553655E+04  2.6294690E-21  5.6553655E+02       Infinity  7.4024229E+00
   13  2.2872370E+16  1.3409424E-01  1.5289235E+03  7.4123284E-03  5.8804750E+00  2.5839394E-19  5.5574422E+04  2.5839394E-21  5.5574422E+02       Infinity  7.4988264E+00
   14  2.6093443E+16  1.2934641E-01  1.7442389E+03  8.4561928E-03  6.7086113E+00  2.5284334E-19  5.4380620E+04  2.5284334E-21  5.4380620E+02       Infinity  7.5262139E+00
   15  2.9638026E+16  1.2531441E-01  1.9811797E+03  9.6048980E-03  7.6199217E+00  2.4615814E-19  5.2942791E+04  2.4615814E-21  5.2942791E+02       Infinity  7.5395653E+00
   16  3.3538609E+16  1.2186240E-01  2.2419176E+03  1.0868974E-02  8.6227598E+00  2.3821093E-19  5.1233533E+04  2.3821093E-21  5.1233533E+02       Infinity  7.5705578E+00
   17  3.7830949E+16  1.1888636E-01  2.5288427E+03  1.2260007E-02  9.7263182E+00  2.2889399E-19  4.9229681E+04  2.2889399E-21  4.9229681E+02       Infinity  7.5604844E+00
