! Date: 14/08/2026  Time: 13:57:15  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.39684218E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  1.4405095E+15  9.0928577E-01  9.6292110E+01  4.6683091E-04  3.7035427E-01  1.8205231E-19  3.9155143E+04  1.8205231E-21  3.9155143E+02       Infinity  1.1314339E+01
    2  2.7921893E+15  4.9907965E-01  1.8664632E+02  9.0487448E-04  7.1787048E-01  1.8199379E-19  3.9142557E+04  1.8199379E-21  3.9142557E+02       Infinity  1.0897027E+01
    3  4.2302328E+15  3.5046823E-01  2.8277360E+02  1.3709062E-03  1.0875908E+00  1.8189141E-19  3.9120537E+04  1.8189141E-21  3.9120537E+02       Infinity  1.1079580E+01
    4  5.7601582E+15  2.7382729E-01  3.8504279E+02  1.8667145E-03  1.4809338E+00  1.8173698E-19  3.9087323E+04  1.8173698E-21  3.9087323E+02       Infinity  1.1087651E+01
    5  7.3878360E+15  2.2713920E-01  4.9384633E+02  2.3942017E-03  1.8994090E+00  1.8152123E-19  3.9040920E+04  1.8152123E-21  3.9040920E+02       Infinity  1.0989019E+01
    6  9.1195121E+15  1.9576541E-01  6.0960173E+02  2.9553920E-03  2.3446220E+00  1.8123357E-19  3.8979052E+04  1.8123357E-21  3.8979052E+02       Infinity  1.0895730E+01
    7  1.0961831E+16  1.7326971E-01  7.3275316E+02  3.5524387E-03  2.8182814E+00  1.8086194E-19  3.8899123E+04  1.8086194E-21  3.8899123E+02       Infinity  1.1069172E+01
    8  1.2921863E+16  1.5637915E-01  8.6377318E+02  4.1876330E-03  3.3222045E+00  1.8039259E-19  3.8798177E+04  1.8039259E-21  3.8798177E+02       Infinity  1.1175589E+01
    9  1.5007128E+16  1.4325329E-01  1.0031645E+03  4.8634121E-03  3.8583252E+00  1.7980993E-19  3.8672860E+04  1.7980993E-21  3.8672860E+02       Infinity  1.1129756E+01
   10  1.7225628E+16  1.3277775E-01  1.1514621E+03  5.5823692E-03  4.4287005E+00  1.7912217E-19  3.8524941E+04  1.7912217E-21  3.8524941E+02       Infinity  1.1090653E+01
