! Date: 14/08/2026  Time: 13:56:29  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.39684218E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
    1  5.2513587E+01  2.5458956E-04  2.0197534E-01  7.6956117E+21  3.5069238E-03  7.3208882E+21  3.6873450E-03
    2  8.3232430E+02  4.0351666E-03  3.2012473E+00  7.6214002E+21  3.5069238E-03  7.2466767E+21  3.6873450E-03
    3  1.6121350E+03  7.8157437E-03  6.2005193E+00  7.4005339E+21  3.5069238E-03  7.0258104E+21  3.6873450E-03
    4  2.3919457E+03  1.1596321E-02  9.1997913E+00  7.0416472E+21  3.5069238E-03  6.6669237E+21  3.6873450E-03
    5  3.1717564E+03  1.5376898E-02  1.2199063E+01  6.5573121E+21  4.4483877E-02  6.1825885E+21  4.6820085E-02
    6  3.9515672E+03  1.9157475E-02  1.5198335E+01  5.9630436E+21  1.2599242E-01  5.5883200E+21  1.3289146E-01
    7  4.7313779E+03  2.2938052E-02  1.8197607E+01  5.2701299E+21  2.5254007E-01  4.8954064E+21  2.6728304E-01
    8  5.5111886E+03  2.6718629E-02  2.1196879E+01  4.4750322E+21  4.3215743E-01  4.1003087E+21  4.5971810E-01
    9  6.2909993E+03  3.0499206E-02  2.4196151E+01  3.5504790E+21  6.8585851E-01  3.1757554E+21  7.3502681E-01
   10  7.0708100E+03  3.4279783E-02  2.7195423E+01  2.4167655E+21  1.0719542E+00  2.0420419E+21  1.1617105E+00
   11  7.8506207E+03  3.8060360E-02  3.0194695E+01  6.0787481E+20  1.7487661E+00  1.0000000E-99  1.1617105E+00
   12  8.6304315E+03  4.1840937E-02  3.3193967E+01  3.7473732E+20  3.2917040E+00  1.0000000E-99  1.0000000E-99
   13  9.4102422E+03  4.5621514E-02  3.6193239E+01  3.7468769E+20  3.2917040E+00  1.0000000E-99  1.0000000E-99
   14  1.0190053E+04  4.9402091E-02  3.9192511E+01  3.7463345E+20  1.8186432E-03  1.0000000E-99  1.0000000E-99
   15  1.0969864E+04  5.3182668E-02  4.2191783E+01  3.7457485E+20  1.8186432E-03  1.0000000E-99  1.0000000E-99
   16  1.1749674E+04  5.6963246E-02  4.5191055E+01  3.7451191E+20  1.8186432E-03  1.0000000E-99  1.0000000E-99
   17  1.2529485E+04  6.0743823E-02  4.8190327E+01  3.7444461E+20  2.1212213E-03  1.0000000E-99  1.0000000E-99
   18  1.3309296E+04  6.4524400E-02  5.1189599E+01  3.7437295E+20  2.4472187E-03  1.0000000E-99  1.0000000E-99
   19  1.4089106E+04  6.8304977E-02  5.4188871E+01  3.7429694E+20  2.7966807E-03  1.0000000E-99  1.0000000E-99
   20  1.4868917E+04  7.2085554E-02  5.7188143E+01  3.7421657E+20  3.1696562E-03  1.0000000E-99  1.0000000E-99
   21  1.5648728E+04  7.5866131E-02  6.0187415E+01  3.7413184E+20  3.5661974E-03  1.0000000E-99  1.0000000E-99
   22  1.6428539E+04  7.9646708E-02  6.3186687E+01  3.7404274E+20  3.9863598E-03  1.0000000E-99  1.0000000E-99
   23  1.7208349E+04  8.3427285E-02  6.6185959E+01  3.7394927E+20  4.4302022E-03  1.0000000E-99  1.0000000E-99
   24  1.7988160E+04  8.7207862E-02  6.9185231E+01  3.7385142E+20  4.8977871E-03  1.0000000E-99  1.0000000E-99
   25  1.8767971E+04  9.0988439E-02  7.2184503E+01  3.7374921E+20  5.3891800E-03  1.0000000E-99  1.0000000E-99
   26  1.9547781E+04  9.4769016E-02  7.5183775E+01  3.7364261E+20  5.9044502E-03  1.0000000E-99  1.0000000E-99
   27  2.0327592E+04  9.8549593E-02  7.8183047E+01  3.7353163E+20  6.4436703E-03  1.0000000E-99  1.0000000E-99
   28  2.1107403E+04  1.0233017E-01  8.1182319E+01  3.7341626E+20  7.0069165E-03  1.0000000E-99  1.0000000E-99
   29  2.1887214E+04  1.0611075E-01  8.4181591E+01  3.7329650E+20  7.5942685E-03  1.0000000E-99  1.0000000E-99
   30  2.2667024E+04  1.0989132E-01  8.7180863E+01  3.7317235E+20  8.2058095E-03  1.0000000E-99  1.0000000E-99
   31  2.3446835E+04  1.1367190E-01  9.0180135E+01  3.7304379E+20  8.8416262E-03  1.0000000E-99  1.0000000E-99
   32  2.4226646E+04  1.1745248E-01  9.3179407E+01  3.7291083E+20  9.5018092E-03  1.0000000E-99  1.0000000E-99
   33  2.5006456E+04  1.2123306E-01  9.6178679E+01  3.7277347E+20  1.0186452E-02  1.0000000E-99  1.0000000E-99
   34  2.5786267E+04  1.2501363E-01  9.9177951E+01  3.7263168E+20  1.0895654E-02  1.0000000E-99  1.0000000E-99
   35  2.6566078E+04  1.2879421E-01  1.0217722E+02  3.7248548E+20  1.1629515E-02  1.0000000E-99  1.0000000E-99
   36  2.7345889E+04  1.3257479E-01  1.0517649E+02  3.7233486E+20  1.2388140E-02  1.0000000E-99  1.0000000E-99
   37  2.8125699E+04  1.3635536E-01  1.0817577E+02  3.7217980E+20  1.3171640E-02  1.0000000E-99  1.0000000E-99
   38  2.8905510E+04  1.4013594E-01  1.1117504E+02  3.7202031E+20  1.3980126E-02  1.0000000E-99  1.0000000E-99
   39  2.9685321E+04  1.4391652E-01  1.1417431E+02  3.7185638E+20  1.4813715E-02  1.0000000E-99  1.0000000E-99
   40  3.0465131E+04  1.4769710E-01  1.1717358E+02  3.7168801E+20  1.5672528E-02  1.0000000E-99  1.0000000E-99
   41  3.1244942E+04  1.5147767E-01  1.2017285E+02  3.7151518E+20  1.6556690E-02  1.0000000E-99  1.0000000E-99
   42  3.2024753E+04  1.5525825E-01  1.2317213E+02  3.7133789E+20  1.7466329E-02  1.0000000E-99  1.0000000E-99
   43  3.2804564E+04  1.5903883E-01  1.2617140E+02  3.7115613E+20  1.8401578E-02  1.0000000E-99  1.0000000E-99
   44  3.3584374E+04  1.6281940E-01  1.2917067E+02  3.7096991E+20  1.9362574E-02  1.0000000E-99  1.0000000E-99
   45  3.4364185E+04  1.6659998E-01  1.3216994E+02  3.7077920E+20  2.0349457E-02  1.0000000E-99  1.0000000E-99
   46  3.5143996E+04  1.7038056E-01  1.3516921E+02  3.7058401E+20  2.1362373E-02  1.0000000E-99  1.0000000E-99
   47  3.5923806E+04  1.7416113E-01  1.3816849E+02  3.7038433E+20  2.2401471E-02  1.0000000E-99  1.0000000E-99
   48  3.6703617E+04  1.7794171E-01  1.4116776E+02  3.7018015E+20  2.3466904E-02  1.0000000E-99  1.0000000E-99
   49  3.7483428E+04  1.8172229E-01  1.4416703E+02  3.6997146E+20  2.4558832E-02  1.0000000E-99  1.0000000E-99
   50  3.8263239E+04  1.8550287E-01  1.4716630E+02  3.6975825E+20  2.5677416E-02  1.0000000E-99  1.0000000E-99
   51  3.9043049E+04  1.8928344E-01  1.5016557E+02  3.6954052E+20  2.6822823E-02  1.0000000E-99  1.0000000E-99
   52  3.9822860E+04  1.9306402E-01  1.5316485E+02  3.6931826E+20  2.7995225E-02  1.0000000E-99  1.0000000E-99
   53  4.0602671E+04  1.9684460E-01  1.5616412E+02  3.6909147E+20  2.9194798E-02  1.0000000E-99  1.0000000E-99
   54  4.1382482E+04  2.0062517E-01  1.5916339E+02  3.6886012E+20  3.0421724E-02  1.0000000E-99  1.0000000E-99
   55  4.2162292E+04  2.0440575E-01  1.6216266E+02  3.6862422E+20  3.1676187E-02  1.0000000E-99  1.0000000E-99
   56  4.2942103E+04  2.0818633E-01  1.6516193E+02  3.6838375E+20  3.2958379E-02  1.0000000E-99  1.0000000E-99
   57  4.3721914E+04  2.1196691E-01  1.6816121E+02  3.6813871E+20  3.4268494E-02  1.0000000E-99  1.0000000E-99
   58  4.4501724E+04  2.1574748E-01  1.7116048E+02  3.6788909E+20  3.5606733E-02  1.0000000E-99  1.0000000E-99
   59  4.5281535E+04  2.1952806E-01  1.7415975E+02  3.6763488E+20  3.6973302E-02  1.0000000E-99  1.0000000E-99
   60  4.6061346E+04  2.2330864E-01  1.7715902E+02  3.6737606E+20  3.8368412E-02  1.0000000E-99  1.0000000E-99
   61  4.6841157E+04  2.2708921E-01  1.8015829E+02  3.6711263E+20  3.9792278E-02  1.0000000E-99  1.0000000E-99
   62  4.7620967E+04  2.3086979E-01  1.8315757E+02  3.6684458E+20  4.1245121E-02  1.0000000E-99  1.0000000E-99
   63  4.8400778E+04  2.3465037E-01  1.8615684E+02  3.6657190E+20  4.2727169E-02  1.0000000E-99  1.0000000E-99
   64  4.9180589E+04  2.3843094E-01  1.8915611E+02  3.6629458E+20  4.4238653E-02  1.0000000E-99  1.0000000E-99
   65  4.9960399E+04  2.4221152E-01  1.9215538E+02  3.6601261E+20  4.5779811E-02  1.0000000E-99  1.0000000E-99
   66  5.0740210E+04  2.4599210E-01  1.9515465E+02  3.6572597E+20  4.7350887E-02  1.0000000E-99  1.0000000E-99
   67  5.1520021E+04  2.4977268E-01  1.9815393E+02  3.6543466E+20  4.8952129E-02  1.0000000E-99  1.0000000E-99
   68  5.2299832E+04  2.5355325E-01  2.0115320E+02  3.6513866E+20  5.0583794E-02  1.0000000E-99  1.0000000E-99
   69  5.3079642E+04  2.5733383E-01  2.0415247E+02  3.6483797E+20  5.2246142E-02  1.0000000E-99  1.0000000E-99
   70  5.3859453E+04  2.6111441E-01  2.0715174E+02  3.6453257E+20  5.3939441E-02  1.0000000E-99  1.0000000E-99
   71  5.4639264E+04  2.6489498E-01  2.1015101E+02  3.6422244E+20  5.5663965E-02  1.0000000E-99  1.0000000E-99
   72  5.5419074E+04  2.6867556E-01  2.1315029E+02  3.6390759E+20  5.7419992E-02  1.0000000E-99  1.0000000E-99
   73  5.6198885E+04  2.7245614E-01  2.1614956E+02  3.6358799E+20  5.9207810E-02  1.0000000E-99  1.0000000E-99
   74  5.6978696E+04  2.7623672E-01  2.1914883E+02  3.6326364E+20  6.1027712E-02  1.0000000E-99  1.0000000E-99
   75  5.7758507E+04  2.8001729E-01  2.2214810E+02  3.6293451E+20  6.2879997E-02  1.0000000E-99  1.0000000E-99
   76  5.8538317E+04  2.8379787E-01  2.2514737E+02  3.6260060E+20  6.4764973E-02  1.0000000E-99  1.0000000E-99
   77  5.9318128E+04  2.8757845E-01  2.2814665E+02  3.6226190E+20  6.6682952E-02  1.0000000E-99  1.0000000E-99
   78  6.0097939E+04  2.9135902E-01  2.3114592E+02  3.6191838E+20  6.8634256E-02  1.0000000E-99  1.0000000E-99
   79  6.0877749E+04  2.9513960E-01  2.3414519E+02  3.6157005E+20  7.0619213E-02  1.0000000E-99  1.0000000E-99
   80  6.1657560E+04  2.9892018E-01  2.3714446E+02  3.6121687E+20  7.2638157E-02  1.0000000E-99  1.0000000E-99
   81  6.2437371E+04  3.0270075E-01  2.4014373E+02  3.6085885E+20  7.4691433E-02  1.0000000E-99  1.0000000E-99
   82  6.3217182E+04  3.0648133E-01  2.4314301E+02  3.6049596E+20  7.6779391E-02  1.0000000E-99  1.0000000E-99
   83  6.3996992E+04  3.1026191E-01  2.4614228E+02  3.6012818E+20  7.8902390E-02  1.0000000E-99  1.0000000E-99
   84  6.4776803E+04  3.1404249E-01  2.4914155E+02  3.5975552E+20  8.1060796E-02  1.0000000E-99  1.0000000E-99
   85  6.5556614E+04  3.1782306E-01  2.5214082E+02  3.5937794E+20  8.3254985E-02  1.0000000E-99  1.0000000E-99
   86  6.6336424E+04  3.2160364E-01  2.5514009E+02  3.5899544E+20  8.5485340E-02  1.0000000E-99  1.0000000E-99
   87  6.7116235E+04  3.2538422E-01  2.5813937E+02  3.5860799E+20  8.7752253E-02  1.0000000E-99  1.0000000E-99
   88  6.7896046E+04  3.2916479E-01  2.6113864E+02  3.5821559E+20  9.0056125E-02  1.0000000E-99  1.0000000E-99
   89  6.8675857E+04  3.3294537E-01  2.6413791E+02  3.5781821E+20  9.2397366E-02  1.0000000E-99  1.0000000E-99
   90  6.9455667E+04  3.3672595E-01  2.6713718E+02  3.5741584E+20  9.4776395E-02  1.0000000E-99  1.0000000E-99
   91  7.0235478E+04  3.4050653E-01  2.7013645E+02  3.5700846E+20  9.7193640E-02  1.0000000E-99  1.0000000E-99
