! Date: 08/09/2026  Time: 12:05:46  Created by RADMC3D compiled on Jul 23 2026 22:03    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 6.31113857E+00
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
   46  3.7388598E+03  1.8126255E-02  1.4380230E+01  1.9030885E+23  6.0003415E-04  1.0000000E-99  1.0000000E-99
   47  3.8219131E+03  1.8528903E-02  1.4699666E+01  1.9030315E+23  6.0003415E-04  1.0000000E-99  1.0000000E-99
   48  3.9049664E+03  1.8931551E-02  1.5019102E+01  1.9029275E+23  6.0003415E-04  1.0000000E-99  1.0000000E-99
   49  3.9880197E+03  1.9334199E-02  1.5338537E+01  1.9027475E+23  1.3637358E-03  1.0000000E-99  1.0000000E-99
   50  4.0710730E+03  1.9736847E-02  1.5657973E+01  1.9024253E+23  2.5419451E-03  1.0000000E-99  1.0000000E-99
   51  4.1541263E+03  2.0139496E-02  1.5977409E+01  1.9017092E+23  4.4941565E-03  1.0000000E-99  1.0000000E-99
   52  4.2371796E+03  2.0542144E-02  1.6296844E+01  1.9008423E+23  8.2149034E-03  1.0000000E-99  1.0000000E-99
   53  4.3202328E+03  2.0944792E-02  1.6616280E+01  1.9013660E+23  1.4191761E-02  1.0000000E-99  1.0000000E-99
   54  4.4032861E+03  2.1347440E-02  1.6935716E+01  1.9019154E+23  1.5170783E-02  1.0000000E-99  1.0000000E-99
   55  4.4863394E+03  2.1750088E-02  1.7255152E+01  1.9024919E+23  1.5170783E-02  1.0000000E-99  1.0000000E-99
   56  4.5693927E+03  2.2152736E-02  1.7574587E+01  1.9030969E+23  1.5170783E-02  1.0000000E-99  1.0000000E-99
   57  4.6524460E+03  2.2555385E-02  1.7894023E+01  1.9037302E+23  1.6220200E-02  1.0000000E-99  1.0000000E-99
   58  4.7354993E+03  2.2958033E-02  1.8213459E+01  1.9043886E+23  1.7331808E-02  1.0000000E-99  1.0000000E-99
   59  4.8185526E+03  2.3360681E-02  1.8532894E+01  1.9050574E+23  1.8473046E-02  1.0000000E-99  1.0000000E-99
   60  4.9016058E+03  2.3763329E-02  1.8852330E+01  1.9056711E+23  1.8849144E-02  1.0000000E-99  1.0000000E-99
   61  4.9846591E+03  2.4165977E-02  1.9171766E+01  1.9059560E+23  1.8849144E-02  1.0000000E-99  1.0000000E-99
   62  5.0677124E+03  2.4568625E-02  1.9491202E+01  1.9074503E+23  1.8849144E-02  1.0000000E-99  1.0000000E-99
   63  5.1507657E+03  2.4971274E-02  1.9810637E+01  1.9092097E+23  1.8849144E-02  1.0000000E-99  1.0000000E-99
   64  5.2338190E+03  2.5373922E-02  2.0130073E+01  1.9114205E+23  4.7427596E-02  1.0000000E-99  1.0000000E-99
   65  5.3168723E+03  2.5776570E-02  2.0449509E+01  1.9147544E+23  5.6714093E-02  1.0000000E-99  1.0000000E-99
   66  5.3999256E+03  2.6179218E-02  2.0768944E+01  1.9189144E+23  7.2351346E-02  1.0000000E-99  1.0000000E-99
   67  5.4829789E+03  2.6581866E-02  2.1088380E+01  1.9188807E+23  7.2351346E-02  1.0000000E-99  1.0000000E-99
