! Date: 08/09/2026  Time: 12:55:33  Created by RADMC3D compiled on Jul 23 2026 22:03    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 6.31113857E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
   30  4.8713325E+16  1.6943583E-01  3.2562846E+03  1.5786696E-02  1.2524172E+01  2.0205750E-19  4.3457786E+04  2.0205750E-21  4.3457786E+02       Infinity  6.3859587E+00
   31  5.7725720E+16  1.6926609E-01  3.8587260E+03  1.8707375E-02  1.4841254E+01  1.4317726E-19  3.0794041E+04  1.4317726E-21  3.0794041E+02       Infinity  6.3838741E+00
   32  6.8394788E+16  1.6912296E-01  4.5719092E+03  2.2164936E-02  1.7584266E+01  1.0246823E-19  2.2038491E+04  1.0246823E-21  2.2038491E+02       Infinity  6.3921586E+00
   33  7.7120843E+16  7.6308580E-02  5.1552100E+03  2.4992820E-02  1.9827731E+01  8.1396106E-20  1.7506376E+04  8.1396106E-22  1.7506376E+02       Infinity  6.3917931E+00
   34  8.3967552E+16  9.2993491E-02  5.6128842E+03  2.7211656E-02  2.1588016E+01  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.3880759E+00
   35  9.5977052E+16  1.6890042E-01  6.4156697E+03  3.1103617E-02  2.4675653E+01  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.3881024E+00
   36  1.1368288E+17  1.6890042E-01  7.5992310E+03  3.6841605E-02  2.9227811E+01  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.3870403E+00
   37  1.3576756E+17  1.8390460E-01  9.0755008E+03  4.3998665E-02  3.4905772E+01  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.3918170E+00
   38  1.6454074E+17  1.9799404E-01  1.0998869E+04  5.3323290E-02  4.2303343E+01  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.3920371E+00
   39  2.0211150E+17  2.1059378E-01  1.3510319E+04  6.5498975E-02  5.1962765E+01  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.3922064E+00
   40  2.5116325E+17  2.2113139E-01  1.6789226E+04  8.1395346E-02  6.4573946E+01  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.3956770E+00
   41  3.1501625E+17  2.2908635E-01  2.1057535E+04  1.0208841E-01  8.0990521E+01  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.3983073E+00
   42  3.9763002E+17  2.3404073E-01  2.6579925E+04  1.2886134E-01  1.0223048E+02  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.4052634E+00
   43  5.0350478E+17  2.3572350E-01  3.3657216E+04  1.6317254E-01  1.2945083E+02  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.4154518E+00
   44  6.3744249E+17  2.3404073E-01  4.2610399E+04  2.0657820E-01  1.6388615E+02  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.4325360E+00
   45  8.0414564E+17  2.2908635E-01  5.3753816E+04  2.6060227E-01  2.0674545E+02  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.4596553E+00
   46  1.0076686E+18  2.2113139E-01  6.7358487E+04  3.2655867E-01  2.5907110E+02  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.5028497E+00
   47  1.2507861E+18  2.1059378E-01  8.3609885E+04  4.0534659E-01  3.2157648E+02  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.5771400E+00
   48  1.5343900E+18  1.9799404E-01  1.0256764E+05  4.9725510E-01  3.9449091E+02  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.7059731E+00
   49  1.8570501E+18  1.8390460E-01  1.2413613E+05  6.0182066E-01  4.7744665E+02  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  6.9702193E+00
   50  2.2148551E+18  1.6890042E-01  1.4805392E+05  7.1777577E-01  5.6943814E+02  1.8583336E-19  3.9968358E+04  1.8583336E-21  3.9968358E+02       Infinity  1.0622199E+01
