ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak18_f1p2,R_exc18_f1p2,R_int18_f1p2
11,1,11,4,3.75e+20,0.00517947,0.00626986,0.6605,2.75,2.851,85.5305,27,18,0.588722,0.128359,0.0968466,0.124286,0.0967147,0.041483,0.041435,0.041483,0.041435,25.65,25.65,0.642114,0.243595,0.566265,0.235865,0.565493,0.408091,0.407618,0.408091,0.407618,0.830462,0.442734,0.449456
12,1,11,5,3.75e+20,0.00517947,0.00801622,0.5619,2.706,3.55146,106.544,27,18,0.634723,0.408719,0.509834,0.401442,0.508688,0.505962,0.504897,0.505962,0.504897,25.65,25.65,0.883338,0.807091,0.952556,0.792721,0.950415,0.85175,0.849957,0.85175,0.849957,1.22132,1.40911,0.879962
13,1,12,1,3.75e+20,0.00768625,0.003,1.48,3.691,1.44685,43.4051,26.043,18,0.182847,0.0100381,-0.060014,0.00998531,-0.0600005,-0.097779,-0.0977592,-0.097779,-0.0977592,24.7409,24.7409,0.574543,0.466441,-0.0264838,0.463986,-0.0264779,-0.0731787,-0.0731638,-0.0731787,-0.0731638,0.939089,0.847757,-0.0714987
14,1,12,2,3.75e+20,0.00768625,0.0038356,1.2258,3.673,1.80865,54.259,27,18,0.258523,0.028446,-0.024165,0.0282065,-0.0241563,-0.0650486,-0.0650277,-0.0650486,-0.0650277,25.65,25.65,0.480796,0.309047,0.0899273,0.306444,0.0898949,0.0178237,0.017818,0.0178237,0.017818,0.749441,0.561694,0.0288594
15,1,12,3,3.75e+20,0.00768625,0.00490394,1.0127,3.642,2.28881,68.6641,27,18,0.363695,0.059978,0.0327552,0.0591573,0.032736,-0.00283052,-0.00282903,-0.00283052,-0.00282903,25.65,25.65,0.440064,0.172348,0.130685,0.16999,0.130608,0.0715679,0.0715304,0.0715679,0.0715304,0.644892,0.313244,0.0794796
16,1,12,4,3.75e+20,0.00768625,0.00626986,0.8466,3.597,2.87573,86.2718,27,18,0.482282,0.0988962,0.0960868,0.0967492,0.0959965,0.0623093,0.0622571,0.0623093,0.0622571,25.65,25.65,0.54249,0.20728,0.536083,0.20278,0.53558,0.441302,0.440932,0.441302,0.440932,0.743165,0.376732,0.473758
17,1,12,5,3.75e+20,0.00768625,0.00801622,0.7098,3.525,3.62392,108.717,27,18,0.536724,0.344362,0.449409,0.34017,0.448696,0.462304,0.461605,0.462304,0.461605,25.65,25.65,0.80145,0.720628,0.906682,0.711857,0.905244,0.821445,0.820201,0.821445,0.820201,1.16442,1.25753,0.849561
18,1,12,6,3.75e+20,0.00768625,0.010249,0.6,3.413,4.60046,138.014,27,18,0.615981,0.458,0.57692,0.45249,0.575436,0.606291,0.604785,0.606291,0.604785,25.65,25.65,0.868713,0.829514,1.01219,0.819533,1.00959,1.06288,1.06024,1.06288,1.06024,1.24586,1.41392,1.08715
19,1,12,7,3.75e+20,0.00768625,0.0131037,0.5295,3.245,5.86335,175.9,27,18,0.674614,0.505313,0.630698,0.497543,0.628065,0.667183,0.664482,0.667183,0.664482,25.65,25.65,0.924673,0.898542,1.06782,0.884724,1.06336,1.13368,1.12909,1.13368,1.12909,1.28035,1.5177,1.14988
20,1,13,1,3.75e+20,0.0114062,0.003,1.9269,4.989,1.52323,45.6965,27,18,0.139817,0.0137971,-0.0261627,0.0137458,-0.0261585,-0.0576378,-0.0576292,-0.0576378,-0.0576292,25.65,25.65,0.421829,0.328936,0.0457315,0.327711,0.0457241,-0.00197645,-0.00197616,-0.00197645,-0.00197616,0.708313,0.597842,0.00517785
21,1,13,2,3.75e+20,0.0114062,0.0038356,1.5936,4.962,1.86819,56.0452,27,18,0.199341,0.0312251,0.0092759,0.031043,0.00927356,-0.0162508,-0.0162471,-0.0162508,-0.0162471,25.65,25.65,0.267492,0.113782,0.214457,0.113118,0.214403,0.163297,0.163259,0.163297,0.163259,0.433182,0.206799,0.176123
22,1,13,3,3.75e+20,0.0114062,0.00490394,1.3127,4.917,2.33369,70.0106,27,18,0.279787,0.0491918,0.044413,0.0487315,0.044395,0.023516,0.0235072,0.023516,0.0235072,25.65,25.65,0.362789,0.158348,0.163424,0.156866,0.163358,0.112305,0.112263,0.112305,0.112263,0.558548,0.287797,0.12183
23,1,13,4,3.75e+20,0.0114062,0.00626986,1.0906,4.849,2.91858,87.5573,27,18,0.384444,0.0788072,0.092813,0.0776351,0.092753,0.0746946,0.07465,0.0746946,0.07465,25.65,25.65,0.438681,0.162443,0.311535,0.160027,0.311333,0.265476,0.265317,0.265476,0.265317,0.635379,0.29524,0.27486
24,1,13,5,3.75e+20,0.0114062,0.00801622,0.8963,4.732,3.736,112.08,27,18,0.439103,0.280159,0.380985,0.277807,0.380551,0.402606,0.402162,0.402606,0.402162,25.65,25.65,0.918371,0.896899,0.920253,0.889369,0.919203,0.847465,0.846531,0.847465,0.846531,1.39189,1.56421,0.871015
25,1,13,6,3.75e+20,0.0114062,0.010249,0.7501,4.562,4.71435,141.43,27,18,0.527464,0.394929,0.506948,0.39168,0.506021,0.541366,0.540402,0.541366,0.540402,25.65,25.65,0.787759,0.743903,1.02415,0.737785,1.02227,1.06117,1.05928,1.06117,1.05928,1.17621,1.26605,1.0887
26,1,13,7,3.75e+20,0.0114062,0.0131037,0.6405,4.299,6.01946,180.584,27,18,0.593349,0.449077,0.568865,0.444364,0.567173,0.609502,0.607735,0.609502,0.607735,25.65,25.65,0.949905,0.933663,0.898816,0.923866,0.896143,0.978832,0.975995,0.978832,0.975995,1.37061,1.56813,0.989431
