! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 334 nodes measured, 0 not measured, 4039205 pixels
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.425     19.10    0.1500         48    0.9829    0.9963    0.9963
    20.475     19.10    0.0750         52    0.9829    0.9829    0.9829
    20.475     19.10    0.1500        140    0.9829    0.9963    0.9963
    20.525     18.90    0.0750        184    0.9566    0.9697    0.9829
    20.525     19.10    0.1500         36    0.9963    0.9963    0.9963
    20.575     18.50    0.0750         20    0.9697    1.0099    1.2044
    20.575     18.70   -0.6000         40    0.9437    0.9437    0.9566
    20.575     18.70   -0.1500        740    0.9566    0.9697    0.9697
    20.575     18.70   -0.0750       1144    0.9566    0.9697    0.9697
    20.575     18.70   -0.0350        716    0.9566    0.9697    0.9697
    20.575     18.70   -0.0100        132    0.9185    0.9310    0.9437
    20.575     18.70    0.0100         48    0.9437    0.9566    0.9566
    20.575     18.70    0.0750         92    0.9437    0.9697    1.0807
    20.575     18.90   -0.1500        908    0.9829    0.9829    0.9963
    20.575     18.90   -0.0750       2544    0.9829    0.9963    0.9963
    20.575     18.90   -0.0350       5404    0.9829    0.9963    0.9963
    20.575     18.90   -0.0100      24372    0.9963    0.9963    1.0099
    20.575     18.90    0.0100      25124    1.0099    1.0099    1.0099
    20.575     18.90    0.0750         40    0.9829    1.0099    1.0518
    20.625     18.30   -0.1500         32    0.9061    0.9061    0.9061
    20.625     18.30    0.0100         24    0.9061    0.9061    0.9185
    20.625     18.30    0.0750         24    1.2209    1.3243    1.4364
    20.625     18.50   -0.6000        112    0.9061    0.9061    0.9185
    20.625     18.50   -0.1500        576    0.9061    0.9185    0.9310
    20.625     18.50   -0.0750        956    0.9310    0.9437    0.9437
    20.625     18.50   -0.0350         64    0.9061    0.9061    0.9185
    20.625     18.50   -0.0100         24    0.9061    0.9185    0.9185
    20.625     18.50    0.0100         44    0.9061    0.9061    0.9697
    20.625     18.50    0.0350         20    0.9963    1.0099    1.0237
    20.625     18.50    0.0750         28    1.0518    1.0661    1.3243
    20.625     18.70   -0.6000         72    0.9310    0.9310    0.9437
    20.625     18.70   -0.1500        392    0.9310    0.9437    0.9566
    20.625     18.70   -0.0750       1176    0.9437    0.9566    0.9566
    20.625     18.70   -0.0350       1580    0.9697    0.9697    0.9829
    20.625     18.70    0.0100        472    1.0099    1.0099    1.0099
    20.625     18.90   -0.0100      36460    1.0099    1.0099    1.0099
    20.625     18.90    0.0100      81288    1.0099    1.0099    1.0099
    20.675     18.10    0.0350         20    0.9697    0.9829    0.9829
    20.675     18.10    0.0750         32    1.1564    1.2209    2.0431
    20.675     18.30   -0.1500         84    0.9061    0.9061    0.9061
    20.675     18.30   -0.0750        148    0.9061    0.9437    0.9437
    20.675     18.50   -0.0750        772    0.9310    0.9437    0.9566
    20.675     18.50   -0.0350        284    0.9437    0.9566    0.9697
    20.675     18.50   -0.0100        196    1.0099    1.0099    1.0099
    20.675     18.70   -0.0350        476    0.9829    0.9963    0.9963
    20.675     18.70   -0.0100      20452    1.0099    1.0099    1.0099
    20.675     18.70    0.0100      57080    1.0099    1.0099    1.0099
    20.675     18.90    0.0100      16380    1.0099    1.0099    1.0099
    20.725     17.50    0.0350         20    1.1409    1.1882    1.1882
    20.725     17.70    0.0350         28    0.9061    0.9185    1.0376
    20.725     18.10   -0.0350         28    0.9185    0.9310    0.9310
    20.725     18.30   -0.0750        264    0.9566    0.9566    0.9829
    20.725     18.30   -0.0350        408    0.9566    0.9829    0.9963
    20.725     18.30    0.1500         48    0.9963    0.9963    0.9963
    20.725     18.50   -0.0750         44    0.9697    0.9697    0.9697
    20.725     18.50   -0.0350        308    0.9697    0.9697    0.9829
    20.725     18.50   -0.0100       3444    1.0099    1.0099    1.0099
    20.725     18.50    0.0100       1432    1.0099    1.0099    1.0099
    20.725     18.70   -0.0100      19908    1.0099    1.0099    1.0099
    20.725     18.70    0.0100      41509    1.0099    1.0099    1.0099
    20.775     17.30    0.0350         20    1.0807    1.1255    1.1255
    20.775     17.30    0.0750         20    1.5581    1.7602    1.8836
    20.775     17.50    0.0750         20    1.0376    1.0661    1.6673
    20.775     17.90   -0.1500         48    0.9061    0.9061    0.9061
    20.775     18.10   -0.0100         36    0.9437    0.9566    0.9566
    20.775     18.10    0.0750         84    0.9963    0.9963    0.9963
    20.775     18.10    0.1500         84    0.9963    0.9963    1.0099
    20.775     18.30   -0.0350        608    0.9829    0.9963    1.0099
    20.775     18.30   -0.0100        248    1.0099    1.0099    1.0237
    20.775     18.30    0.0100        420    1.0099    1.0099    1.0099
    20.775     18.30    0.1500         56    0.9963    0.9963    0.9963
    20.775     18.50   -0.0100      17520    1.0099    1.0099    1.0099
    20.775     18.50    0.0100      18892    1.0099    1.0099    1.0099
    20.775     18.50    0.0350        184    1.0099    1.0099    1.0099
    20.825     16.90    0.0750         20    1.6009    1.7131    2.5037
    20.825     17.70   -0.1500        124    0.9185    0.9185    0.9185
    20.825     17.70   -0.0750         60    0.9185    0.9185    0.9310
    20.825     17.90    0.0100         28    0.9963    0.9963    0.9963
    20.825     17.90    0.0750        168    0.9829    0.9963    1.0099
    20.825     18.10   -0.0350         48    1.0237    1.0237    1.0237
    20.825     18.10   -0.0100        208    1.0237    1.0237    1.0237
    20.825     18.10    0.0100        216    1.0237    1.0237    1.0237
    20.825     18.10    0.0750         88    0.9829    0.9963    0.9963
    20.825     18.10    0.1500         40    1.0099    1.0099    1.0099
    20.825     18.30   -0.0350        164    1.0099    1.0099    1.0099
    20.825     18.30   -0.0100       8104    1.0099    1.0099    1.0099
    20.825     18.30    0.0100      10540    1.0099    1.0099    1.0099
    20.825     18.30    0.0350        368    1.0099    1.0099    1.0099
    20.825     18.50   -0.0100       3732    1.0099    1.0099    1.0099
    20.825     18.50    0.0100       3140    1.0099    1.0099    1.0099
    20.825     18.50    0.0350        120    1.0099    1.0099    1.0099
    20.875     16.70    0.0350         20    0.9963    1.0237    1.0237
    20.875     17.50   -0.1500        204    0.9185    0.9437    0.9566
    20.875     17.50   -0.0750        260    0.9437    0.9566    0.9697
    20.875     17.50   -0.0350         60    0.9437    0.9437    0.9437
    20.875     17.50   -0.0100         64    0.9310    0.9437    0.9566
    20.875     17.50    0.0100         44    0.9185    0.9437    0.9437
    20.875     17.50    0.0750         20    1.1255    1.1722    1.2044
    20.875     17.70   -0.1500        236    0.9310    0.9697    0.9697
    20.875     17.70   -0.0750       2240    0.9697    0.9829    0.9963
    20.875     17.70   -0.0350       6116    0.9829    0.9963    1.0099
    20.875     17.70   -0.0100      43408    1.0099    1.0099    1.0099
    20.875     17.70    0.0100      98648    1.0099    1.0099    1.0099
    20.875     17.70    0.0750        104    1.0099    1.0518    1.1104
    20.875     17.90   -0.0100         24    0.9829    1.0237    1.0237
    20.875     17.90    0.0100        212    0.9829    0.9963    0.9963
    20.875     17.90    0.0750         32    0.9829    1.0237    1.0376
    20.875     18.10   -0.0100       3536    1.0099    1.0099    1.0099
    20.875     18.10    0.0100       6096    1.0099    1.0099    1.0099
    20.875     18.10    0.0350        108    1.0237    1.0237    1.0237
    20.875     18.30   -0.0100       3656    1.0099    1.0099    1.0099
    20.875     18.30    0.0100       5856    1.0099    1.0099    1.0099
    20.925     17.30   -0.1500         92    0.9061    0.9061    0.9185
    20.925     17.30   -0.0750        372    0.9185    0.9310    0.9437
    20.925     17.30    0.0100         72    0.9185    0.9310    0.9437
    20.925     17.30    0.0350         24    1.0518    1.0954    1.1409
    20.925     17.30    0.0750         28    1.5794    1.6673    2.1279
    20.925     17.50   -0.1500        212    0.9310    0.9437    0.9566
    20.925     17.50   -0.0750       1020    0.9310    0.9437    0.9566
    20.925     17.50   -0.0350       2312    0.9697    0.9697    0.9829
    20.925     17.50   -0.0100        720    0.9437    1.0099    1.0099
    20.925     17.50    0.0100        404    0.9963    1.0099    1.0099
    20.925     17.50    0.0350         36    1.0099    1.0518    1.0954
    20.925     17.50    0.0750         24    1.2375    1.3423    1.3980
    20.925     17.70   -0.0350        244    0.9697    0.9697    0.9829
    20.925     17.70   -0.0100      62712    1.0099    1.0099    1.0099
    20.925     17.70    0.0100      99692    1.0099    1.0099    1.0099
    20.925     17.90   -0.0100       1704    1.0099    1.0237    1.0237
    20.925     17.90    0.0100       3140    1.0099    1.0099    1.0237
    20.925     17.90    0.0350        172    1.0237    1.0237    1.0237
    20.925     17.90    0.0750         96    1.0237    1.0237    1.0376
    20.925     18.10   -0.0100       5728    1.0099    1.0099    1.0099
    20.925     18.10    0.0100       3784    1.0099    1.0099    1.0099
    20.925     18.10    0.0350         72    1.0237    1.0237    1.0237
    20.975     16.90    0.0350         40    1.0376    1.0661    1.5371
    20.975     17.10   -0.0750        204    0.9185    0.9310    0.9437
    20.975     17.10    0.0100         36    0.9061    0.9185    0.9566
    20.975     17.10    0.0350         48    0.9963    1.0376    1.1104
    20.975     17.10    0.0750         24    1.2544    1.2889    2.2771
    20.975     17.30   -0.0750        472    0.9310    0.9437    0.9829
