! Date: 14/08/2026  Time: 23:31:00  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.17618348E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  1.6663407E+15  9.2514495E-01  1.1138800E+02  5.4001683E-04  4.2841538E-01  1.2680998E-19  2.7273827E+04  1.2680998E-21  2.7273827E+02       Infinity  1.0667521E+01
    2  3.2618532E+15  5.0566905E-01  2.1804142E+02  1.0570801E-03  8.3862084E-01  1.2676682E-19  2.7264543E+04  1.2676682E-21  2.7264543E+02       Infinity  1.0261375E+01
    3  4.9689471E+15  3.5515965E-01  3.3215360E+02  1.6103039E-03  1.2775138E+00  1.2669043E-19  2.7248113E+04  1.2669043E-21  2.7248113E+02       Infinity  1.0774717E+01
    4  6.7954257E+15  2.7786159E-01  4.5424615E+02  2.2022172E-03  1.7471006E+00  1.2657404E-19  2.7223080E+04  1.2657404E-21  2.7223080E+02       Infinity  1.0385862E+01
    5  8.7496382E+15  2.3089380E-01  5.8487719E+02  2.8355256E-03  2.2495276E+00  1.2640988E-19  2.7187774E+04  1.2640988E-21  2.7187774E+02       Infinity  1.0332159E+01
    6  1.0840518E+16  1.9939284E-01  7.2464384E+02  3.5131242E-03  2.7870917E+00  1.2618899E-19  2.7140265E+04  1.2618899E-21  2.7140265E+02       Infinity  1.0436328E+01
    7  1.3077622E+16  1.7684305E-01  8.7418501E+02  4.2381103E-03  3.3622500E+00  1.2590099E-19  2.7078325E+04  1.2590099E-21  2.7078325E+02       Infinity  1.0489131E+01
    8  1.5471176E+16  1.5993762E-01  1.0341843E+03  5.0137979E-03  3.9776318E+00  1.2553398E-19  2.6999389E+04  1.2553398E-21  2.6999389E+02       Infinity  1.0533195E+01
    9  1.8032123E+16  1.4681968E-01  1.2053730E+03  5.8437328E-03  4.6360500E+00  1.2508141E-19  2.6902052E+04  1.2508141E-21  2.6902052E+02       Infinity  1.0473548E+01
   10  2.0772169E+16  1.3636613E-01  1.3885337E+03  6.7317089E-03  5.3405143E+00  1.2452752E-19  2.6782923E+04  1.2452752E-21  2.6782923E+02       Infinity  1.0528556E+01
   11  2.3703838E+16  1.2785770E-01  1.5845037E+03  7.6817851E-03  6.0942450E+00  1.2384748E-19  2.6636661E+04  1.2384748E-21  2.6636661E+02       Infinity  1.0571886E+01
   12  2.6840532E+16  1.2081243E-01  1.7941787E+03  8.6983044E-03  6.9006875E+00  1.2302883E-19  2.6460589E+04  1.2302883E-21  2.6460589E+02       Infinity  1.0565051E+01
   13  3.0196589E+16  1.1489524E-01  2.0185173E+03  9.7859135E-03  7.7635281E+00  1.2205229E-19  2.6250560E+04  1.2205229E-21  2.6250560E+02       Infinity  1.0609325E+01
   14  3.3787350E+16  1.0986592E-01  2.2585449E+03  1.0949584E-02  8.6867111E+00  1.2089661E-19  2.6001999E+04  1.2089661E-21  2.6001999E+02       Infinity  1.0600723E+01
   15  3.7629230E+16  1.0554775E-01  2.5153587E+03  1.2194635E-02  9.6744564E+00  1.1953942E-19  2.5710101E+04  1.1953942E-21  2.5710101E+02       Infinity  1.0613391E+01
   16  4.1739789E+16  1.0180785E-01  2.7901326E+03  1.3526759E-02  1.0731279E+01  1.1795744E-19  2.5369853E+04  1.1795744E-21  2.5369853E+02       Infinity  1.0635059E+01
   17  4.6137819E+16  9.8544334E-02  3.0841227E+03  1.4952043E-02  1.1862010E+01  1.1612643E-19  2.4976047E+04  1.1612643E-21  2.4976047E+02       Infinity  1.0668123E+01
   18  5.0843422E+16  9.5677790E-02  3.3986729E+03  1.6477004E-02  1.3071819E+01  1.1402314E-19  2.4523679E+04  1.1402314E-21  2.4523679E+02       Infinity  1.0747024E+01
   19  5.5878110E+16  9.3145397E-02  3.7352209E+03  1.8108613E-02  1.4366234E+01  1.1162399E-19  2.4007679E+04  1.1162399E-21  2.4007679E+02       Infinity  1.0790296E+01
   20  6.1264896E+16  9.0896802E-02  4.0953053E+03  1.9854328E-02  1.5751174E+01  1.0890858E-19  2.3423658E+04  1.0890858E-21  2.3423658E+02       Infinity  1.0835110E+01
   21  6.7028404E+16  8.8891169E-02  4.4805721E+03  2.1722128E-02  1.7232969E+01  1.0585980E-19  2.2767937E+04  1.0585980E-21  2.2767937E+02       Infinity  1.0880390E+01
   22  7.3194980E+16  8.7095034E-02  4.8927822E+03  2.3720551E-02  1.8818393E+01  1.0246536E-19  2.2037873E+04  1.0246536E-21  2.2037873E+02       Infinity  1.0989270E+01
   23  7.9792813E+16  8.5480708E-02  5.3338201E+03  2.5858734E-02  2.0514693E+01  9.8719252E-20  2.1232175E+04  9.8719252E-22  2.1232175E+02       Infinity  1.1090961E+01
   24  8.6852062E+16  8.4025083E-02  5.8057017E+03  2.8146449E-02  2.2329622E+01  9.4625098E-20  2.0351619E+04  9.4625098E-22  2.0351619E+02       Infinity  1.1205941E+01
   25  9.4404996E+16  8.2708720E-02  6.3105842E+03  3.0594155E-02  2.4271478E+01  9.0194679E-20  1.9398741E+04  9.0194679E-22  1.9398741E+02       Infinity  1.1333065E+01
   26  1.0248614E+17  8.1515150E-02  6.8507754E+03  3.3213040E-02  2.6349136E+01  8.5453076E-20  1.8378934E+04  8.5453076E-22  1.8378934E+02       Infinity  1.1491624E+01
   27  1.1113244E+17  8.0430327E-02  7.4287445E+03  3.6015075E-02  2.8572094E+01  8.0434988E-20  1.7299662E+04  8.0434988E-22  1.7299662E+02       Infinity  1.1685878E+01
   28  1.2038341E+17  7.9442195E-02  8.0471337E+03  3.9013069E-02  3.0950514E+01  7.5188694E-20  1.6171309E+04  7.5188694E-22  1.6171309E+02       Infinity  1.1918275E+01
   29  1.3028134E+17  7.8540353E-02  8.7087696E+03  4.2220726E-02  3.3495268E+01  6.9772444E-20  1.5006402E+04  6.9772444E-22  1.5006402E+02       Infinity  1.2183478E+01
   30  1.4087148E+17  7.7715775E-02  9.4166767E+03  4.5652709E-02  3.6217987E+01  6.4254929E-20  1.3819715E+04  6.4254929E-22  1.3819715E+02       Infinity  1.2528104E+01
   31  1.4946042E+17  4.1682899E-02  9.9908118E+03  4.8436157E-02  3.8426199E+01  6.0054509E-20  1.2916304E+04  6.0054509E-22  1.2916304E+02       Infinity  1.2893834E+01
   32  1.5531720E+17  3.5306012E-02  1.0382314E+04  5.0334186E-02  3.9931976E+01  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.3192080E+01
   33  1.6432540E+17  7.6267928E-02  1.0984474E+04  5.3253503E-02  4.2247979E+01  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.3358938E+01
   34  1.7729639E+17  7.5631713E-02  1.1851532E+04  5.7457058E-02  4.5582815E+01  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.3487963E+01
   35  1.9117451E+17  7.5046606E-02  1.2779226E+04  6.1954587E-02  4.9150871E+01  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.3573891E+01
   36  2.0608084E+17  7.5046606E-02  1.3775653E+04  6.6785334E-02  5.2983282E+01  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.3633751E+01
   37  2.2576072E+17  1.0583809E-01  1.5091172E+04  7.3163059E-02  5.8042968E+01  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.3690942E+01
   38  2.5636435E+17  1.4554750E-01  1.7136899E+04  8.3080886E-02  6.5911148E+01  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.3741010E+01
   39  3.0445529E+17  1.9335742E-01  2.0351579E+04  9.8665885E-02  7.8275305E+01  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.3800897E+01
   40  3.8059326E+17  2.4542539E-01  2.5441088E+04  1.2334018E-01  9.7850340E+01  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.3854607E+01
   41  5.0099042E+17  2.9419138E-01  3.3489141E+04  1.6235771E-01  1.2880439E+02  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.3895016E+01
   42  6.8807231E+17  3.2958268E-01  4.5994793E+04  2.2298598E-01  1.7690305E+02  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.3942357E+01
   43  9.6712789E+17  3.4259631E-01  6.4648506E+04  3.1342050E-01  2.4864810E+02  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.4016626E+01
   44  1.3563019E+18  3.2958268E-01  9.0663183E+04  4.3954147E-01  3.4870455E+02  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.4145310E+01
   45  1.8522696E+18  2.9419138E-01  1.2381658E+05  6.0027145E-01  4.7621760E+02  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.4384786E+01
   46  2.4219323E+18  2.4542539E-01  1.6189618E+05  7.8488402E-01  6.2267760E+02  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.4796826E+01
   47  3.0101518E+18  1.9335742E-01  2.0121622E+05  9.7551034E-01  7.7390853E+02  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.5462152E+01
   48  3.5602631E+18  1.4554750E-01  2.3798889E+05  1.1537868E+00  9.1534187E+02  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.6457991E+01
   49  4.0327669E+18  1.0583809E-01  2.6957382E+05  1.3069128E+00  1.0368224E+03  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.7841198E+01
   50  4.4117194E+18  7.5046606E-02  2.9490523E+05  1.4297212E+00  1.1342509E+03  1.5236769E-21  3.2770685E+02  1.5236769E-23  3.2770685E+00       Infinity  1.9724788E+01
