! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 331 nodes measured, 0 not measured, 2547791 pixels
! 2547791 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.425     34.70    0.1500         48    0.9779    0.9912    0.9912
    20.475     34.30    0.0750         32    0.9647    0.9647    0.9779
    20.475     34.50    0.1500         88    0.9779    0.9779    0.9912
    20.475     34.70    0.1500         36    0.9912    0.9912    0.9912
    20.525     33.90    0.0750         56    0.9389    0.9517    0.9647
    20.525     34.10    0.0750         44    0.9517    0.9647    0.9647
    20.525     34.30    0.0750         64    0.9647    0.9647    0.9912
    20.525     34.30    0.1500         24    0.9912    0.9912    0.9912
    20.575     33.10    0.0750         28    0.9138    0.9138    1.0752
    20.575     33.30   -0.0350         40    0.9138    0.9138    0.9263
    20.575     33.30    0.0750         28    0.9138    0.9138    1.0324
    20.575     33.50   -0.6000         32    0.9517    0.9517    0.9517
    20.575     33.50   -0.1500        208    0.9389    0.9517    0.9517
    20.575     33.50   -0.0750         44    0.9389    0.9389    0.9517
    20.575     33.50   -0.0350         60    0.9263    0.9389    0.9517
    20.575     33.50   -0.0100         28    0.9263    0.9389    0.9389
    20.575     33.50    0.0100         20    0.9517    0.9517    0.9517
    20.575     33.50    0.0750         28    0.9138    0.9263    0.9912
    20.575     33.70   -0.6000         40    0.9517    0.9517    0.9647
    20.575     33.70   -0.1500        416    0.9517    0.9647    0.9647
    20.575     33.70   -0.0750        728    0.9647    0.9647    0.9647
    20.575     33.70   -0.0350        488    0.9517    0.9647    0.9779
    20.575     33.70   -0.0100         28    0.9389    0.9517    0.9517
    20.575     33.70    0.0100         24    0.9517    0.9517    0.9517
    20.575     33.70    0.0750         20    0.9647    0.9779    0.9912
    20.575     33.90   -0.1500        668    0.9779    0.9779    0.9779
    20.575     33.90   -0.0750       1076    0.9779    0.9779    0.9779
    20.575     33.90   -0.0350       1036    0.9779    0.9779    0.9779
    20.575     33.90   -0.0100        228    0.9912    0.9912    0.9912
    20.575     33.90    0.0100         40    0.9647    0.9647    0.9647
    20.575     33.90    0.0750         24    1.0185    1.0185    1.0464
    20.575     34.10   -0.1500        596    0.9912    0.9912    0.9912
    20.575     34.10   -0.0750       1604    0.9912    0.9912    1.0048
    20.575     34.10   -0.0350       3904    0.9912    0.9912    1.0048
    20.575     34.10   -0.0100       4060    0.9912    0.9912    1.0048
    20.575     34.10    0.0100         56    0.9779    0.9779    0.9779
    20.575     34.30   -0.0750        164    1.0048    1.0048    1.0048
    20.575     34.30   -0.0350        500    1.0048    1.0048    1.0048
    20.575     34.30   -0.0100       2104    1.0048    1.0048    1.0048
    20.575     34.30    0.0100         36    0.9912    0.9912    0.9912
    20.625     32.10    0.0750         20    0.9912    1.0048    1.0048
    20.625     32.30   -0.1500         52    0.8425    0.8425    0.8540
    20.625     32.30   -0.0750         28    0.8540    0.8540    0.8540
    20.625     32.30   -0.0350         36    0.8425    0.8425    0.8540
    20.625     32.50   -0.6000         28    0.8656    0.8774    0.8774
    20.625     32.50   -0.1500         64    0.8540    0.8656    0.8656
    20.625     32.50   -0.0350         32    0.8540    0.8540    0.8774
    20.625     32.70   -0.6000         68    0.8894    0.8894    0.8894
    20.625     32.70   -0.1500        180    0.8774    0.9015    0.9015
    20.625     32.70   -0.0750         24    0.8774    0.8774    0.9015
    20.625     32.70   -0.0350         52    0.8656    0.8774    0.8894
    20.625     32.90   -0.6000         52    0.9015    0.9015    0.9138
    20.625     32.90   -0.1500        236    0.9015    0.9138    0.9138
    20.625     32.90   -0.0750         80    0.8894    0.9015    0.9138
    20.625     32.90   -0.0350         56    0.8774    0.8894    0.9138
    20.625     33.10   -0.6000         36    0.9138    0.9138    0.9263
    20.625     33.10   -0.1500        276    0.9138    0.9263    0.9263
    20.625     33.10   -0.0750        496    0.9263    0.9389    0.9389
    20.625     33.10   -0.0350         56    0.9015    0.9138    0.9138
    20.625     33.10   -0.0100         28    0.9015    0.9138    0.9138
    20.625     33.10    0.0100         20    0.9647    0.9647    0.9647
