! Date: 14/08/2026  Time: 22:33:14  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.15187876E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  9.4183752E+14  8.6419916E-01  6.2957950E+01  3.0522456E-04  2.4214596E-01  3.5190182E-19  7.5685753E+04  3.5190182E-21  7.5685753E+02       Infinity  1.0100627E+01
    2  1.7749911E+15  4.8021199E-01  1.1865083E+02  5.7522754E-04  4.5634934E-01  3.5180582E-19  7.5665106E+04  3.5180582E-21  7.5665106E+02       Infinity  1.0456718E+01
    3  2.6474891E+15  3.3715869E-01  1.7697372E+02  8.5798100E-04  6.8066814E-01  3.5164330E-19  7.5630151E+04  3.5164330E-21  7.5630151E+02       Infinity  1.0224588E+01
    4  3.5611895E+15  2.6249003E-01  2.3805081E+02  1.1540871E-03  9.1558006E-01  3.5140497E-19  7.5578893E+04  3.5140497E-21  7.5578893E+02       Infinity  1.0270821E+01
    5  4.5180379E+15  2.1666930E-01  3.0201218E+02  1.4641763E-03  1.1615853E+00  3.5108073E-19  7.5509157E+04  3.5108073E-21  7.5509157E+02       Infinity  1.0327872E+01
    6  5.5200721E+15  1.8571282E-01  3.6899403E+02  1.7889089E-03  1.4192078E+00  3.5065943E-19  7.5418546E+04  3.5065943E-21  7.5418546E+02       Infinity  1.0360103E+01
    7  6.5694257E+15  1.6341750E-01  4.3913899E+02  2.1289766E-03  1.6889961E+00  3.5012878E-19  7.5304416E+04  3.5012878E-21  7.5304416E+02       Infinity  1.0325489E+01
    8  7.6683334E+15  1.4661025E-01  5.1259643E+02  2.4851035E-03  1.9715247E+00  3.4947524E-19  7.5163853E+04  3.4947524E-21  7.5163853E+02       Infinity  1.0389969E+01
    9  8.8191354E+15  1.3349921E-01  5.8952279E+02  2.8580478E-03  2.2673953E+00  3.4868390E-19  7.4993655E+04  3.4868390E-21  7.4993655E+02       Infinity  1.0400541E+01
   10  1.0024282E+16  1.2299594E-01  6.7008188E+02  3.2486040E-03  2.5772380E+00  3.4773840E-19  7.4790301E+04  3.4773840E-21  7.4790301E+02       Infinity  1.0426997E+01
   11  1.1286340E+16  1.1440112E-01  7.5444524E+02  3.6576035E-03  2.9017125E+00  3.4665721E-19  7.4557763E+04  3.4665721E-21  7.4557763E+02       Infinity  1.0412534E+01
   12  1.2607997E+16  1.0724491E-01  8.4279254E+02  4.0859173E-03  3.2415098E+00  3.4537414E-19  7.4281804E+04  3.4537414E-21  7.4281804E+02       Infinity  1.0412814E+01
   13  1.3992067E+16  1.0119994E-01  9.3531189E+02  4.5344577E-03  3.5973534E+00  3.4388309E-19  7.3961114E+04  3.4388309E-21  7.3961114E+02       Infinity  1.0438771E+01
   14  1.5441497E+16  9.6031139E-02  1.0322003E+03  5.0041797E-03  3.9700013E+00  3.4216821E-19  7.3592284E+04  3.4216821E-21  7.3592284E+02       Infinity  1.0434112E+01
