    NEWID     G_0   ID   i   j   k    SD_emb    T_BE       M_BE      FWHM_pc   xi_max contr_rho   peak_exc  contrast detect hole       rho_c    rho_edge     rho_emb      r0_AU   R_out_AU  R_cloud_AU      N_tot    a_BE  stab
     2683  222.20    0  10  14   1  1.92e+23   6.543    0.0169267      0.003   2.8162     2.634  2.215e+21     1.012      0    0  5.0324e-17  1.9109e-17  2.2474e-18     157.23     442.78    13283.35 2.4407e+23    1.66   sub
     2684  222.20    0  10  14   4  1.92e+23   6.577    0.0169267 0.00626986   1.7704     1.574  2.132e+21     1.011      0    0  6.0157e-18  3.8208e-18  1.2328e-18     455.93     807.20    24215.87 2.0544e+23    3.74   sub
     2685  222.20    0  10  14   7  1.92e+23   6.591    0.0169267  0.0131037   1.1648     1.236  1.825e+21     1.010      0    1  6.6016e-19  5.3405e-19  6.2007e-19    1377.78    1604.81    48144.31 1.9518e+23   10.03   sub
     2686  222.20    0  10  14  10  1.92e+23   6.595    0.0169267  0.0273861   0.7898     1.106  1.061e+21     1.006      0    1  7.3536e-20  6.6482e-20  3.0512e-19    4129.31    3261.36    97840.79 1.9275e+23   28.46   sub
     2687  222.20    0  10  17   1  1.92e+23   6.540    0.0553168      0.003   7.5181    20.490  7.054e+21     1.037      0    0  9.8894e-17  4.8264e-18  1.1804e-18     112.13     843.02    25290.58 2.9012e+23    1.01 super
     2688  222.20    0  10  17   4  1.92e+23   6.556    0.0553168 0.00626986   3.8737     4.525  6.763e+21     1.035      0    0  1.5870e-17  3.5076e-18  9.1661e-19     280.25    1085.62    32568.60 2.2570e+23    1.19   sub
     2689  222.20    0  10  17   7  1.92e+23   6.582    0.0553168  0.0131037   2.3182     2.044  5.747e+21     1.030      0    0  2.0571e-18  1.0064e-18  5.5032e-19     779.99    1808.19    54245.65 2.0145e+23    2.23   sub
     2690  222.20    0  10  17  10  1.92e+23   6.593    0.0553168  0.0273861   1.4932     1.398  3.320e+21     1.017      0    1  2.3624e-19  1.6895e-19  2.8931e-19    2303.40    3439.54   103186.16 1.9434e+23    5.46   sub
     2691  222.20    0  10  17  13  1.92e+23   6.595    0.0553168  0.0572357   0.9979     1.171  1.037e+21     1.005      0    1  2.6138e-20  2.2313e-20  1.4397e-19    6926.35    6911.78   207353.51 1.9255e+23   15.04   sub
     2692  222.20    0  10  17  16  1.92e+23   6.596    0.0553168    0.11962   0.6825     1.079  2.574e+20     1.001      0    1  2.9565e-21  2.7405e-21  7.0792e-20   20595.32   14056.55   421696.43 1.9213e+23   42.91   sub
     2693  222.20    0  10  20   1  1.92e+23   6.540     0.180777      0.003  33.0064   652.754  1.684e+22     1.088      1    1  1.2001e-16  1.8386e-19  2.9618e-19     101.79    3359.70   100790.96 3.0885e+23    1.58  deep
     2694  222.20    0  10  20   4  1.92e+23   6.543     0.180777 0.00626986  12.6378    75.094  1.743e+22     1.091      1    1  2.5378e-17  3.3795e-19  3.5563e-19     221.41    2798.09    83942.64 2.4410e+23    1.17  deep
     2695  222.20    0  10  20   7  1.92e+23   6.569     0.180777  0.0131037   5.6450    10.203  1.515e+22     1.079      1    0  4.6837e-18  4.5907e-19  3.4137e-19     516.39    2914.99    87449.55 2.1238e+23    1.01   sub
     2696  222.20    0  10  20  10  1.92e+23   6.587     0.180777  0.0273861   3.1311     3.099  9.099e+21     1.047      0    1  6.8980e-19  2.2258e-19  2.3587e-19    1347.37    4218.80   126563.96 1.9845e+23    1.45   sub
     2697  222.20    0  10  20  13  1.92e+23   6.594     0.180777  0.0572357   1.9324     1.696  3.110e+21     1.016      0    1  8.1985e-20  4.8351e-20  1.3169e-19    3910.32    7556.47   226694.18 1.9367e+23    3.12   sub
     2698  222.20    0  10  20  16  1.92e+23   6.596     0.180777    0.11962   1.2671     1.282  7.949e+20     1.004      0    1  9.1970e-21  7.1764e-21  6.7257e-20   11676.78   14795.38   443861.50 1.9240e+23    8.11   sub
     2699  222.20    0  10  20  19  1.92e+23   6.596     0.180777       0.25   0.8567     1.125  1.898e+20     1.001      0    1  1.0289e-21  9.1436e-22  3.3271e-20   34911.88   29908.80   897264.06 1.9210e+23   22.73   sub
     2700  222.20    0  10  23   4  1.92e+23   6.541     0.590784 0.00626986  55.5743  1814.897  2.205e+22     1.115      1    1  2.7362e-17  1.5076e-20  8.3988e-20     213.19   11848.08   355442.28 2.4819e+23    1.69  deep
     2701  222.20    0  10  23   7  1.92e+23   6.563     0.590784  0.0131037  22.3064   283.745  2.154e+22     1.112      1    1  6.0645e-18  2.1373e-20  9.8345e-20     453.61   10118.34   303550.11 2.1809e+23    1.43  deep
     2702  222.20    0  10  23  10  1.92e+23   6.580     0.590784  0.0273861   8.9222    31.491  1.580e+22     1.082      1    1  1.2662e-18  4.0208e-20  1.1221e-19     993.98    8868.47   266054.03 2.0336e+23    1.05 super
     2703  222.20    0  10  23  13  1.92e+23   6.590     0.590784  0.0572357   4.3805     5.796  7.379e+21     1.038      0    1  2.1192e-19  3.6563e-20  9.3427e-20    2431.48   10651.02   319530.63 1.9607e+23    1.10   sub
     2704  222.20    0  10  23  16  1.92e+23   6.594     0.590784    0.11962   2.5619     2.311  2.309e+21     1.012      0    1  2.8292e-20  1.2240e-20  5.8347e-20    6656.89   17054.59   511637.67 1.9318e+23    1.90   sub
     2705  222.20    0  10  23  19  1.92e+23   6.596     0.590784       0.25   1.6337     1.483  5.921e+20     1.003      0    1  3.3096e-21  2.2320e-21  3.1293e-20   19465.24   31799.60   953987.99 1.9230e+23    4.45   sub
     2706  222.20    0  10  26  10  1.92e+23   6.577       1.9307  0.0273861  43.4810  1132.145  1.854e+22     1.097      1    1  1.6942e-18  1.4964e-21  2.6640e-20     859.09   37353.94  1120618.11 2.0598e+23    1.66  deep
     2707  222.20    0  10  26  13  1.92e+23   6.587       1.9307  0.0572357  15.3547   120.294  1.050e+22     1.055      1    1  3.1522e-19  2.6204e-21  3.2513e-20    1993.28   30606.14   918184.14 1.9788e+23    1.25  deep
     2708  222.20    0  10  26  16  1.92e+23   6.592       1.9307    0.11962   6.5424    14.534  4.640e+21     1.024      0    1  6.0316e-20  4.1501e-21  3.3365e-20    4558.55   29824.00   894720.06 1.9438e+23    1.00 super
     2709  222.20    0  10  26  19  1.92e+23   6.595       1.9307       0.25   3.5081     3.762  1.569e+21     1.008      0    1  9.3328e-21  2.4809e-21  2.4472e-20   11590.98   40662.32  1219869.74 1.9279e+23    1.29   sub
     2710  222.20    0  10  29  16  1.92e+23   6.592      6.30957    0.11962  28.3039   474.441  5.804e+21     1.030      0    1  7.8672e-20  1.6582e-22  8.8087e-21    3991.20  112966.46  3388993.90 1.9500e+23    1.53  deep
     2711  222.20    0  10  29  19  1.92e+23   6.594      6.30957       0.25  10.6783    49.453  2.562e+21     1.013      0    1  1.5783e-20  3.1916e-22  1.0456e-20    8912.54   95171.10  2855133.02 1.9329e+23    1.10 super
     2712  222.20    0  10  32  19  1.92e+23   6.594      20.6199       0.25  50.3905  1505.966  2.955e+21     1.015      0    1  1.9333e-20  1.2838e-23  2.4523e-21    8052.64  405776.94 12173308.10 1.9350e+23    1.68  deep
