ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p6,R_exc_f1p6,R_int_f1p6,R_exc_bsl_f1p6,R_int_bsl_f1p6,R_ap2_f1p6,R_ap2_bsl_f1p6,R_ap3_f1p6,R_ap3_bsl_f1p6,R_peak_f1p35,R_exc_f1p35,R_int_f1p35,R_exc_bsl_f1p35,R_int_bsl_f1p35,R_ap2_f1p35,R_ap2_bsl_f1p35,R_ap3_f1p35,R_ap3_bsl_f1p35,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak_f1p1,R_exc_f1p1,R_int_f1p1,R_exc_bsl_f1p1,R_int_bsl_f1p1,R_ap2_f1p1,R_ap2_bsl_f1p1,R_ap3_f1p1,R_ap3_bsl_f1p1
11,1,11,4,3.75e+20,0.00517947,0.00626986,0.6605,2.75,2.851,85.5305,27,18,0.588722,0.128359,0.0968466,0.124286,0.0967147,0.041483,0.041435,0.041483,0.041435,25.65,25.65,0.840452,0.635717,0.386097,0.615543,0.385571,0.274072,0.273755,0.274072,0.273755,0.847706,0.646029,0.418346,0.625528,0.417776,0.279046,0.278722,0.279046,0.278722,0.842113,0.640709,0.404469,0.620377,0.403918,0.264717,0.264411,0.264717,0.264411,0.842252,0.640232,0.404398,0.619915,0.403847,0.250321,0.250031,0.250321,0.250031
12,1,11,5,3.75e+20,0.00517947,0.00801622,0.5619,2.706,3.55146,106.544,27,18,0.634723,0.408719,0.509834,0.401442,0.508688,0.505962,0.504897,0.505962,0.504897,25.65,25.65,0.908328,0.844408,0.971502,0.829373,0.969319,0.846953,0.845171,0.846953,0.845171,0.873918,0.79546,0.750038,0.781297,0.748353,0.650963,0.649594,0.650963,0.649594,0.892047,0.822048,0.791097,0.807412,0.789319,0.689392,0.687941,0.689392,0.687941,0.889186,0.820832,0.842632,0.806217,0.840739,0.72216,0.72064,0.72216,0.72064
13,1,12,1,3.75e+20,0.00768625,0.003,1.48,3.691,1.44685,43.4051,26.043,18,0.182847,0.0100381,-0.060014,0.00998531,-0.0600005,-0.097779,-0.0977592,-0.097779,-0.0977592,24.7409,24.7409,1.63324,1.69276,0.368091,1.68385,0.368008,0.279623,0.279566,0.279623,0.279566,1.6505,1.71193,0.389521,1.70293,0.389434,0.301337,0.301276,0.301337,0.301276,1.63376,1.69399,0.364732,1.68507,0.36465,0.279623,0.279567,0.279623,0.279567,1.63414,1.69477,0.364205,1.68585,0.364123,0.280707,0.28065,0.280707,0.28065
14,1,12,2,3.75e+20,0.00768625,0.0038356,1.2258,3.673,1.80865,54.259,27,18,0.258523,0.028446,-0.024165,0.0282065,-0.0241563,-0.0650486,-0.0650277,-0.0650486,-0.0650277,25.65,25.65,0.972897,0.926811,0.447051,0.919005,0.44689,0.342332,0.342222,0.342332,0.342222,0.97525,0.929074,0.461534,0.92125,0.461367,0.360069,0.359953,0.360069,0.359953,0.969557,0.922439,0.444803,0.914671,0.444643,0.332518,0.332411,0.332518,0.332411,0.969806,0.923057,0.444421,0.915283,0.444261,0.33294,0.332833,0.33294,0.332833
15,1,12,3,3.75e+20,0.00768625,0.00490394,1.0127,3.642,2.28881,68.6641,27,18,0.363695,0.059978,0.0327552,0.0591573,0.032736,-0.00283052,-0.00282903,-0.00283052,-0.00282903,25.65,25.65,0.653508,0.473859,0.384193,0.467376,0.383967,0.286324,0.286174,0.286324,0.286174,0.657173,0.477675,0.390501,0.471139,0.390272,0.299517,0.29936,0.299517,0.29936,0.654293,0.475918,0.374399,0.469406,0.374179,0.285908,0.285758,0.285908,0.285758,0.654556,0.476513,0.369879,0.469994,0.369661,0.284373,0.284224,0.284373,0.284224
16,1,12,4,3.75e+20,0.00768625,0.00626986,0.8466,3.597,2.87573,86.2718,27,18,0.482282,0.0988962,0.0960868,0.0967492,0.0959965,0.0623093,0.0622571,0.0623093,0.0622571,25.65,25.65,0.743804,0.540376,-0.0662911,0.528645,-0.0662288,-0.0973439,-0.0972624,-0.0973439,-0.0972624,0.743076,0.536124,-0.0416752,0.524485,-0.041636,-0.0908611,-0.090785,-0.0908611,-0.090785,0.737984,0.533312,-0.0559922,0.521734,-0.0559396,-0.0914696,-0.091393,-0.0914696,-0.091393,0.738323,0.533949,-0.0531996,0.522357,-0.0531497,-0.0933735,-0.0932953,-0.0933735,-0.0932953
17,1,12,5,3.75e+20,0.00768625,0.00801622,0.7098,3.525,3.62392,108.717,27,18,0.536724,0.344362,0.449409,0.34017,0.448696,0.462304,0.461605,0.462304,0.461605,25.65,25.65,0.855925,0.795375,0.917829,0.785694,0.916373,0.828025,0.826771,0.828025,0.826771,0.823424,0.752718,0.750726,0.743556,0.749535,0.654357,0.653367,0.654357,0.653367,0.835173,0.768314,0.837238,0.758962,0.835909,0.74223,0.741107,0.74223,0.741107,0.876102,0.82675,0.856402,0.816687,0.855043,0.763053,0.761898,0.763053,0.761898
18,1,12,6,3.75e+20,0.00768625,0.010249,0.6,3.413,4.60046,138.014,27,18,0.615981,0.458,0.57692,0.45249,0.575436,0.606291,0.604785,0.606291,0.604785,25.65,25.65,0.854868,0.812821,0.859673,0.803041,0.857461,0.964313,0.961916,0.964313,0.961916,0.869441,0.831173,0.933882,0.821172,0.93148,1.05935,1.05672,1.05935,1.05672,0.893037,0.8641,1.00096,0.853703,0.99838,1.04237,1.03978,1.04237,1.03978,0.879861,0.848501,1.00789,0.838292,1.0053,1.04919,1.04658,1.04919,1.04658
19,1,12,7,3.75e+20,0.00768625,0.0131037,0.5295,3.245,5.86335,175.9,27,18,0.674614,0.505313,0.630698,0.497543,0.628065,0.667183,0.664482,0.667183,0.664482,25.65,25.65,0.959943,0.94982,1.18579,0.935214,1.18084,1.15533,1.15066,1.15533,1.15066,0.981334,0.967222,0.986617,0.952348,0.982498,1.04026,1.03605,1.04026,1.03605,0.928282,0.905129,1.04414,0.89121,1.03978,1.10502,1.10055,1.10502,1.10055,0.928285,0.906578,1.04743,0.892637,1.04306,1.08593,1.08154,1.08593,1.08154
20,1,13,1,3.75e+20,0.0114062,0.003,1.9269,4.989,1.52323,45.6965,27,18,0.139817,0.0137971,-0.0261627,0.0137458,-0.0261585,-0.0576378,-0.0576292,-0.0576378,-0.0576292,25.65,25.65,1.20587,1.20083,0.578893,1.19636,0.5788,0.493061,0.492987,0.493061,0.492987,1.21954,1.21573,0.601597,1.2112,0.6015,0.517274,0.517197,0.517274,0.517197,1.19936,1.19376,0.565741,1.18932,0.56565,0.478269,0.478198,0.478269,0.478198,1.19961,1.19422,0.567237,1.18977,0.567146,0.478752,0.478681,0.478752,0.478681
21,1,13,2,3.75e+20,0.0114062,0.0038356,1.5936,4.962,1.86819,56.0452,27,18,0.199341,0.0312251,0.0092759,0.031043,0.00927356,-0.0162508,-0.0162471,-0.0162508,-0.0162471,25.65,25.65,0.448071,0.325364,0.542312,0.323467,0.542176,0.465136,0.465028,0.465136,0.465028,0.452893,0.330832,0.554334,0.328903,0.554195,0.479218,0.479107,0.479218,0.479107,0.448415,0.326645,0.539199,0.32474,0.539064,0.46189,0.461783,0.46189,0.461783,0.445892,0.32373,0.53433,0.321843,0.534196,0.457263,0.457157,0.457263,0.457157
22,1,13,3,3.75e+20,0.0114062,0.00490394,1.3127,4.917,2.33369,70.0106,27,18,0.279787,0.0491918,0.044413,0.0487315,0.044395,0.023516,0.0235072,0.023516,0.0235072,25.65,25.65,0.569412,0.42326,0.381985,0.419299,0.38183,0.316195,0.316076,0.316195,0.316076,0.572652,0.426835,0.398533,0.422841,0.398371,0.336158,0.336032,0.336158,0.336032,0.566126,0.419476,0.383845,0.415551,0.38369,0.313338,0.313221,0.313338,0.313221,0.566361,0.420306,0.383437,0.416373,0.383281,0.316409,0.31629,0.316409,0.31629
23,1,13,4,3.75e+20,0.0114062,0.00626986,1.0906,4.849,2.91858,87.5573,27,18,0.384444,0.0788072,0.092813,0.0776351,0.092753,0.0746946,0.07465,0.0746946,0.07465,25.65,25.65,0.60054,0.396282,0.312156,0.390387,0.311954,0.250203,0.250054,0.250203,0.250054,0.605937,0.403381,0.326282,0.397381,0.326071,0.271111,0.270949,0.271111,0.270949,0.601329,0.399082,0.303031,0.393147,0.302835,0.253468,0.253316,0.253468,0.253316,0.596137,0.392176,0.306143,0.386343,0.305945,0.257089,0.256936,0.257089,0.256936
24,1,13,5,3.75e+20,0.0114062,0.00801622,0.8963,4.732,3.736,112.08,27,18,0.439103,0.280159,0.380985,0.277807,0.380551,0.402606,0.402162,0.402606,0.402162,25.65,25.65,0.774846,0.714563,0.959029,0.708564,0.957935,0.884946,0.883971,0.884946,0.883971,0.913875,0.891283,0.844325,0.8838,0.843361,0.774513,0.77366,0.774513,0.77366,0.966198,0.958262,0.870271,0.950217,0.869278,0.785344,0.784478,0.785344,0.784478,0.781994,0.728568,0.877312,0.722451,0.876311,0.798188,0.797308,0.798188,0.797308
25,1,13,6,3.75e+20,0.0114062,0.010249,0.7501,4.562,4.71435,141.43,27,18,0.527464,0.394929,0.506948,0.39168,0.506021,0.541366,0.540402,0.541366,0.540402,25.65,25.65,0.945463,0.942043,0.970071,0.934294,0.968296,0.96981,0.968083,0.96981,0.968083,0.811194,0.775334,0.880285,0.768957,0.878674,0.944866,0.943183,0.944866,0.943183,0.829698,0.797664,1.01598,0.791103,1.01412,1.04194,1.04009,1.04194,1.04009,0.816116,0.777963,0.923375,0.771564,0.921685,0.979122,0.977379,0.979122,0.977379
26,1,13,7,3.75e+20,0.0114062,0.0131037,0.6405,4.299,6.01946,180.584,27,18,0.593349,0.449077,0.568865,0.444364,0.567173,0.609502,0.607735,0.609502,0.607735,25.65,25.65,0.900067,0.881287,1.13619,0.872039,1.13281,1.22386,1.22031,1.22386,1.22031,0.893758,0.866438,1.07193,0.857346,1.06874,1.07149,1.06838,1.07149,1.06838,0.980409,0.975216,0.906383,0.964982,0.903688,0.975606,0.972778,0.975606,0.972778,0.899343,0.868218,0.962631,0.859108,0.959768,1.04298,1.03995,1.04298,1.03995
27,1,13,8,3.75e+20,0.0114062,0.0167535,0.5743,3.989,7.43096,222.929,27,18,0.712849,0.605672,0.703206,0.599346,0.699968,0.75057,0.747221,0.75057,0.747221,25.65,25.65,0.897076,0.865108,0.904001,0.856071,0.899839,0.887133,0.883175,0.887133,0.883175,0.927576,0.901858,1.08288,0.892438,1.07789,1.05864,1.05392,1.05864,1.05392,0.913394,0.877483,0.950311,0.868317,0.945936,0.986739,0.982336,0.986739,0.982336,0.905458,0.868296,0.916225,0.859226,0.912007,0.920002,0.915897,0.920002,0.915897
28,1,14,1,3.75e+20,0.0169267,0.003,2.5606,6.907,1.64458,49.3374,27,18,0.108241,0.0185659,0.00693356,0.0185163,0.00693275,-0.00920191,-0.0092009,-0.00920191,-0.0092009,25.65,25.65,0.458015,0.397688,0.396155,0.396627,0.396109,0.351514,0.351475,0.351514,0.351475,0.460781,0.400228,0.40682,0.39916,0.406773,0.364318,0.364278,0.364318,0.364278,0.456855,0.396779,0.39096,0.395721,0.390915,0.346926,0.346887,0.346926,0.346887,0.456898,0.396997,0.390349,0.395937,0.390304,0.346525,0.346487,0.346525,0.346487
29,1,14,2,3.75e+20,0.0169267,0.0038356,2.0966,6.871,1.97231,59.1693,27,18,0.151007,0.028202,0.0266219,0.0280862,0.0266171,0.0137189,0.0137166,0.0137189,0.0137166,25.65,25.65,0.467108,0.384824,0.961813,0.383244,0.961641,0.888402,0.888252,0.888402,0.888252,0.468917,0.386223,0.980379,0.384637,0.980204,0.908977,0.908823,0.908977,0.908823,0.465457,0.38335,0.948691,0.381776,0.948522,0.874432,0.874284,0.874432,0.874284,0.465543,0.383708,0.949793,0.382132,0.949623,0.877105,0.876956,0.877105,0.876956
30,1,14,3,3.75e+20,0.0169267,0.00490394,1.7186,6.806,2.4145,72.4355,27,18,0.216283,0.0454362,0.0552251,0.0451427,0.0552095,0.0452868,0.0452747,0.0452868,0.0452747,25.65,25.65,0.366455,0.227243,-0.144109,0.225775,-0.144069,-0.156915,-0.156874,-0.156915,-0.156874,0.369367,0.230143,-0.138516,0.228656,-0.138477,-0.149131,-0.149091,-0.149131,-0.149091,0.36408,0.224996,-0.144979,0.223542,-0.144938,-0.159121,-0.159078,-0.159121,-0.159078,0.364195,0.224996,-0.145075,0.223542,-0.145034,-0.163587,-0.163544,-0.163587,-0.163544
