! Calibration harvest for the correction of hires surface density images.
! One block per model node.  The header line of a block gives the node name and
! log10 of the background surface density in cm^-2; the following lines give
! log10 of the contrast, the median of the factor that restores the true
! surface density, and the number of pixels.
! Opacity used: kappa_0 = 9.3057882 cm^2 per gram of dust at 1000 GHz.
!
NODE additional/01              22.97261
       0.7625     2.74384         8
       0.8375     1.86940        16
       0.8625     1.92849        16
       0.8875     2.38446         8
       0.9125     1.11761         8
       0.9375     1.45697        28
       0.9625     2.24015        12
       0.9875     1.87639         8
       1.0375     1.35826        16
       1.0875     1.72648         8
       1.1125     1.20744        24
       1.1375     1.04693         8
       1.1625     1.44900         8
       1.1875     1.62042         8
       1.2125     1.09689         8
       1.2625     1.25197        24
       1.2875     1.20386        16
       1.3125     1.25929        16
       1.3625     1.45263         8
       1.3875     1.24511        32
       1.4125     1.40833        20
       1.4375     1.03395         8
       1.4875     1.13401        16
       1.5125     1.05162        24
       1.5375     1.15108        16
       1.5875     1.02513         8
       1.6125     1.15799        16
       1.6375     1.01364         8
       1.6625     1.06801        24
       1.6875     1.10359        28
       1.7125     1.15249         8
       1.7375     1.14602        20
       1.7625     1.05461        24
       1.7875     1.01074         8
       1.8375     1.04479        24
       1.8625     1.01081        16
       1.8875     1.04722        16
       1.9125     1.06279         8
       1.9375     1.02339        16
       1.9625     1.01395        24
       1.9875     1.05340        36
       2.0125     1.00434        12
       2.0375     1.00852         8
       2.0625     1.02329        16
       2.0875     1.01214         8
       2.1125     1.01579        16
       2.1375     1.01549        24
       2.1625     1.00813        24
       2.1875     1.02276         8
NODE i01j10k02                  17.24733
       0.0125     4.71221       100
       0.0625     2.44595         8
       0.0875     3.72171         8
       0.1375     1.62833         8
       0.1875     4.10742        12
       0.2375     2.52574         8
       0.2625     1.69750         8
       0.2875     2.45097        16
       0.3375     3.39889         8
       0.3875     1.37583         8
       0.4375     2.10242        24
       0.4625     2.44828         8
       0.4875     1.58766        16
       0.5375     2.65476         8
       0.5875     1.24558         8
       0.6125     1.98575        16
       0.6375     2.44938         8
       0.6625     1.33920        28
       0.6875     2.30645         8
       0.7375     2.06976        16
       0.7625     1.64455        24
       0.7875     2.10682        12
       0.8125     1.39360         8
       0.8375     1.25004        24
       0.8625     1.06216         8
       0.8875     1.51486         8
       0.9125     1.67271         8
       0.9375     1.12241         8
       0.9625     1.24781        16
       0.9875     1.42191        24
       1.0375     1.03813        20
       1.0625     1.09178         8
       1.0875     1.35384        24
       1.1125     1.14687         8
       1.1375     1.25172        16
       1.1625     1.42496        24
