! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 2089 nodes measured, 0 not measured, 26072617 pixels
! 26072617 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.675     20.10    0.1500         38    1.6145    1.9518    2.0886
    20.675     20.30   -0.1500       1156    0.9015    0.9138    0.9263
    20.675     20.30   -0.0750       4356    0.9263    0.9389    0.9517
    20.675     20.30   -0.0350       1012    0.9389    0.9517    0.9647
    20.675     20.30   -0.0100         28    0.9389    0.9389    0.9389
    20.675     20.50   -0.0750        524    0.9389    0.9517    0.9517
    20.675     20.50   -0.0350       4344    0.9647    0.9779    0.9912
    20.675     20.50   -0.0100       3024    0.9912    1.0048    1.0048
    20.675     20.50    0.0100       2960    1.0048    1.0048    1.0048
    20.675     20.70   -0.0350        272    0.9779    0.9912    0.9912
    20.675     20.70   -0.0100      95528    1.0048    1.0048    1.0048
    20.675     20.70    0.0100     224572    1.0048    1.0048    1.0048
    20.725     19.10   -0.1500         60    0.7064    0.7064    0.7064
    20.725     19.10   -0.0350         52    0.7258    0.7258    0.7457
    20.725     19.10   -0.0100         40    0.8089    0.8425    0.8540
    20.725     19.30   -0.6000        268    0.7457    0.7662    0.7767
    20.725     19.30   -0.1500        380    0.7160    0.7258    0.7559
    20.725     19.30   -0.0750        136    0.7258    0.7357    0.7662
    20.725     19.30   -0.0350         88    0.7457    0.7662    0.7980
    20.725     19.30   -0.0100        100    0.7980    0.8089    0.8199
    20.725     19.30    0.0100         48    0.8425    0.8774    0.8894
    20.725     19.30    0.0350        104    1.0185    1.1663    1.2147
    20.725     19.30    0.0750         64    1.5293    1.7994    2.3277
    20.725     19.50   -0.6000        512    0.7662    0.7980    0.8311
    20.725     19.50   -0.1500        652    0.7457    0.7662    0.8311
    20.725     19.50   -0.0750        280    0.7457    0.7559    0.8199
    20.725     19.50   -0.0350        140    0.7662    0.7767    0.8199
    20.725     19.50   -0.0100        132    0.7980    0.8199    0.8540
    20.725     19.50    0.0100         68    0.8540    0.9015    0.9647
    20.725     19.50    0.0350        140    0.9263    1.0464    1.1506
    20.725     19.50    0.0750        108    1.2312    1.5928    1.8996
    20.725     19.50    0.1500         34    2.0605    2.5594    2.8140
    20.725     19.70   -0.6000        424    0.8089    0.8199    0.8425
    20.725     19.70   -0.1500       1032    0.8199    0.8540    0.8774
    20.725     19.70   -0.0750        172    0.8199    0.8425    0.8894
    20.725     19.70   -0.0350         40    0.8089    0.8540    0.8656
    20.725     19.70   -0.0100         44    0.8311    0.8656    0.8774
    20.725     19.70    0.0100         40    0.8894    0.8894    0.9138
