# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: nc.surfdens.r13p5x0.rs3p0as.fits
# ABOUT CENTRAL POSITION (X1,Y1): 39,39 (PIXELS)
# TOTAL VALUE:  2.2438466E+26
# TOTAL STDEV:  4.9830812E+21
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  6.0416483E+22  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  5.9983903E+22  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  5.7938764E+22  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  5.6695217E+22  1.0000000E-33  5.0046481E-02
    5   1.2000000E+01  0.0000000E+00  5.5380284E+22  1.8756262E+20  5.3510934E-02
    6   1.5000000E+01  0.0000000E+00  5.3712398E+22  5.0939429E+20  8.1569893E-02
    7   1.8000000E+01  0.0000000E+00  5.2222971E+22  2.2183540E+20  1.3704090E-01
    8   2.1000000E+01  0.0000000E+00  5.1063362E+22  2.9637484E+20  1.4567051E-01
    9   2.4000000E+01  0.0000000E+00  5.0019117E+22  2.5915413E+20  1.5424067E-01
   10   2.7000000E+01  0.0000000E+00  4.9237722E+22  1.7021301E+20  1.5424067E-01
   11   3.0000000E+01  0.0000000E+00  4.8690822E+22  1.3485976E+20  1.4567051E-01
   12   3.3000000E+01  0.0000000E+00  4.8325460E+22  5.7753245E+19  1.3368013E-01
   13   3.6000000E+01  0.0000000E+00  4.8117611E+22  4.0804013E+19  1.0601191E-01
   14   3.9000000E+01  0.0000000E+00  4.8006260E+22  2.0009962E+19  7.9026348E-02
   15   4.2000000E+01  0.0000000E+00  4.7961463E+22  6.6798508E+18  4.9537274E-02
   16   4.5000000E+01  0.0000000E+00  4.7944090E+22  3.4031151E+18  2.8944783E-02
   17   4.8000000E+01  0.0000000E+00  4.7933952E+22  2.1995751E+18  1.2597512E-02
   18   5.1000000E+01  0.0000000E+00  4.7925316E+22  2.5540070E+18  5.2513881E-03
   19   5.4000000E+01  0.0000000E+00  4.7916121E+22  2.6397529E+18  3.3567899E-03
   20   5.7000000E+01  0.0000000E+00  4.7906870E+22  2.6083901E+18  3.3567899E-03
   21   6.0000000E+01  0.0000000E+00  4.7897604E+22  2.6217764E+18  3.5713583E-03
   22   6.3000000E+01  0.0000000E+00  4.7887118E+22  3.2036349E+18  3.7712997E-03
   23   6.6000000E+01  0.0000000E+00  4.7876543E+22  2.9965934E+18  4.4872573E-03
   24   6.9000000E+01  0.0000000E+00  4.7865906E+22  2.8985837E+18  4.7476583E-03
   25   7.2000000E+01  0.0000000E+00  4.7854655E+22  3.1651756E+18  4.9989281E-03
   26   7.5000000E+01  0.0000000E+00  4.7842317E+22  3.6940318E+18  5.5233935E-03
   27   7.8000000E+01  0.0000000E+00  4.7829021E+22  3.9632247E+18  6.3163496E-03
   28   8.1000000E+01  0.0000000E+00  4.7816080E+22  3.5848114E+18  7.0871185E-03
   29   8.4000000E+01  0.0000000E+00  4.7803251E+22  3.5101871E+18  7.1699444E-03
   30   8.7000000E+01  0.0000000E+00  4.7789345E+22  4.1750305E+18  7.3788528E-03
   31   9.0000000E+01  0.0000000E+00  4.7774808E+22  4.0994100E+18  8.2908189E-03
   32   9.3000000E+01  0.0000000E+00  4.7759412E+22  4.5918818E+18  8.9742011E-03
   33   9.6000000E+01  0.0000000E+00  4.7743812E+22  4.4292805E+18  9.8298233E-03
   34   9.9000000E+01  0.0000000E+00  4.7727929E+22  4.6766228E+18  1.0289417E-02
   35   1.0200000E+02  0.0000000E+00  4.7711234E+22  5.1765804E+18  1.0813134E-02
   36   1.0500000E+02  0.0000000E+00  4.7694459E+22  4.5604289E+18  1.1719233E-02
   37   1.0800000E+02  0.0000000E+00  4.7677403E+22  5.0350684E+18  1.2131522E-02
   38   1.1100000E+02  0.0000000E+00  4.7659797E+22  4.9439498E+18  1.2696125E-02
