# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r250.cfg.00.surfden.fits
# ABOUT CENTRAL POSITION (X1,Y1): 182,182 (PIXELS)
# TOTAL VALUE:  4.2376165E+26
# TOTAL STDEV:  4.4646868E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
   58   1.7100000E+02  0.0000000E+00  4.2164816E+21  1.8494365E+18  1.0009588E-01
   59   1.7400000E+02  0.0000000E+00  4.2101038E+21  1.8752166E+18  9.0819564E-02
   60   1.7700000E+02  0.0000000E+00  4.2034156E+21  1.9545410E+18  9.0819564E-02
   61   1.8000000E+02  0.0000000E+00  4.1962274E+21  2.1654173E+18  9.3004753E-02
   62   1.8300000E+02  0.0000000E+00  4.1888104E+21  2.1205681E+18  1.0183525E-01
   63   1.8600000E+02  0.0000000E+00  4.1815480E+21  2.0363199E+18  1.0671621E-01
   64   1.8900000E+02  0.0000000E+00  4.1748984E+21  1.8645381E+18  1.0671621E-01
   65   1.9200000E+02  0.0000000E+00  4.1690583E+21  1.5221840E+18  1.0671621E-01
   66   1.9500000E+02  0.0000000E+00  4.1638863E+21  1.4272121E+18  9.9464987E-02
   67   1.9800000E+02  0.0000000E+00  4.1594145E+21  1.1383149E+18  8.8889009E-02
   68   2.0100000E+02  0.0000000E+00  4.1553945E+21  1.1437904E+18  8.0064049E-02
   69   2.0400000E+02  0.0000000E+00  4.1513741E+21  1.2253140E+18  7.0380688E-02
   70   2.0700000E+02  0.0000000E+00  4.1472791E+21  1.1660616E+18  6.7602395E-02
   71   2.1000000E+02  0.0000000E+00  4.1430025E+21  1.3179517E+18  6.7602395E-02
   72   2.1300000E+02  0.0000000E+00  4.1383828E+21  1.3077457E+18  7.1702119E-02
   73   2.1600000E+02  0.0000000E+00  4.1332957E+21  1.5650839E+18  7.8653854E-02
   74   2.1900000E+02  0.0000000E+00  4.1280339E+21  1.5188286E+18  8.7944710E-02
   75   2.2200000E+02  0.0000000E+00  4.1229816E+21  1.4112812E+18  9.0009438E-02
   76   2.2500000E+02  0.0000000E+00  4.1183950E+21  1.2767218E+18  9.0009438E-02
   77   2.2800000E+02  0.0000000E+00  4.1143436E+21  1.0783675E+18  9.0009438E-02
   78   2.3100000E+02  0.0000000E+00  4.1108964E+21  9.2421816E+17  8.2922296E-02
   79   2.3400000E+02  0.0000000E+00  4.1080218E+21  7.4886143E+17  7.4306627E-02
   80   2.3700000E+02  0.0000000E+00  4.1054610E+21  7.0812495E+17  6.4121776E-02
   81   2.4000000E+02  0.0000000E+00  4.1029827E+21  7.3767427E+17  5.4211405E-02
   82   2.4300000E+02  0.0000000E+00  4.1005031E+21  7.2757261E+17  4.8948801E-02
   83   2.4600000E+02  0.0000000E+00  4.0978823E+21  8.1367413E+17  4.8948801E-02
   84   2.4900000E+02  0.0000000E+00  4.0950872E+21  8.1161511E+17  5.2105924E-02
