! validate_calib3.py -- the corrections measured on the models
!
! 334 nodes
!
! integrated over the mask, corrected divided by true:
!   uncorrected  median 0.6637, 16th and 84th 0.4303 0.9112
!   hicorrect2   median 0.8940, 16th and 84th 0.8224 0.9604
!   table, column median 0.9582, 16th and 84th 0.8580 0.9847
!   table, column and T median 1.0058, 16th and 84th 0.9147 1.0753
!   table, all three median 0.9576, 16th and 84th 0.9142 1.0117
!   hicorrect3.py median 0.9596, 16th and 84th 0.9161 1.0105
!
! relative residual against the radius from the center of the core, median over the nodes
!   radius    uncorrect   hicorrect2       column     column+T    all three   hicorrect3
       3.0      -0.5320      -0.1784      -0.1357      -0.0498      -0.0667      -0.0736
       9.0      -0.4784      -0.1575      -0.1066      -0.0297      -0.0533      -0.0548
      15.0      -0.3704      -0.1148      -0.0553       0.0021      -0.0309      -0.0273
      21.0      -0.3289      -0.0916      -0.0326       0.0199      -0.0150      -0.0144
      27.0      -0.3160      -0.0829      -0.0264       0.0197      -0.0123      -0.0121
      33.0      -0.3164      -0.0751      -0.0244       0.0203      -0.0206      -0.0226
      39.0      -0.3322      -0.0753      -0.0302       0.0203      -0.0276      -0.0305
      45.0      -0.3321      -0.0805      -0.0317       0.0215      -0.0335      -0.0346
      51.0      -0.3328      -0.0788      -0.0296       0.0167      -0.0394      -0.0359
      57.0      -0.3404      -0.0766      -0.0307       0.0207      -0.0409      -0.0388
      63.0      -0.3371      -0.0740      -0.0299       0.0198      -0.0361      -0.0338
      69.0      -0.3345      -0.0742      -0.0295       0.0199      -0.0407      -0.0376
      75.0      -0.3328      -0.0729      -0.0274       0.0169      -0.0436      -0.0403
      81.0      -0.3373      -0.0713      -0.0253       0.0179      -0.0428      -0.0369
      87.0      -0.3438      -0.0709      -0.0253       0.0186      -0.0411      -0.0375
      93.0      -0.3370      -0.0647      -0.0236       0.0189      -0.0421      -0.0383
      99.0      -0.3416      -0.0626      -0.0245       0.0193      -0.0402      -0.0362
     105.0      -0.3426      -0.0655      -0.0265       0.0215      -0.0454      -0.0382
     111.0      -0.3467      -0.0640      -0.0255       0.0192      -0.0457      -0.0401
     117.0      -0.3460      -0.0625      -0.0240       0.0185      -0.0407      -0.0373
     123.0      -0.3482      -0.0627      -0.0242       0.0186      -0.0436      -0.0398
     129.0      -0.3469      -0.0594      -0.0236       0.0190      -0.0435      -0.0380
     135.0      -0.4533      -0.0626      -0.0225       0.0183      -0.0457      -0.0400
     141.0      -0.4550      -0.0660      -0.0233       0.0177      -0.0473      -0.0419
     147.0      -0.4541      -0.0607      -0.0216       0.0234      -0.0479      -0.0436
     153.0      -0.3450      -0.0555      -0.0187       0.0228      -0.0473      -0.0435
     159.0      -0.4539      -0.0639      -0.0198       0.0222      -0.0475      -0.0434
     165.0      -0.4550      -0.0626      -0.0193       0.0175      -0.0479      -0.0433
     171.0      -0.3443      -0.0588      -0.0177       0.0173      -0.0455      -0.0428
     177.0      -0.3438      -0.0555      -0.0149       0.0193      -0.0407      -0.0330
     183.0      -0.3435      -0.0553      -0.0154       0.0199      -0.0356      -0.0361
     189.0      -0.3433      -0.0556      -0.0163       0.0209      -0.0407      -0.0342
     195.0      -0.3432      -0.0561      -0.0132       0.0197      -0.0438      -0.0377
     201.0      -0.3430      -0.0559      -0.0128       0.0179      -0.0437      -0.0378
     207.0      -0.3428      -0.0555      -0.0118       0.0174      -0.0408      -0.0329
     213.0      -0.3425      -0.0557      -0.0117       0.0153      -0.0375      -0.0338
     219.0      -0.3425      -0.0549      -0.0120       0.0136      -0.0418      -0.0351
     225.0      -0.4524      -0.0626      -0.0129       0.0139      -0.0433      -0.0371
     231.0      -0.4556      -0.0688      -0.0143       0.0151      -0.0440      -0.0333
