# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: nc.surfdens.r13p5x0.rs3p0as.fits
# ABOUT CENTRAL POSITION (X1,Y1): 44,44 (PIXELS)
# TOTAL VALUE:  3.9971665E+25
# TOTAL STDEV:  7.4182325E+21
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  3.1027581E+22  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  2.9742312E+22  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  2.4015931E+22  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  2.1050547E+22  1.0000000E-33  3.0852506E-01
    5   1.2000000E+01  0.0000000E+00  1.8285962E+22  3.6196374E+20  3.2503623E-01
    6   1.5000000E+01  0.0000000E+00  1.5246251E+22  8.6441490E+20  4.8940456E-01
    7   1.8000000E+01  0.0000000E+00  1.2953686E+22  3.0501601E+20  8.1472224E-01
    8   2.1000000E+01  0.0000000E+00  1.1464506E+22  3.5704301E+20  8.1472224E-01
    9   2.4000000E+01  0.0000000E+00  1.0266081E+22  2.8617248E+20  8.2685028E-01
   10   2.7000000E+01  0.0000000E+00  9.4283170E+21  1.7904747E+20  8.2685028E-01
   11   3.0000000E+01  0.0000000E+00  8.8276837E+21  1.5491454E+20  7.9224134E-01
   12   3.3000000E+01  0.0000000E+00  8.3544915E+21  8.5374990E+19  7.2275087E-01
   13   3.6000000E+01  0.0000000E+00  7.9814158E+21  9.2790320E+19  6.2475914E-01
   14   3.9000000E+01  0.0000000E+00  7.6509416E+21  8.6212702E+19  5.7804282E-01
   15   4.2000000E+01  0.0000000E+00  7.3834832E+21  6.2684916E+19  5.2830656E-01
   16   4.5000000E+01  0.0000000E+00  7.1731921E+21  5.4005817E+19  5.2502880E-01
   17   4.8000000E+01  0.0000000E+00  6.9908148E+21  4.3398183E+19  4.8015373E-01
   18   5.1000000E+01  0.0000000E+00  6.8232851E+21  4.7518458E+19  4.1880779E-01
   19   5.4000000E+01  0.0000000E+00  6.6608162E+21  4.3664099E+19  4.1880779E-01
   20   5.7000000E+01  0.0000000E+00  6.5157862E+21  3.9185517E+19  4.0716256E-01
   21   6.0000000E+01  0.0000000E+00  6.3824767E+21  3.5723190E+19  4.0716256E-01
   22   6.3000000E+01  0.0000000E+00  6.2512286E+21  3.6088809E+19  4.2161805E-01
   23   6.6000000E+01  0.0000000E+00  6.1466035E+21  2.5583022E+19  4.0716256E-01
   24   6.9000000E+01  0.0000000E+00  6.0738093E+21  1.5564048E+19  4.0300916E-01
   25   7.2000000E+01  0.0000000E+00  6.0291927E+21  8.4997015E+18  3.6281959E-01
   26   7.5000000E+01  0.0000000E+00  6.0069666E+21  3.9950549E+18  2.6801366E-01
   27   7.8000000E+01  0.0000000E+00  5.9981500E+21  1.3243488E+18  1.7323554E-01
   28   8.1000000E+01  0.0000000E+00  5.9954979E+21  3.6810677E+17  9.0471530E-02
   29   8.4000000E+01  0.0000000E+00  5.9946515E+21  1.5356682E+17  3.7450076E-02
   30   8.7000000E+01  0.0000000E+00  5.9941624E+21  1.2512365E+17  1.1718058E-02
   31   9.0000000E+01  0.0000000E+00  5.9937412E+21  1.1382331E+17  3.8822834E-03
   32   9.3000000E+01  0.0000000E+00  5.9933141E+21  1.2818327E+17  2.3249783E-03
   33   9.6000000E+01  0.0000000E+00  5.9928822E+21  1.2342366E+17  2.2700302E-03
   34   9.9000000E+01  0.0000000E+00  5.9924391E+21  1.2917741E+17  2.2700302E-03
   35   1.0200000E+02  0.0000000E+00  5.9919787E+21  1.4376161E+17  2.4025927E-03
   36   1.0500000E+02  0.0000000E+00  5.9915138E+21  1.2650648E+17  2.5739074E-03
   37   1.0800000E+02  0.0000000E+00  5.9910388E+21  1.3911089E+17  2.6767071E-03
   38   1.1100000E+02  0.0000000E+00  5.9905516E+21  1.3792222E+17  2.8141323E-03
   39   1.1400000E+02  0.0000000E+00  5.9900299E+21  1.5892635E+17  2.9683819E-03
   40   1.1700000E+02  0.0000000E+00  5.9894932E+21  1.5369609E+17  3.2658872E-03
   41   1.2000000E+02  0.0000000E+00  5.9889775E+21  1.4100467E+17  3.4008643E-03
   42   1.2300000E+02  0.0000000E+00  5.9884319E+21  1.6490870E+17  3.4495818E-03
   43   1.2600000E+02  0.0000000E+00  5.9878568E+21  1.6446906E+17  3.6897488E-03
