! Date: 14/08/2026  Time: 23:26:57  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.03356824E+01
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  2.0925780E+14  1.0962186E+00  1.3988020E+01  6.7814904E-05  5.3800078E-02  7.8539748E-18  1.6892041E+06  7.8539748E-20  1.6892041E+04       Infinity  5.6324716E+00
    2  4.5514730E+14  5.7648745E-01  3.0424718E+01  1.4750117E-04  1.1701815E-01  7.8488700E-18  1.6881062E+06  7.8488700E-20  1.6881062E+04       Infinity  6.5923553E+00
    3  7.3640408E+14  4.0755728E-01  4.9225572E+01  2.3864903E-04  1.8932912E-01  7.8385971E-18  1.6858967E+06  7.8385971E-20  1.6858967E+04       Infinity  6.3535183E+00
    4  1.0581151E+15  3.2444039E-01  7.0730629E+01  3.4290705E-04  2.7204088E-01  7.8210360E-18  1.6821198E+06  7.8210360E-20  1.6821198E+04       Infinity  6.7733735E+00
    5  1.4260992E+15  2.7534749E-01  9.5328844E+01  4.6216092E-04  3.6664940E-01  7.7933745E-18  1.6761704E+06  7.7933745E-20  1.6761704E+04       Infinity  7.8811012E+00
    6  1.8470119E+15  2.4317794E-01  1.2346512E+02  5.9856756E-04  4.7486584E-01  7.7522561E-18  1.6673268E+06  7.7522561E-20  1.6673268E+04       Infinity  7.4730581E+00
    7  2.3284662E+15  2.2064137E-01  1.5564835E+02  7.5459412E-04  5.9864750E-01  7.6934129E-18  1.6546710E+06  7.6934129E-20  1.6546710E+04       Infinity  7.3532148E+00
    8  2.8791699E+15  2.0410451E-01  1.9246062E+02  9.3306260E-04  7.4023316E-01  7.6103283E-18  1.6368015E+06  7.6103283E-20  1.6368015E+04       Infinity  7.3017465E+00
    9  3.5090836E+15  1.9155310E-01  2.3456775E+02  1.1372009E-03  9.0218366E-01  7.4962523E-18  1.6122665E+06  7.4962523E-20  1.6122665E+04       Infinity  7.3968345E+00
   10  4.2296004E+15  1.8178020E-01  2.8273132E+02  1.3707013E-03  1.0874282E+00  7.3427741E-18  1.5792569E+06  7.3427741E-20  1.5792569E+04       Infinity  7.5580842E+00
   11  5.0537519E+15  1.7401833E-01  3.3782245E+02  1.6377869E-03  1.2993171E+00  7.1403839E-18  1.5357276E+06  7.1403839E-20  1.5357276E+04       Infinity  7.7881682E+00
   12  5.9964445E+15  1.6775602E-01  4.0083756E+02  1.9432886E-03  1.5416829E+00  6.8790502E-18  1.4795209E+06  6.8790502E-20  1.4795209E+04       Infinity  7.6291021E+00
   13  7.0747283E+15  1.6263918E-01  4.7291638E+02  2.2927318E-03  1.8189092E+00  6.5493621E-18  1.4086128E+06  6.5493621E-20  1.4086128E+04       Infinity  7.6868084E+00
   14  8.3081061E+15  1.5841486E-01  5.5536259E+02  2.6924368E-03  2.1360100E+00  6.1443285E-18  1.3214997E+06  6.1443285E-20  1.3214997E+04       Infinity  7.6797027E+00
   15  9.7188855E+15  1.5489753E-01  6.4966737E+02  3.1496330E-03  2.4987207E+00  5.6617708E-18  1.2177129E+06  5.6617708E-20  1.2177129E+04       Infinity  7.6669432E+00
   16  1.1332583E+16  1.5194803E-01  7.5753639E+02  3.6725896E-03  2.9136015E+00  5.1068694E-18  1.0983667E+06  5.1068694E-20  1.0983667E+04       Infinity  7.7051862E+00
   17  1.3178385E+16  1.4945994E-01  8.8092064E+02  4.2707651E-03  3.3881563E+00  4.4940817E-18  9.6657062E+05  4.4940817E-20  9.6657062E+03       Infinity  7.8002404E+00
   18  1.5289677E+16  1.4735053E-01  1.0220517E+03  4.9549786E-03  3.9309683E+00  3.8473913E-18  8.2748281E+05  3.8473913E-20  8.2748281E+03       Infinity  7.9224130E+00
   19  1.7704643E+16  1.4555457E-01  1.1834823E+03  5.7376053E-03  4.5518550E+00  3.1978021E-18  6.8777155E+05  3.1978021E-20  6.8777155E+03       Infinity  8.0145099E+00
