ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_peak_scale,R_exc_scale,R_int_scale
39,1,15,2,3.75e+20,0.0251189,0.0038356,2.7958,9.685,2.16792,65.0382,27,18,0.119951,0.0288096,0.0405482,0.257048,0.17969,-0.0213368
40,1,15,3,3.75e+20,0.0251189,0.00490394,2.2685,9.584,2.57892,77.3679,27,18,0.165841,0.0377177,0.0567085,0.333845,0.231085,0.208292
41,1,15,4,3.75e+20,0.0251189,0.00626986,1.85,9.428,3.13588,94.077,27,18,0.348017,0.254617,0.336815,0.551244,0.492541,0.490283
42,1,15,5,3.75e+20,0.0251189,0.00801622,1.5129,9.183,3.88469,116.541,27,18,0.272514,0.175094,0.254677,0.574272,0.523181,0.722009
43,1,15,6,3.75e+20,0.0251189,0.010249,1.2471,8.806,4.85081,145.524,27,18,0.354474,0.269597,0.35901,0.706786,0.667179,1.06047
44,1,15,7,3.75e+20,0.0251189,0.0131037,1.0326,8.244,6.10742,183.223,27,18,0.424294,0.331591,0.431186,0.678374,0.623367,0.734621
45,1,15,8,3.75e+20,0.0251189,0.0167535,0.8602,7.453,7.71919,231.576,27,18,0.561896,0.482776,0.561224,0.805054,0.779941,0.842505
46,1,15,9,3.75e+20,0.0251189,0.02142,0.7487,6.397,9.84346,295.303,29.5304,24,0.677654,0.606842,0.733793,0.865797,0.82939,0.88479
47,1,15,10,3.75e+20,0.0251189,0.0273861,0.6619,5.225,12.4461,373.384,37.3383,24,0.781403,0.72478,0.844044,0.911423,0.892918,0.918837
48,1,15,11,3.75e+20,0.0251189,0.0350141,0.5885,4.101,15.6074,468.222,46.8223,30,0.867431,0.822425,0.954151,0.968584,0.9465,0.976128
49,1,15,12,3.75e+20,0.0251189,0.0447667,0.5148,3.019,20.239,607.171,60.7171,36,0.936013,0.901856,0.999102,0.981197,0.960584,0.952945
50,1,16,1,3.75e+20,0.0372759,0.003,4.8153,13.893,2.29896,68.9693,27,18,0.0732165,0.021246,0.0379039,0.200762,0.156131,0.133246
51,1,16,2,3.75e+20,0.0372759,0.0038356,3.8153,13.802,2.52523,75.757,27,18,0.0987105,0.0282645,0.0483114,0.399399,0.351322,-0.0906628
52,1,16,3,3.75e+20,0.0372759,0.00490394,3.0532,13.661,2.87504,86.2517,27,18,0.133264,0.0357931,0.060588,0.372043,0.301027,0.240237
53,1,16,4,3.75e+20,0.0372759,0.00626986,2.4639,13.434,3.37608,101.282,27,18,0.232732,0.16488,0.236225,0.490989,0.452122,0.655477
54,1,16,5,3.75e+20,0.0372759,0.00801622,1.9924,13.067,4.08392,122.518,27,18,0.209085,0.134262,0.203066,0.486164,0.444008,0.628568
55,1,16,6,3.75e+20,0.0372759,0.010249,1.6296,12.514,5.01108,150.332,27,18,0.284234,0.218396,0.295478,0.580888,0.555991,0.939917
56,1,16,7,3.75e+20,0.0372759,0.0131037,1.3387,11.686,6.24127,187.238,27,18,0.353017,0.281289,0.369138,0.600663,0.548609,0.636086
57,1,16,8,3.75e+20,0.0372759,0.0167535,1.1087,10.528,7.82146,234.644,27,18,0.479774,0.414487,0.483917,0.865689,0.85574,0.842339
58,1,16,9,3.75e+20,0.0372759,0.02142,0.921,8.978,9.9185,297.555,29.7555,24,0.601409,0.541553,0.662923,0.795338,0.761009,0.769161
59,1,16,10,3.75e+20,0.0372759,0.0273861,0.8129,7.252,12.5093,375.28,37.528,24,0.714749,0.664769,0.781042,0.869364,0.850672,0.918172
60,1,16,11,3.75e+20,0.0372759,0.0350141,0.7171,5.509,15.8538,475.616,47.5615,30,0.820168,0.778647,0.911397,0.937154,0.905883,0.919783
61,1,16,12,3.75e+20,0.0372759,0.0447667,0.6252,3.91,20.6109,618.326,61.8327,36,0.906725,0.8729,0.973998,0.968452,0.952009,0.71548
62,1,16,13,3.75e+20,0.0372759,0.0572357,0.5617,2.991,25.3575,760.724,76.0724,42,0.949391,0.92156,0.997381,0.986937,0.977814,0.971662
63,1,17,1,3.75e+20,0.0553168,0.003,7.1012,19.87,3.08519,92.5563,27,18,0.123244,0.0856397,0.126271,0.198443,0.166978,0.200264
64,1,17,2,3.75e+20,0.0553168,0.0038356,5.4187,19.752,3.18092,95.4281,27,18,0.164452,0.120931,0.174388,0.304817,0.273322,0.314361
65,1,17,3,3.75e+20,0.0553168,0.00490394,4.2109,19.546,3.42615,102.784,27,18,0.172252,0.124778,0.184479,0.373406,0.343142,0.478073
66,1,17,4,3.75e+20,0.0553168,0.00626986,3.3339,19.215,3.83723,115.117,27,18,0.164812,0.113763,0.171786,0.350241,0.316102,0.445112
67,1,17,5,3.75e+20,0.0553168,0.00801622,2.6764,18.702,4.44196,133.259,27,18,0.237504,0.190612,0.258544,0.403507,0.373279,0.459217
68,1,17,6,3.75e+20,0.0553168,0.010249,2.1606,17.897,5.3035,159.105,27,18,0.218351,0.166864,0.233664,0.519215,0.500022,0.763098
69,1,17,7,3.75e+20,0.0553168,0.0131037,1.757,16.69,6.47608,194.283,27,18,0.294738,0.239858,0.315272,0.518747,0.473881,0.556568
70,1,17,8,3.75e+20,0.0553168,0.0167535,1.4345,14.947,8.06185,241.856,27,18,0.399555,0.346139,0.406497,0.715244,0.698396,0.882618
71,1,17,9,3.75e+20,0.0553168,0.02142,1.1861,12.733,10.0775,302.325,30.2325,24,0.525234,0.476014,0.590019,0.722626,0.69167,0.806921
72,1,17,10,3.75e+20,0.0553168,0.0273861,0.9975,10.136,12.7183,381.551,38.155,24,0.64425,0.601859,0.716697,0.80608,0.788891,0.867865
73,1,17,11,3.75e+20,0.0553168,0.0350141,0.8735,7.487,16.232,486.96,48.696,30,0.766181,0.728798,0.859299,0.894649,0.871031,0.85127
74,1,17,12,3.75e+20,0.0553168,0.0447667,0.7685,5.334,20.6357,619.069,61.907,36,0.861768,0.828607,0.936367,0.948539,0.933276,0.953203
75,1,17,13,3.75e+20,0.0553168,0.0572357,0.6822,3.86,25.8695,776.085,77.6085,42,0.924311,0.896163,0.975849,0.982477,0.97677,0.98408
76,1,17,14,3.75e+20,0.0553168,0.0731778,0.602,2.805,32.8965,986.895,98.6895,54,0.96304,0.939981,0.995167,0.996267,0.993986,0.997218
77,1,17,15,3.75e+20,0.0553168,0.0935603,0.5321,2.13,41.8041,1254.12,125.412,72,0.983483,0.964811,0.993168,1.00137,1.00243,1.00144
78,1,18,1,3.75e+20,0.0820891,0.003,11.0493,28.103,4.58831,137.649,27,18,0.126006,0.098804,0.148206,0.230966,0.213497,0.354413
79,1,18,2,3.75e+20,0.0820891,0.0038356,8.1297,28.036,4.42235,132.671,27,18,0.142548,0.111775,0.164778,0.243298,0.220074,0.289908
80,1,18,3,3.75e+20,0.0820891,0.00490394,6.0475,27.794,4.44704,133.412,27,18,0.162102,0.128681,0.185584,0.291232,0.267645,0.345448
81,1,18,4,3.75e+20,0.0820891,0.00626986,4.6792,27.363,4.67469,140.24,27,18,0.174579,0.140009,0.198439,0.372861,0.355245,0.61753
82,1,18,5,3.75e+20,0.0820891,0.00801622,3.6569,26.625,5.1425,154.275,27,18,0.177316,0.141108,0.19822,0.363197,0.345384,0.537708
83,1,18,6,3.75e+20,0.0820891,0.010249,2.9103,25.494,5.87173,176.152,27,18,0.173859,0.133101,0.190934,0.414267,0.395934,0.655792
84,1,18,7,3.75e+20,0.0820891,0.0131037,2.3276,23.74,6.95769,208.731,27,18,0.300922,0.262905,0.334744,0.454705,0.428371,0.529883
85,1,18,8,3.75e+20,0.0820891,0.0167535,1.8859,21.279,8.43408,253.023,27,18,0.327801,0.284818,0.336846,0.600532,0.582994,0.97988
86,1,18,9,3.75e+20,0.0820891,0.02142,1.5389,18.034,10.4243,312.73,31.273,24,0.455015,0.41549,0.51848,0.643009,0.615798,0.746438
87,1,18,10,3.75e+20,0.0820891,0.0273861,1.2672,14.275,13.0285,390.854,39.0854,24,0.570583,0.535419,0.649765,0.754007,0.740703,0.922771
88,1,18,11,3.75e+20,0.0820891,0.0350141,1.0825,10.656,16.286,488.58,48.858,30,0.691564,0.658535,0.792734,0.82916,0.805528,0.819692
89,1,18,12,3.75e+20,0.0820891,0.0447667,0.9491,7.468,20.6657,619.97,61.997,36,0.804069,0.772886,0.886747,0.91054,0.89443,0.94061
