# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r250.cfg.00.tempers.fits
# ABOUT CENTRAL POSITION (X1,Y1): 48,48 (PIXELS)
# TOTAL VALUE:  8.4251338E+04
# TOTAL STDEV:  8.6351568E+01
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  1.1759085E+01  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  1.1767628E+01  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  1.1808998E+01  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  1.1833202E+01  1.0000000E-33 -1.0000000E-33
    5   1.2000000E+01  0.0000000E+00  1.1858807E+01  3.7916710E-03 -5.0498731E-03
    6   1.5000000E+01  0.0000000E+00  1.1890778E+01  9.6889758E-03 -5.0630003E-03
    7   1.8000000E+01  0.0000000E+00  1.1918028E+01  3.8745703E-03 -7.5133374E-03
    8   2.1000000E+01  0.0000000E+00  1.1938471E+01  5.0435517E-03 -1.1118220E-02
    9   2.4000000E+01  0.0000000E+00  1.1956073E+01  4.2867097E-03 -1.1118220E-02
   10   2.7000000E+01  0.0000000E+00  1.1968804E+01  2.8374045E-03 -1.1032833E-02
   11   3.0000000E+01  0.0000000E+00  1.1978327E+01  2.4393797E-03 -9.0361180E-03
   12   3.3000000E+01  0.0000000E+00  1.1985675E+01  1.3151369E-03 -7.5483965E-03
   13   3.6000000E+01  0.0000000E+00  1.1991307E+01  1.3974496E-03 -6.4346626E-03
   14   3.9000000E+01  0.0000000E+00  1.1996212E+01  1.2459653E-03 -5.3985497E-03
   15   4.2000000E+01  0.0000000E+00  1.1999915E+01  8.5639478E-04 -5.1097350E-03
   16   4.5000000E+01  0.0000000E+00  1.2002624E+01  6.9055855E-04 -4.1644941E-03
   17   4.8000000E+01  0.0000000E+00  1.2004825E+01  4.8339566E-04 -3.2716752E-03
   18   5.1000000E+01  0.0000000E+00  1.2006571E+01  4.6096206E-04 -2.8415455E-03
   19   5.4000000E+01  0.0000000E+00  1.2007983E+01  3.3963207E-04 -2.3988632E-03
   20   5.7000000E+01  0.0000000E+00  1.2008966E+01  2.1726145E-04 -2.0577016E-03
   21   6.0000000E+01  0.0000000E+00  1.2009570E+01  1.2727217E-04 -1.5130269E-03
   22   6.3000000E+01  0.0000000E+00  1.2009880E+01  4.0393051E-05 -9.8009351E-04
   23   6.6000000E+01  0.0000000E+00  1.2009852E+01  5.1196571E-05 -5.2910398E-04
   24   6.9000000E+01  0.0000000E+00  1.2009528E+01  1.2347723E-04  4.8677418E-05
   25   7.2000000E+01  0.0000000E+00  1.2008922E+01  1.9910365E-04  6.0821240E-04
   26   7.5000000E+01  0.0000000E+00  1.2008068E+01  2.6958194E-04  1.1856170E-03
   27   7.8000000E+01  0.0000000E+00  1.2007081E+01  2.8365904E-04  1.7407846E-03
   28   8.1000000E+01  0.0000000E+00  1.2006187E+01  2.1830980E-04  1.9747268E-03
   29   8.4000000E+01  0.0000000E+00  1.2005482E+01  1.6068175E-04  1.9747268E-03
   30   8.7000000E+01  0.0000000E+00  1.2004951E+01  1.2199194E-04  1.9747268E-03
   31   9.0000000E+01  0.0000000E+00  1.2004622E+01  6.2095253E-05  1.6137398E-03
   32   9.3000000E+01  0.0000000E+00  1.2004472E+01  2.3642808E-05  1.2599508E-03
   33   9.6000000E+01  0.0000000E+00  1.2004437E+01  4.5576712E-06  8.0775695E-04
   34   9.9000000E+01  0.0000000E+00  1.2004464E+01  1.4984621E-05  3.8176762E-04
   35   1.0200000E+02  0.0000000E+00  1.2004525E+01  2.1039559E-05  9.2482424E-05
   36   1.0500000E+02  0.0000000E+00  1.2004597E+01  2.0380534E-05 -7.2921163E-05
   37   1.0800000E+02  0.0000000E+00  1.2004675E+01  2.3536852E-05 -1.7175859E-04
   38   1.1100000E+02  0.0000000E+00  1.2004759E+01  2.3256100E-05 -2.0601269E-04
   39   1.1400000E+02  0.0000000E+00  1.2004848E+01  2.7876488E-05 -2.2982091E-04
   40   1.1700000E+02  0.0000000E+00  1.2004940E+01  2.7481157E-05 -2.5466440E-04
   41   1.2000000E+02  0.0000000E+00  1.2005030E+01  2.4093277E-05 -2.7886827E-04
   42   1.2300000E+02  0.0000000E+00  1.2005123E+01  2.8215726E-05 -2.9607454E-04
   43   1.2600000E+02  0.0000000E+00  1.2005219E+01  2.8499912E-05 -2.9664267E-04
   44   1.2900000E+02  0.0000000E+00  1.2005310E+01  3.7204004E-05 -3.1355844E-04
   45   1.3200000E+02  0.0000000E+00  1.2005380E+01  6.9016787E-05 -3.1355844E-04
   46   1.3500000E+02  0.0000000E+00  1.2005419E+01  1.3543236E-04 -2.5660393E-04
   47   1.3800000E+02  0.0000000E+00  9.3000764E+00  5.0249427E+00 -1.4387719E-04
