# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: nc.surfdens.r13p5x0.rs3p0as.fits
# ABOUT CENTRAL POSITION (X1,Y1): 38,38 (PIXELS)
# TOTAL VALUE:  1.3297256E+25
# TOTAL STDEV:  3.7352827E+20
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  3.6517010E+21  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  3.6442928E+21  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  3.6024110E+21  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  3.5691103E+21  1.0000000E-33  1.6676084E-02
    5   1.2000000E+01  0.0000000E+00  3.5241023E+21  7.2070281E+18  2.2904575E-02
    6   1.5000000E+01  0.0000000E+00  3.4448075E+21  2.8159278E+19  4.4113358E-02
    7   1.8000000E+01  0.0000000E+00  3.3482497E+21  1.7095396E+19  1.0198689E-01
    8   2.1000000E+01  0.0000000E+00  3.2502635E+21  2.7323394E+19  1.5593491E-01
    9   2.4000000E+01  0.0000000E+00  3.1508135E+21  2.5147418E+19  1.9267940E-01
   10   2.7000000E+01  0.0000000E+00  3.0774345E+21  1.4866939E+19  2.0006602E-01
   11   3.0000000E+01  0.0000000E+00  3.0332044E+21  9.7080630E+18  2.0006602E-01
   12   3.3000000E+01  0.0000000E+00  3.0099451E+21  3.0448984E+18  2.0006602E-01
   13   3.6000000E+01  0.0000000E+00  3.0003156E+21  1.5520990E+18  1.3740118E-01
   14   3.9000000E+01  0.0000000E+00  2.9964842E+21  6.0725223E+17  8.0765769E-02
   15   4.2000000E+01  0.0000000E+00  2.9950721E+21  2.4752271E+17  3.6826894E-02
   16   4.5000000E+01  0.0000000E+00  2.9942753E+21  2.0617272E+17  1.5964108E-02
   17   4.8000000E+01  0.0000000E+00  2.9935335E+21  1.9068245E+17  6.3601440E-03
   18   5.1000000E+01  0.0000000E+00  2.9927449E+21  2.4279063E+17  4.3459966E-03
   19   5.4000000E+01  0.0000000E+00  2.9918608E+21  2.5570339E+17  4.3459966E-03
   20   5.7000000E+01  0.0000000E+00  2.9909636E+21  2.5317306E+17  5.1694797E-03
   21   6.0000000E+01  0.0000000E+00  2.9900639E+21  2.5463646E+17  5.5471781E-03
   22   6.3000000E+01  0.0000000E+00  2.9890458E+21  3.1111541E+17  5.8649006E-03
   23   6.6000000E+01  0.0000000E+00  2.9880189E+21  2.9089289E+17  6.9801595E-03
   24   6.9000000E+01  0.0000000E+00  2.9869858E+21  2.8141184E+17  7.3867099E-03
   25   7.2000000E+01  0.0000000E+00  2.9858930E+21  3.0750622E+17  7.7792244E-03
   26   7.5000000E+01  0.0000000E+00  2.9846944E+21  3.5887038E+17  8.5980640E-03
   27   7.8000000E+01  0.0000000E+00  2.9834026E+21  3.8505278E+17  9.8350044E-03
   28   8.1000000E+01  0.0000000E+00  2.9821452E+21  3.4839424E+17  1.1037996E-02
   29   8.4000000E+01  0.0000000E+00  2.9808981E+21  3.4112892E+17  1.1169844E-02
   30   8.7000000E+01  0.0000000E+00  2.9795463E+21  4.0595833E+17  1.1500927E-02
   31   9.0000000E+01  0.0000000E+00  2.9781331E+21  3.9860869E+17  1.2925917E-02
   32   9.3000000E+01  0.0000000E+00  2.9766359E+21  4.4656011E+17  1.3994252E-02
   33   9.6000000E+01  0.0000000E+00  2.9751187E+21  4.3084524E+17  1.5335216E-02
   34   9.9000000E+01  0.0000000E+00  2.9735738E+21  4.5493547E+17  1.6058154E-02
   35   1.0200000E+02  0.0000000E+00  2.9719496E+21  5.0372394E+17  1.6879835E-02
   36   1.0500000E+02  0.0000000E+00  2.9703172E+21  4.4388472E+17  1.8302051E-02
   37   1.0800000E+02  0.0000000E+00  2.9686572E+21  4.9016506E+17  1.8953617E-02
