# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: hi.surface.density.r13p5.fits
# ABOUT CENTRAL POSITION (X1,Y1): 182,182 (PIXELS)
# TOTAL VALUE:  5.0016959E+26
# TOTAL STDEV:  1.4573746E+23
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  1.1638575E+22  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  1.1576077E+22  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  1.1303336E+22  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  1.1102650E+22  1.0000000E-33  3.4397776E-02
    5   1.2000000E+01  0.0000000E+00  1.0858194E+22  3.6677222E+19  4.4181576E-02
    6   1.5000000E+01  0.0000000E+00  1.0480795E+22  1.2565622E+20  7.7390155E-02
    7   1.8000000E+01  0.0000000E+00  1.0088726E+22  6.6141129E+19  1.5853236E-01
    8   2.1000000E+01  0.0000000E+00  9.7153749E+21  1.0598452E+20  2.0911434E-01
    9   2.4000000E+01  0.0000000E+00  9.3115855E+21  1.1367084E+20  2.4462330E-01
   10   2.7000000E+01  0.0000000E+00  8.9364625E+21  9.4843099E+19  3.1790496E-01
   11   3.0000000E+01  0.0000000E+00  8.5942620E+21  9.7960471E+19  3.4911274E-01
   12   3.3000000E+01  0.0000000E+00  8.2762087E+21  6.4777777E+19  3.7058528E-01
   13   3.6000000E+01  0.0000000E+00  7.9810806E+21  7.9847618E+19  3.9565332E-01
   14   3.9000000E+01  0.0000000E+00  7.6852097E+21  8.3433201E+19  4.1731509E-01
   15   4.2000000E+01  0.0000000E+00  7.4259168E+21  6.5048007E+19  4.6312860E-01
   16   4.5000000E+01  0.0000000E+00  7.2111260E+21  5.8011465E+19  4.6312860E-01
   17   4.8000000E+01  0.0000000E+00  7.0180574E+21  4.6833289E+19  4.6312860E-01
   18   5.1000000E+01  0.0000000E+00  6.8410018E+21  5.0655858E+19  4.2542124E-01
   19   5.4000000E+01  0.0000000E+00  6.6736602E+21  4.5108675E+19  4.2542124E-01
   20   5.7000000E+01  0.0000000E+00  6.5305644E+21  3.7497902E+19  4.2148356E-01
   21   6.0000000E+01  0.0000000E+00  6.4083023E+21  3.2249559E+19  4.2148356E-01
   22   6.3000000E+01  0.0000000E+00  6.2896072E+21  3.3642946E+19  4.0089161E-01
   23   6.6000000E+01  0.0000000E+00  6.1866282E+21  2.7722906E+19  3.8318702E-01
   24   6.9000000E+01  0.0000000E+00  6.0963198E+21  2.3353010E+19  3.6844944E-01
   25   7.2000000E+01  0.0000000E+00  6.0128390E+21  2.2144194E+19  3.5486668E-01
   26   7.5000000E+01  0.0000000E+00  5.9326040E+21  2.2546620E+19  3.3080670E-01
   27   7.8000000E+01  0.0000000E+00  5.8573513E+21  2.1164214E+19  3.2908178E-01
   28   8.1000000E+01  0.0000000E+00  5.7931299E+21  1.7022122E+19  3.2548451E-01
   29   8.4000000E+01  0.0000000E+00  5.7368350E+21  1.4738564E+19  3.2548451E-01
   30   8.7000000E+01  0.0000000E+00  5.6828551E+21  1.5434916E+19  2.9212258E-01
   31   9.0000000E+01  0.0000000E+00  5.6325828E+21  1.3529621E+19  2.6940890E-01
   32   9.3000000E+01  0.0000000E+00  5.5854700E+21  1.3406622E+19  2.6850893E-01
   33   9.6000000E+01  0.0000000E+00  5.5429216E+21  1.1570289E+19  2.6210191E-01
   34   9.9000000E+01  0.0000000E+00  5.5042329E+21  1.0862826E+19  2.5616193E-01
   35   1.0200000E+02  0.0000000E+00  5.4675350E+21  1.0914151E+19  2.4085606E-01
   36   1.0500000E+02  0.0000000E+00  5.4340754E+21  8.8512528E+18  2.2762241E-01
   37   1.0800000E+02  0.0000000E+00  5.4030454E+21  8.8385316E+18  2.2408266E-01
   38   1.1100000E+02  0.0000000E+00  5.3737804E+21  7.8687927E+18  2.1176272E-01
   39   1.1400000E+02  0.0000000E+00  5.3455979E+21  8.1774844E+18  2.0328229E-01
   40   1.1700000E+02  0.0000000E+00  5.3197270E+21  7.2665148E+18  1.9822324E-01
   41   1.2000000E+02  0.0000000E+00  5.2969109E+21  6.0556429E+18  1.9717241E-01
   42   1.2300000E+02  0.0000000E+00  5.2746981E+21  6.4999336E+18  1.8676886E-01
   43   1.2600000E+02  0.0000000E+00  5.2529620E+21  6.0516898E+18  1.7135988E-01
   44   1.2900000E+02  0.0000000E+00  5.2319531E+21  6.2160554E+18  1.7030900E-01
   45   1.3200000E+02  0.0000000E+00  5.2122763E+21  5.4821049E+18  1.7030900E-01
   46   1.3500000E+02  0.0000000E+00  5.1946103E+21  4.8276738E+18  1.7030900E-01
   47   1.3800000E+02  0.0000000E+00  5.1781337E+21  4.7614668E+18  1.6389984E-01
   48   1.4100000E+02  0.0000000E+00  5.1625788E+21  4.2875068E+18  1.5107413E-01
   49   1.4400000E+02  0.0000000E+00  5.1477364E+21  4.2175967E+18  1.4454324E-01
   50   1.4700000E+02  0.0000000E+00  5.1335971E+21  3.9695795E+18  1.3988827E-01
   51   1.5000000E+02  0.0000000E+00  5.1189773E+21  4.4871375E+18  1.3988827E-01
   52   1.5300000E+02  0.0000000E+00  5.1045709E+21  4.1393090E+18  1.4116568E-01
   53   1.5600000E+02  0.0000000E+00  5.0914001E+21  3.6198495E+18  1.4116568E-01
   54   1.5900000E+02  0.0000000E+00  5.0789181E+21  3.5420677E+18  1.4116568E-01
   55   1.6200000E+02  0.0000000E+00  5.0674278E+21  2.9638543E+18  1.3304790E-01
   56   1.6500000E+02  0.0000000E+00  5.0564877E+21  3.2040970E+18  1.2886268E-01
   57   1.6800000E+02  0.0000000E+00  5.0464757E+21  2.7064851E+18  1.2116909E-01
   58   1.7100000E+02  0.0000000E+00  5.0373299E+21  2.6035553E+18  1.1778465E-01
   59   1.7400000E+02  0.0000000E+00  5.0285519E+21  2.5862684E+18  1.0999759E-01
   60   1.7700000E+02  0.0000000E+00  5.0194485E+21  2.6632460E+18  1.0599824E-01
