! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 333 nodes measured, 0 not measured, 2503144 pixels
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    21.125     23.30    0.0100       1308    1.0237    1.0376    1.0376
    21.125     23.30    0.0350         32    1.0237    1.0376    1.0376
    21.125     23.50   -0.0100       2136    1.0237    1.0237    1.0237
    21.125     23.50    0.0100        456    1.0237    1.0237    1.0237
    21.125     23.70   -0.0100        120    1.0237    1.0237    1.0237
    21.175     20.90    0.0100         20    0.9697    0.9829    0.9963
    21.175     21.10    0.1500         24    1.8332    1.9093    4.7334
    21.175     21.30   -0.0750        172    0.9566    0.9697    0.9697
    21.175     21.30   -0.0350        612    0.9697    0.9829    0.9829
    21.175     21.30   -0.0100        184    0.9566    0.9963    1.0099
    21.175     21.30    0.0100         92    0.9566    0.9829    0.9963
    21.175     21.50   -0.0750        284    0.9829    0.9829    0.9963
    21.175     21.50   -0.0350       2180    0.9963    0.9963    1.0099
    21.175     21.50   -0.0100      35940    1.0237    1.0237    1.0237
    21.175     21.50    0.0100      76684    1.0237    1.0237    1.0237
    21.175     21.50    0.0350         24    1.0518    1.0807    1.1104
    21.175     21.50    0.0750         33    1.2209    1.3423    1.3792
    21.175     21.70   -0.0350       1536    1.0099    1.0237    1.0237
    21.175     21.70   -0.0100      96172    1.0237    1.0237    1.0237
    21.175     21.70    0.0100     171192    1.0237    1.0237    1.0237
    21.175     21.70    0.0750         65    1.0954    1.1409    1.2209
    21.175     21.90   -0.0100         48    1.0099    1.0099    1.0099
    21.175     21.90    0.0100        156    1.0099    1.0099    1.0099
    21.175     21.90    0.0750         40    1.0518    1.0807    1.1255
    21.175     22.10    0.0100         20    1.0237    1.0237    1.0237
    21.175     22.10    0.0750         28    1.0661    1.0661    1.0807
    21.175     22.30   -0.0350        148    1.0099    1.0376    1.0376
    21.175     22.30   -0.0100        148    1.0376    1.0376    1.0376
    21.175     22.30    0.0100         32    0.9963    0.9963    1.0376
    21.175     22.30    0.0350         32    1.0518    1.0518    1.0518
    21.175     22.50   -0.0350         56    1.0237    1.0237    1.0237
    21.175     22.50   -0.0100       2136    1.0376    1.0376    1.0376
    21.175     22.50    0.0100       2721    1.0376    1.0376    1.0376
    21.175     22.50    0.1500         24    1.0518    1.0518    1.0954
    21.175     22.70   -0.0100       4164    1.0237    1.0237    1.0376
    21.175     22.70    0.0100       2712    1.0237    1.0376    1.0376
