! Date: 15/08/2026  Time: 06:07:29  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! PROFILES OF DENSITIES & TEMPERATURES
!
! Note: radii in this table are cell-centered
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 8.76967398E+00
!
!   N    RADIUS(cm)    RELZONESIZE     RADIUS(au)     RADIUS(pc)     RADIUS(as)    DENS(g/cm^3)  NUMDEN(1/cm^3)   DENSDUST       NUMDENDUST     MASSFRAC      TEMPERATURE
!
    1  4.5460530E+14  1.0180904E+00  3.0388487E+01  1.4732552E-04  1.1687880E-01  1.5012014E-18  3.2287290E+05  1.5012014E-20  3.2287290E+03       Infinity  5.7010999E+00
    2  9.4237196E+14  5.4405699E-01  6.2993675E+01  3.0539775E-04  2.4228336E-01  1.5004797E-18  3.2271767E+05  1.5004797E-20  3.2271767E+03       Infinity  7.9213514E+00
    3  1.4827007E+15  3.8305330E-01  9.9112419E+01  4.8050396E-04  3.8120161E-01  1.4991117E-18  3.2242345E+05  1.4991117E-20  3.2242345E+03       Infinity  8.0615919E+00
    4  2.0812556E+15  3.0229657E-01  1.3912334E+02  6.7447972E-04  5.3508978E-01  1.4968973E-18  3.2194719E+05  1.4968973E-20  3.2194719E+03       Infinity  7.7452056E+00
    5  2.7443111E+15  2.5396345E-01  1.8344587E+02  8.8935845E-04  7.0556104E-01  1.4935885E-18  3.2123554E+05  1.4935885E-20  3.2123554E+03       Infinity  8.0079021E+00
    6  3.4788180E+15  2.2193142E-01  2.3254462E+02  1.1273926E-03  8.9440239E-01  1.4888770E-18  3.2022220E+05  1.4888770E-20  3.2022220E+03       Infinity  7.9623941E+00
    7  4.2924758E+15  1.9924553E-01  2.8693429E+02  1.3910776E-03  1.1035934E+00  1.4824243E-18  3.1883438E+05  1.4824243E-20  3.1883438E+03       Infinity  8.0013197E+00
    8  5.1938139E+15  1.8241308E-01  3.4718502E+02  1.6831773E-03  1.3353270E+00  1.4738920E-18  3.1699929E+05  1.4738920E-20  3.1699929E+03       Infinity  8.0685576E+00
    9  6.1922809E+15  1.6948750E-01  4.1392841E+02  2.0067540E-03  1.5920323E+00  1.4625711E-18  3.1456444E+05  1.4625711E-20  3.1456444E+03       Infinity  7.9652787E+00
   10  7.2983432E+15  1.5929787E-01  4.8786411E+02  2.3651994E-03  1.8764004E+00  1.4479332E-18  3.1141617E+05  1.4479332E-20  3.1141617E+03       Infinity  7.9326552E+00
   11  8.5235956E+15  1.5109753E-01  5.6976717E+02  2.7622712E-03  2.1914122E+00  1.4292681E-18  3.0740174E+05  1.4292681E-20  3.0740174E+03       Infinity  7.9723204E+00
   12  9.8808819E+15  1.4438777E-01  6.6049616E+02  3.2021317E-03  2.5403699E+00  1.4057885E-18  3.0235184E+05  1.4057885E-20  3.0235184E+03       Infinity  7.9303794E+00
   13  1.1384430E+16  1.3882279E-01  7.6100217E+02  3.6893919E-03  2.9269314E+00  1.3766395E-18  2.9608257E+05  1.3766395E-20  2.9608257E+03       Infinity  7.9306435E+00
   14  1.3050002E+16  1.3415517E-01  8.7233876E+02  4.2291595E-03  3.3551491E+00  1.3409263E-18  2.8840151E+05  1.3409263E-20  2.8840151E+03       Infinity  7.9845254E+00
   15  1.4895057E+16  1.3020323E-01  9.9567307E+02  4.8270929E-03  3.8295118E+00  1.2977877E-18  2.7912343E+05  1.2977877E-20  2.7912343E+03       Infinity  8.0155075E+00
   16  1.6938936E+16  1.2683051E-01  1.1322980E+03  5.4894599E-03  4.3549921E+00  1.2464677E-18  2.6808569E+05  1.2464677E-20  2.6808569E+03       Infinity  8.0217035E+00
   17  1.9203065E+16  1.2393251E-01  1.2836456E+03  6.2232041E-03  4.9370986E+00  1.1864287E-18  2.5517274E+05  1.1864287E-20  2.5517274E+03       Infinity  8.0628760E+00
   18  2.1711178E+16  1.2142786E-01  1.4513026E+03  7.0360170E-03  5.5819332E+00  1.1174939E-18  2.4034650E+05  1.1174939E-20  2.4034650E+03       Infinity  8.1186415E+00
   19  2.4489567E+16  1.1925225E-01  1.6370265E+03  7.9364192E-03  6.2962556E+00  1.0399725E-18  2.2367347E+05  1.0399725E-20  2.2367347E+03       Infinity  8.1289073E+00
   20  2.7567357E+16  1.1735416E-01  1.8427640E+03  8.9338493E-03  7.0875539E+00  9.5477619E-19  2.0534976E+05  9.5477619E-21  2.0534976E+03       Infinity  8.1965945E+00
   21  3.0976812E+16  1.1569187E-01  2.0706720E+03  1.0038763E-02  7.9641230E+00  8.6348224E-19  1.8571460E+05  8.6348224E-21  1.8571460E+03       Infinity  8.2573370E+00
   22  3.4753672E+16  1.1423122E-01  2.3231395E+03  1.1262743E-02  8.9351518E+00  7.6829858E-19  1.6524284E+05  7.6829858E-21  1.6524284E+03       Infinity  8.3115333E+00
