! harvest_calib3.py -- the correction factor against the three quantities the reconstruction reports
!
! 334 nodes measured, 0 not measured, 4152706 pixels
! 4152706 pixels in the histogram; pixels outside the range of each axis (below, above):
!   x from   20.0000 to   24.5000: 0 below, 0 above
!   y from    3.0000 to   50.0000: 0 below, 0 above
!   z from   -1.0000 to    1.0000: 0 below, 0 above
!   f from    0.5000 to    8.0428: 0 below, 0 above
! x = log10 of the surface density of the finest image, cm^-2
! y = the temperature fitted at that resolution, K
! z = log10 of the ratio of the finest to the coarsest surface density
! f = the factor that restores the true surface density; f16 and f84 bracket its spread in the cell
!
!        x         y         z     pixels       f16         f       f84
    20.725     22.70   -0.0750        164    0.9647    0.9647    0.9779
    20.725     22.70   -0.0350        556    0.9647    0.9779    0.9912
    20.725     22.70   -0.0100         44    0.9779    0.9912    0.9912
    20.725     22.70    0.0100        112    1.0185    1.0185    1.0185
    20.725     22.90   -0.0100       6768    1.0048    1.0048    1.0048
    20.725     22.90    0.0100      16836    1.0048    1.0048    1.0048
    20.725     23.10   -0.0100      16604    1.0048    1.0048    1.0048
    20.725     23.10    0.0100      25897    1.0048    1.0048    1.0048
    20.775     20.90   -0.1500         20    0.6875    0.6875    0.6875
    20.775     20.90   -0.0750         20    0.6783    0.6875    0.6875
    20.775     21.10   -0.1500         44    0.6875    0.6969    0.7160
    20.775     21.10   -0.0750         20    0.6969    0.6969    0.6969
    20.775     21.10    0.0350         28    1.1047    1.1506    1.5928
    20.775     21.30   -0.6000         36    0.7767    0.7767    0.7980
    20.775     21.70   -0.1500         96    0.8089    0.8774    0.8774
    20.775     21.90   -0.1500        188    0.8656    0.8894    0.9015
    20.775     21.90   -0.0750         60    0.8894    0.8894    0.9015
    20.775     22.10    0.0350         20    0.9779    0.9912    0.9912
    20.775     22.10    0.0750         28    0.9912    0.9912    1.0048
    20.775     22.30   -0.0100         24    0.9389    0.9389    0.9517
    20.775     22.30    0.0750         68    0.9912    0.9912    1.0048
    20.775     22.30    0.1500        112    1.0048    1.0048    1.0048
    20.775     22.50   -0.0350        492    0.9779    0.9912    1.0048
    20.775     22.50   -0.0100        208    1.0185    1.0185    1.0185
    20.775     22.50    0.0100         64    1.0048    1.0048    1.0048
    20.775     22.50    0.1500         36    0.9912    1.0048    1.0048
    20.775     22.70   -0.0350        116    1.0048    1.0048    1.0048
    20.775     22.70   -0.0100       7656    1.0048    1.0048    1.0048
    20.775     22.70    0.0100       6992    1.0048    1.0048    1.0048
    20.775     22.70    0.0350        184    1.0048    1.0048    1.0048
    20.775     22.90   -0.0100       9880    1.0048    1.0048    1.0048
    20.775     22.90    0.0100      12272    1.0048    1.0048    1.0048
    20.825     20.30   -0.0750         20    0.6783    0.6783    0.6875
    20.825     20.50   -0.0750         24    0.6691    0.6783    0.6783
    20.825     20.70   -0.1500         28    0.6969    0.6969    0.7662
    20.825     20.70    0.0750         20    1.4884    1.6815    2.5943
    20.825     20.90   -0.1500         32    0.7767    0.7767    0.7873
    20.825     21.10   -0.1500         28    0.7662    0.7873    0.7873
    20.825     21.30   -0.0750         28    0.8199    0.8199    0.8311
    20.825     21.50   -0.1500         72    0.8894    0.8894    0.9015
    20.825     21.70   -0.1500        116    0.9138    0.9138    0.9263
    20.825     21.70   -0.0750         68    0.9138    0.9263    0.9263
    20.825     21.90    0.0100         36    1.0048    1.0048    1.0048
    20.825     21.90    0.0750        120    0.9912    1.0048    1.0185
    20.825     22.10    0.0100         28    0.9779    0.9779    1.0048
    20.825     22.10    0.0750        116    0.9912    1.0048    1.0048
    20.825     22.10    0.1500         40    1.0048    1.0048    1.0048
    20.825     22.30   -0.0350         56    1.0185    1.0185    1.0185
    20.825     22.30   -0.0100        272    1.0185    1.0185    1.0185
    20.825     22.30    0.0100        296    1.0185    1.0185    1.0185
    20.825     22.50   -0.0350        132    1.0048    1.0048    1.0185
    20.825     22.50   -0.0100       7688    1.0048    1.0048    1.0048
    20.825     22.50    0.0100       6000    1.0048    1.0048    1.0048
    20.825     22.50    0.0350        224    1.0048    1.0048    1.0185
    20.825     22.70   -0.0100       4116    1.0048    1.0048    1.0048
    20.825     22.70    0.0100       7564    1.0048    1.0048    1.0048
    20.825     22.70    0.0350        264    1.0048    1.0048    1.0048
    20.875     20.10   -0.0750         52    0.6875    0.6875    0.7160
    20.875     20.50   -0.1500         44    0.7767    0.7873    0.7980
    20.875     21.30   -0.1500         96    0.9138    0.9263    0.9517
    20.875     21.30   -0.0750         96    0.9389    0.9517    0.9647
    20.875     21.30   -0.0350         52    0.9389    0.9389    0.9517
    20.875     21.30   -0.0100         48    0.9263    0.9389    0.9517
    20.875     21.30    0.0100         28    0.9263    0.9263    0.9647
    20.875     21.50   -0.1500        236    0.9263    0.9389    0.9647
    20.875     21.50   -0.0750       1516    0.9647    0.9779    0.9912
    20.875     21.50   -0.0350       2540    0.9779    0.9779    0.9912
    20.875     21.50   -0.0100       1628    0.9912    0.9912    0.9912
    20.875     21.50    0.0100        140    0.9517    0.9647    0.9912
    20.875     21.50    0.0750         48    1.0464    1.1822    1.3722
    20.875     21.70   -0.0750        728    0.9912    0.9912    0.9912
    20.875     21.70   -0.0350       3784    0.9912    1.0048    1.0048
    20.875     21.70   -0.0100      44888    1.0048    1.0048    1.0048
    20.875     21.70    0.0100      99156    1.0048    1.0048    1.0048
    20.875     21.70    0.0750        100    0.9912    1.0464    1.1047
    20.875     21.90    0.0100        116    0.9912    0.9912    1.0048
    20.875     22.10   -0.0100        324    1.0048    1.0048    1.0185
    20.875     22.10    0.0100        824    1.0185    1.0185    1.0185
    20.875     22.10    0.0350         28    1.0185    1.0185    1.0185
    20.875     22.30   -0.0100       3336    1.0185    1.0185    1.0185
    20.875     22.30    0.0100       9608    1.0185    1.0185    1.0185
    20.875     22.30    0.0350         96    1.0185    1.0185    1.0185
    20.875     22.50   -0.0100       3600    1.0048    1.0048    1.0185
    20.875     22.50    0.0100       1592    1.0185    1.0185    1.0185
    20.925     20.10   -0.1500         24    0.7258    0.7258    0.8089
    20.925     20.30   -0.1500         24    0.7980    0.7980    0.8199
    20.925     20.50   -0.1500         20    0.7873    0.8089    0.8089
    20.925     20.70   -0.0350         32    0.9015    0.9015    0.9138
    20.925     20.90   -0.1500         80    0.8774    0.8894    0.8894
    20.925     20.90   -0.0750        188    0.8540    0.8656    0.9015
