! validate_calib3.py -- the corrections measured on the models
!
! 331 nodes
!
! integrated over the mask, corrected divided by true:
!   uncorrected  median 0.8087, 16th and 84th 0.5745 0.9574
!   hicorrect2   median 1.0620, 16th and 84th 0.9564 1.2850
!   table, column median 1.0136, 16th and 84th 0.9845 1.0732
!   table, column and T median 0.9801, 16th and 84th 0.9080 1.0197
!   table, all three median 0.9765, 16th and 84th 0.9516 1.0113
!   hicorrect3.py median 0.9817, 16th and 84th 0.9547 1.0133
!
! relative residual against the radius from the center of the core, median over the nodes
!   radius    uncorrect   hicorrect2       column     column+T    all three   hicorrect3
       3.0      -0.3899       0.0135      -0.0087      -0.0467      -0.0446      -0.0417
       9.0      -0.3454       0.0380      -0.0035      -0.0375      -0.0355      -0.0319
      15.0      -0.2322       0.0669       0.0126      -0.0197      -0.0172      -0.0128
      21.0      -0.1819       0.1453       0.0399       0.0023      -0.0013      -0.0009
      27.0      -0.1731       0.1260       0.0345       0.0031      -0.0020       0.0013
      33.0      -0.1611       0.1421       0.0286       0.0044      -0.0105      -0.0076
      39.0      -0.1777       0.1501       0.0192      -0.0014      -0.0112      -0.0098
      45.0      -0.1762       0.1271       0.0197      -0.0028      -0.0164      -0.0133
      51.0      -0.1795       0.1228       0.0173      -0.0040      -0.0207      -0.0168
      57.0      -0.1839       0.1310       0.0178      -0.0049      -0.0210      -0.0166
      63.0      -0.1823       0.1359       0.0182      -0.0033      -0.0195      -0.0149
      69.0      -0.1816       0.1220       0.0223      -0.0091      -0.0215      -0.0169
      75.0      -0.1813       0.1213       0.0196      -0.0074      -0.0237      -0.0195
      81.0      -0.1827       0.1323       0.0203      -0.0056      -0.0237      -0.0183
      87.0      -0.1845       0.1356       0.0190      -0.0048      -0.0238      -0.0184
      93.0      -0.1814       0.1251       0.0197      -0.0019      -0.0227      -0.0182
      99.0      -0.1826       0.1265       0.0205      -0.0016      -0.0236      -0.0195
     105.0      -0.1848       0.1340       0.0186      -0.0030      -0.0217      -0.0193
     111.0      -0.1867       0.1400       0.0153      -0.0027      -0.0246      -0.0211
     117.0      -0.1861       0.1377       0.0137      -0.0040      -0.0236      -0.0201
     123.0      -0.2388       0.1450       0.0162      -0.0040      -0.0237      -0.0205
     129.0      -0.1875       0.1394       0.0172      -0.0041      -0.0259      -0.0218
     135.0      -0.2907       0.1552       0.0189      -0.0032      -0.0264      -0.0219
     141.0      -0.2981       0.1869       0.0184      -0.0018      -0.0262      -0.0213
     147.0      -0.2939       0.1794       0.0162      -0.0004      -0.0270      -0.0225
     153.0      -0.1858       0.1333       0.0193      -0.0049      -0.0261      -0.0234
     159.0      -0.2936       0.1950       0.0198      -0.0036      -0.0288      -0.0232
     165.0      -0.2955       0.1956       0.0199      -0.0048      -0.0303      -0.0226
     171.0      -0.2370       0.1450       0.0210      -0.0040      -0.0312      -0.0235
     177.0      -0.1847       0.1283       0.0212       0.0005      -0.0309      -0.0236
     183.0      -0.1846       0.1270       0.0210       0.0005      -0.0285      -0.0233
     189.0      -0.1842       0.1262       0.0210       0.0005      -0.0261      -0.0235
     195.0      -0.1840       0.1254       0.0220       0.0005      -0.0260      -0.0241
     201.0      -0.1840       0.1243       0.0235       0.0004      -0.0256      -0.0236
     207.0      -0.1838       0.1235       0.0243       0.0004      -0.0245      -0.0203
     213.0      -0.1835       0.1230       0.0189      -0.0025      -0.0234      -0.0143
     219.0      -0.1834       0.1222       0.0181      -0.0012      -0.0231      -0.0199
     225.0      -0.2912       0.1786       0.0218      -0.0020      -0.0239      -0.0229
     231.0      -0.2950       0.1982       0.0209      -0.0007      -0.0252      -0.0209
