# Lookup table for correcting hires column density.  One row per pixel.
# A pixel of a real map is corrected by finding the rows whose observables
# (columns 2 to 6) most resemble its own and reading off C_N.
#
# 20283 rows from 6 models
#
#  1 C_N       -      true column / hires column: the answer
#  2 N_HIRES   cm^-2  final hires column of the pixel
#  3 RES_N     -      column at 18.2" / column at 36.3"
#  4 RES_T     K      temperature at 18.2" - at 36.3"
#  5 SHP_N     -      column from 350-500 / from all bands
#  6 SHP_T     K      the corresponding difference
#  7 CONTRAST  -      hires column / cloud level of the stamp
#  8 IN_CORE   -      1 if inside a true footprint mask
#  9 NODE      -      model the pixel came from
#
#        C_N        N_HIRES       RES_N       RES_T       SHP_N       SHP_T    CONTRAST  IN_CORE  NODE
   1.0425029   2.670137e+21   1.1026507    0.787993   1.0744977   -0.426569     0.44502        1  i05j10k01
   1.0084171   2.358285e+21   1.0564103    0.870604   1.0730600   -0.422135     0.39305        1  i05j10k01
   0.9799642   1.961925e+21   0.9903927    0.954720   1.0716251   -0.417914     0.32699        1  i05j10k01
   0.9645737   1.500749e+21   0.9018836    1.038507   1.0694824   -0.409706     0.25012        1  i05j10k01
   0.9645737   1.500749e+21   0.9018836    1.038507   1.0694824   -0.409706     0.25012        1  i05j10k01
   0.9820524   2.018673e+21   1.0002792    0.943079   1.0722300   -0.420859     0.33645        1  i05j10k01
   1.0176577   2.460695e+21   1.0725455    0.844355   1.0744614   -0.428941     0.41012        1  i05j10k01
   1.0620736   2.797435e+21   1.1205794    0.745950   1.0760061   -0.433212     0.46624        1  i05j10k01
   1.1075250   3.037651e+21   1.1493374    0.651243   1.0775377   -0.437612     0.50628        1  i05j10k01
   1.1504864   3.199338e+21   1.1640780    0.565062   1.0792552   -0.443332     0.53322        1  i05j10k01
   1.1867876   3.307658e+21   1.1695677    0.491593   1.0807379   -0.448175     0.55128        1  i05j10k01
   1.2145908   3.380571e+21   1.1699204    0.433200   1.0817455   -0.450987     0.56343        1  i05j10k01
   1.2348972   3.425132e+21   1.1682203    0.391068   1.0823616   -0.452353     0.57086        1  i05j10k01
   1.2473422   3.448949e+21   1.1664564    0.365784   1.0828134   -0.453576     0.57482        1  i05j10k01
   1.2503101   3.459826e+21   1.1657451    0.357385   1.0829973   -0.454154     0.57664        1  i05j10k01
   1.2473422   3.448949e+21   1.1664564    0.365784   1.0828134   -0.453576     0.57482        1  i05j10k01
   1.2348972   3.425132e+21   1.1682203    0.391068   1.0823616   -0.452353     0.57086        1  i05j10k01
