! validate_calib3.py -- the corrections measured on the models
!
! 331 nodes
!
! integrated over the mask, corrected divided by true:
!   uncorrected  median 0.8087, 16th and 84th 0.5745 0.9574
!   hicorrect2   median 1.0620, 16th and 84th 0.9564 1.2850
!   table, column median 1.0137, 16th and 84th 0.9889 1.0717
!   table, column and T median 0.9848, 16th and 84th 0.9398 1.0185
!   table, all three median 0.9939, 16th and 84th 0.9639 1.0140
!   hicorrect3.py median 0.9934, 16th and 84th 0.9630 1.0139
!
! relative residual against the radius from the center of the core, median over the nodes
!   radius    uncorrect   hicorrect2       column     column+T    all three   hicorrect3
       3.0      -0.3899       0.0135      -0.0092      -0.0437      -0.0373      -0.0394
       9.0      -0.3454       0.0380      -0.0011      -0.0340      -0.0300      -0.0304
      15.0      -0.2322       0.0669       0.0124      -0.0150      -0.0080      -0.0087
      21.0      -0.1819       0.1453       0.0385       0.0055       0.0085       0.0081
      27.0      -0.1731       0.1260       0.0338       0.0052       0.0082       0.0083
      33.0      -0.1611       0.1421       0.0296       0.0064       0.0071       0.0041
      39.0      -0.1777       0.1501       0.0182       0.0016       0.0008       0.0007
      45.0      -0.1762       0.1271       0.0182      -0.0012      -0.0035      -0.0035
      51.0      -0.1795       0.1228       0.0164      -0.0080      -0.0067      -0.0064
      57.0      -0.1839       0.1310       0.0167      -0.0085      -0.0077      -0.0072
      63.0      -0.1823       0.1359       0.0184      -0.0070      -0.0067      -0.0066
      69.0      -0.1816       0.1220       0.0201      -0.0078      -0.0088      -0.0080
      75.0      -0.1813       0.1213       0.0196      -0.0097      -0.0086      -0.0073
      81.0      -0.1827       0.1323       0.0208      -0.0099      -0.0090      -0.0087
      87.0      -0.1845       0.1356       0.0192      -0.0105      -0.0078      -0.0076
      93.0      -0.1814       0.1251       0.0210      -0.0097      -0.0077      -0.0069
      99.0      -0.1826       0.1265       0.0204      -0.0095      -0.0064      -0.0061
     105.0      -0.1848       0.1340       0.0195      -0.0098      -0.0067      -0.0067
     111.0      -0.1867       0.1400       0.0173      -0.0102      -0.0061      -0.0053
     117.0      -0.1861       0.1377       0.0164      -0.0095      -0.0062      -0.0058
     123.0      -0.2388       0.1450       0.0164      -0.0096      -0.0074      -0.0065
     129.0      -0.1875       0.1394       0.0169      -0.0099      -0.0054      -0.0057
     135.0      -0.2907       0.1552       0.0186      -0.0091      -0.0047      -0.0047
     141.0      -0.2981       0.1869       0.0181      -0.0100      -0.0063      -0.0060
     147.0      -0.2939       0.1794       0.0172      -0.0096      -0.0057      -0.0051
     153.0      -0.1858       0.1333       0.0194      -0.0086      -0.0068      -0.0068
     159.0      -0.2936       0.1950       0.0218      -0.0091      -0.0087      -0.0079
     165.0      -0.2955       0.1956       0.0204      -0.0098      -0.0075      -0.0074
     171.0      -0.2370       0.1450       0.0211      -0.0101      -0.0084      -0.0082
     177.0      -0.1847       0.1283       0.0218      -0.0095      -0.0080      -0.0077
     183.0      -0.1846       0.1270       0.0212      -0.0109      -0.0072      -0.0067
     189.0      -0.1842       0.1262       0.0204      -0.0109      -0.0072      -0.0071
     195.0      -0.1840       0.1254       0.0227      -0.0120      -0.0059      -0.0059
     201.0      -0.1840       0.1243       0.0228      -0.0107      -0.0019      -0.0019
     207.0      -0.1838       0.1235       0.0229      -0.0103       0.0011       0.0002
     213.0      -0.1835       0.1230       0.0190      -0.0105       0.0010       0.0005
     219.0      -0.1834       0.1222       0.0187      -0.0097      -0.0007      -0.0008
     225.0      -0.2912       0.1786       0.0203      -0.0094      -0.0001      -0.0019
     231.0      -0.2950       0.1982       0.0204      -0.0084      -0.0010      -0.0023
