# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r500.cfg.02.tempers.fits
# ABOUT CENTRAL POSITION (X1,Y1): 48,48 (PIXELS)
# TOTAL VALUE:  7.7022545E+04
# TOTAL STDEV:  7.8967773E+01
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  1.0786925E+01  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  1.0789584E+01  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  1.0803730E+01  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  1.0813151E+01  1.0000000E-33 -1.0000000E-33
    5   1.2000000E+01  0.0000000E+00  1.0824506E+01  1.8087327E-03 -1.8902926E-03
    6   1.5000000E+01  0.0000000E+00  1.0841485E+01  5.6328362E-03 -2.1497926E-03
    7   1.8000000E+01  0.0000000E+00  1.0859034E+01  2.8287390E-03 -3.6481523E-03
    8   2.1000000E+01  0.0000000E+00  1.0875544E+01  4.5264089E-03 -7.0241747E-03
    9   2.4000000E+01  0.0000000E+00  1.0892972E+01  4.7349660E-03 -8.8706071E-03
   10   2.7000000E+01  0.0000000E+00  1.0908241E+01  3.7720374E-03 -9.8560535E-03
   11   3.0000000E+01  0.0000000E+00  1.0921666E+01  3.7063015E-03 -1.1673930E-02
   12   3.3000000E+01  0.0000000E+00  1.0933474E+01  2.2389981E-03 -1.1673930E-02
   13   3.6000000E+01  0.0000000E+00  1.0943485E+01  2.5869058E-03 -1.1337443E-02
   14   3.9000000E+01  0.0000000E+00  1.0952836E+01  2.4407412E-03 -1.0671160E-02
   15   4.2000000E+01  0.0000000E+00  1.0960212E+01  1.7245984E-03 -1.0517426E-02
   16   4.5000000E+01  0.0000000E+00  1.0965710E+01  1.4036563E-03 -9.0843289E-03
   17   4.8000000E+01  0.0000000E+00  1.0970196E+01  9.7702459E-04 -7.2682924E-03
   18   5.1000000E+01  0.0000000E+00  1.0973723E+01  9.2544769E-04 -6.3378275E-03
   19   5.4000000E+01  0.0000000E+00  1.0976556E+01  6.8002347E-04 -5.3032794E-03
   20   5.7000000E+01  0.0000000E+00  1.0978540E+01  4.4633464E-04 -4.5145239E-03
   21   6.0000000E+01  0.0000000E+00  1.0979834E+01  2.9268800E-04 -3.3440397E-03
   22   6.3000000E+01  0.0000000E+00  1.0980718E+01  1.8925357E-04 -2.2966738E-03
   23   6.6000000E+01  0.0000000E+00  1.0981156E+01  7.4978080E-05 -1.6498484E-03
   24   6.9000000E+01  0.0000000E+00  1.0981269E+01  1.2026120E-05 -8.5899986E-04
   25   7.2000000E+01  0.0000000E+00  1.0981143E+01  6.2242651E-05 -2.3017183E-04
   26   7.5000000E+01  0.0000000E+00  1.0980825E+01  1.1354266E-04  2.6873996E-04
   27   7.8000000E+01  0.0000000E+00  1.0980372E+01  1.4263808E-04  7.0885618E-04
   28   8.1000000E+01  0.0000000E+00  1.0979886E+01  1.3131552E-04  1.0522158E-03
   29   8.4000000E+01  0.0000000E+00  1.0979419E+01  1.2253681E-04  1.1679310E-03
   30   8.7000000E+01  0.0000000E+00  1.0978960E+01  1.2775922E-04  1.1742289E-03
   31   9.0000000E+01  0.0000000E+00  1.0978550E+01  1.0218506E-04  1.1742289E-03
   32   9.3000000E+01  0.0000000E+00  1.0978214E+01  8.5793114E-05  1.1679310E-03
   33   9.6000000E+01  0.0000000E+00  1.0977965E+01  5.6693178E-05  1.1022859E-03
   34   9.9000000E+01  0.0000000E+00  1.0977798E+01  3.4873564E-05  9.3344349E-04
   35   1.0200000E+02  0.0000000E+00  1.0977708E+01  1.7537128E-05  7.1544964E-04
   36   1.0500000E+02  0.0000000E+00  1.0977678E+01  5.5639264E-06  4.9230065E-04
   37   1.0800000E+02  0.0000000E+00  1.0977701E+01  1.6027673E-05  2.7703573E-04
   38   1.1100000E+02  0.0000000E+00  1.0977762E+01  2.4701858E-05  9.2734038E-05
   39   1.1400000E+02  0.0000000E+00  1.0977858E+01  3.8663941E-05 -7.4185567E-05
   40   1.1700000E+02  0.0000000E+00  1.0977973E+01  4.7413091E-05 -2.0326870E-04
   41   1.2000000E+02  0.0000000E+00  1.0978093E+01  5.3045446E-05 -3.2853795E-04
   42   1.2300000E+02  0.0000000E+00  1.0978227E+01  6.8068834E-05 -4.0159126E-04
   43   1.2600000E+02  0.0000000E+00  1.0978363E+01  8.4425357E-05 -4.3041961E-04
   44   1.2900000E+02  0.0000000E+00  1.0978506E+01  1.1244731E-04 -4.9473618E-04
   45   1.3200000E+02  0.0000000E+00  1.0978633E+01  1.4228165E-04 -5.0420658E-04
   46   1.3500000E+02  0.0000000E+00  1.0978754E+01  1.8043252E-04 -5.0420658E-04
   47   1.3800000E+02  0.0000000E+00  8.5048400E+00  4.5952670E+00 -4.9015513E-04
