! validate_calib3.py -- the corrections measured on the models
!
! 334 nodes
!
! integrated over the mask, corrected divided by true:
!   uncorrected  median 0.7664, 16th and 84th 0.5281 0.9419
!   hicorrect2   median 1.0127, 16th and 84th 0.9124 1.1607
!   table, column median 1.0022, 16th and 84th 0.9612 1.0340
!   table, column and T median 0.9816, 16th and 84th 0.9323 1.0756
!   table, all three median 0.9684, 16th and 84th 0.9124 1.0146
!   hicorrect3.py median 0.9794, 16th and 84th 0.9153 1.0130
!
! relative residual against the radius from the center of the core, median over the nodes
!   radius    uncorrect   hicorrect2       column     column+T    all three   hicorrect3
       3.0      -0.4355      -0.0246      -0.0492      -0.0616      -0.0482      -0.0414
       9.0      -0.3833      -0.0134      -0.0213      -0.0445      -0.0393      -0.0320
      15.0      -0.2675       0.0200      -0.0022      -0.0162      -0.0216      -0.0173
      21.0      -0.2255       0.0640       0.0160       0.0076      -0.0070      -0.0004
      27.0      -0.2118       0.0649       0.0164       0.0066      -0.0021       0.0003
      33.0      -0.1960       0.0666       0.0172       0.0124      -0.0072      -0.0018
      39.0      -0.2206       0.0785       0.0134       0.0098      -0.0143      -0.0066
      45.0      -0.2156       0.0573       0.0113       0.0054      -0.0215      -0.0113
      51.0      -0.2213       0.0454       0.0089       0.0028      -0.0283      -0.0145
      57.0      -0.2259       0.0564       0.0089       0.0039      -0.0288      -0.0155
      63.0      -0.2251       0.0563       0.0074       0.0019      -0.0288      -0.0156
      69.0      -0.2249       0.0525       0.0087       0.0011      -0.0340      -0.0168
      75.0      -0.2249       0.0491       0.0099       0.0000      -0.0344      -0.0155
      81.0      -0.2256       0.0489       0.0111      -0.0001      -0.0332      -0.0161
      87.0      -0.2272       0.0536       0.0080      -0.0016      -0.0339      -0.0206
      93.0      -0.2249       0.0416       0.0092      -0.0025      -0.0322      -0.0153
      99.0      -0.2268       0.0440       0.0082      -0.0026      -0.0331      -0.0141
     105.0      -0.2275       0.0461       0.0092      -0.0030      -0.0325      -0.0139
     111.0      -0.2293       0.0491       0.0071      -0.0014      -0.0320      -0.0159
     117.0      -0.2288       0.0469       0.0086      -0.0016      -0.0318      -0.0160
     123.0      -0.2304       0.0501       0.0087      -0.0046      -0.0325      -0.0167
     129.0      -0.2295       0.0472       0.0087      -0.0031      -0.0333      -0.0178
     135.0      -0.2322       0.0536       0.0096      -0.0049      -0.0320      -0.0193
     141.0      -0.3416       0.0616       0.0104      -0.0069      -0.0343      -0.0177
     147.0      -0.2836       0.0552       0.0074      -0.0041      -0.0332      -0.0195
     153.0      -0.2280       0.0430       0.0073      -0.0041      -0.0320      -0.0197
     159.0      -0.2831       0.0540       0.0106      -0.0013      -0.0333      -0.0211
     165.0      -0.3357       0.0617       0.0079       0.0011      -0.0321      -0.0206
     171.0      -0.2283       0.0417       0.0105      -0.0039      -0.0324      -0.0204
     177.0      -0.2270       0.0404       0.0117      -0.0063      -0.0335      -0.0206
     183.0      -0.2268       0.0400       0.0113      -0.0189      -0.0339      -0.0160
     189.0      -0.2268       0.0394       0.0094      -0.0196      -0.0325      -0.0158
     195.0      -0.2267       0.0390       0.0110      -0.0189      -0.0332      -0.0162
     201.0      -0.2265       0.0398       0.0137      -0.0160      -0.0341      -0.0142
     207.0      -0.2264       0.0385       0.0130      -0.0142      -0.0316      -0.0096
     213.0      -0.2263       0.0382       0.0116      -0.0187      -0.0322      -0.0090
     219.0      -0.2264       0.0378       0.0099      -0.0186      -0.0302      -0.0084
     225.0      -0.2284       0.0383       0.0142      -0.0195      -0.0315      -0.0120
     231.0      -0.3354       0.0612       0.0154      -0.0196      -0.0317      -0.0142
