ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak18_f1p2,R_exc18_f1p2,R_int18_f1p2
11,1,11,4,3.75e+20,0.00517947,0.00626986,0.6605,2.75,2.851,85.5305,27,18,0.588722,0.128359,0.0968466,0.124286,0.0967147,0.041483,0.041435,0.041483,0.041435,25.65,25.65,0.842113,0.640709,0.404469,0.620377,0.403918,0.264717,0.264411,0.264717,0.264411,1.08913,1.16449,0.297356
12,1,11,5,3.75e+20,0.00517947,0.00801622,0.5619,2.706,3.55146,106.544,27,18,0.634723,0.408719,0.509834,0.401442,0.508688,0.505962,0.504897,0.505962,0.504897,25.65,25.65,0.892047,0.822048,0.791097,0.807412,0.789319,0.689392,0.687941,0.689392,0.687941,1.23336,1.43522,0.71362
13,1,12,1,3.75e+20,0.00768625,0.003,1.48,3.691,1.44685,43.4051,26.043,18,0.182847,0.0100381,-0.060014,0.00998531,-0.0600005,-0.097779,-0.0977592,-0.097779,-0.0977592,24.7409,24.7409,1.63376,1.69399,0.364732,1.68507,0.36465,0.279623,0.279567,0.279623,0.279567,2.67038,3.07883,0.293406
14,1,12,2,3.75e+20,0.00768625,0.0038356,1.2258,3.673,1.80865,54.259,27,18,0.258523,0.028446,-0.024165,0.0282065,-0.0241563,-0.0650486,-0.0650277,-0.0650486,-0.0650277,25.65,25.65,0.969557,0.922439,0.444803,0.914671,0.444643,0.332518,0.332411,0.332518,0.332411,1.5113,1.67654,0.358919
15,1,12,3,3.75e+20,0.00768625,0.00490394,1.0127,3.642,2.28881,68.6641,27,18,0.363695,0.059978,0.0327552,0.0591573,0.032736,-0.00283052,-0.00282903,-0.00283052,-0.00282903,25.65,25.65,0.654293,0.475918,0.374399,0.469406,0.374179,0.285908,0.285758,0.285908,0.285758,0.958833,0.864982,0.304449
16,1,12,4,3.75e+20,0.00768625,0.00626986,0.8466,3.597,2.87573,86.2718,27,18,0.482282,0.0988962,0.0960868,0.0967492,0.0959965,0.0623093,0.0622571,0.0623093,0.0622571,25.65,25.65,0.737984,0.533312,-0.0559922,0.521734,-0.0559396,-0.0914696,-0.091393,-0.0914696,-0.091393,1.01098,0.969297,-0.0841477
17,1,12,5,3.75e+20,0.00768625,0.00801622,0.7098,3.525,3.62392,108.717,27,18,0.536724,0.344362,0.449409,0.34017,0.448696,0.462304,0.461605,0.462304,0.461605,25.65,25.65,0.835173,0.768314,0.837238,0.758962,0.835909,0.74223,0.741107,0.74223,0.741107,1.21342,1.34074,0.769562
18,1,12,6,3.75e+20,0.00768625,0.010249,0.6,3.413,4.60046,138.014,27,18,0.615981,0.458,0.57692,0.45249,0.575436,0.606291,0.604785,0.606291,0.604785,25.65,25.65,0.893037,0.8641,1.00096,0.853703,0.99838,1.04237,1.03978,1.04237,1.03978,1.28074,1.47287,1.06723
19,1,12,7,3.75e+20,0.00768625,0.0131037,0.5295,3.245,5.86335,175.9,27,18,0.674614,0.505313,0.630698,0.497543,0.628065,0.667183,0.664482,0.667183,0.664482,25.65,25.65,0.928282,0.905129,1.04414,0.89121,1.03978,1.10502,1.10055,1.10502,1.10055,1.28535,1.52883,1.12158
20,1,13,1,3.75e+20,0.0114062,0.003,1.9269,4.989,1.52323,45.6965,27,18,0.139817,0.0137971,-0.0261627,0.0137458,-0.0261585,-0.0576378,-0.0576292,-0.0576378,-0.0576292,25.65,25.65,1.19936,1.19376,0.565741,1.18932,0.56565,0.478269,0.478198,0.478269,0.478198,2.01391,2.16967,0.502312
21,1,13,2,3.75e+20,0.0114062,0.0038356,1.5936,4.962,1.86819,56.0452,27,18,0.199341,0.0312251,0.0092759,0.031043,0.00927356,-0.0162508,-0.0162471,-0.0162508,-0.0162471,25.65,25.65,0.448415,0.326645,0.539199,0.32474,0.539064,0.46189,0.461783,0.46189,0.461783,0.726174,0.593678,0.485395
22,1,13,3,3.75e+20,0.0114062,0.00490394,1.3127,4.917,2.33369,70.0106,27,18,0.279787,0.0491918,0.044413,0.0487315,0.044395,0.023516,0.0235072,0.023516,0.0235072,25.65,25.65,0.566126,0.419476,0.383845,0.415551,0.38369,0.313338,0.313221,0.313338,0.313221,0.871605,0.762399,0.33025
23,1,13,4,3.75e+20,0.0114062,0.00626986,1.0906,4.849,2.91858,87.5573,27,18,0.384444,0.0788072,0.092813,0.0776351,0.092753,0.0746946,0.07465,0.0746946,0.07465,25.65,25.65,0.601329,0.399082,0.303031,0.393147,0.302835,0.253468,0.253316,0.253468,0.253316,0.870956,0.725334,0.262811
24,1,13,5,3.75e+20,0.0114062,0.00801622,0.8963,4.732,3.736,112.08,27,18,0.439103,0.280159,0.380985,0.277807,0.380551,0.402606,0.402162,0.402606,0.402162,25.65,25.65,0.966198,0.958262,0.870271,0.950217,0.869278,0.785344,0.784478,0.785344,0.784478,1.46438,1.67122,0.808757
25,1,13,6,3.75e+20,0.0114062,0.010249,0.7501,4.562,4.71435,141.43,27,18,0.527464,0.394929,0.506948,0.39168,0.506021,0.541366,0.540402,0.541366,0.540402,25.65,25.65,0.829698,0.797664,1.01598,0.791103,1.01412,1.04194,1.04009,1.04194,1.04009,1.23883,1.35755,1.0702
26,1,13,7,3.75e+20,0.0114062,0.0131037,0.6405,4.299,6.01946,180.584,27,18,0.593349,0.449077,0.568865,0.444364,0.567173,0.609502,0.607735,0.609502,0.607735,25.65,25.65,0.980409,0.975216,0.906383,0.964982,0.903688,0.975606,0.972778,0.975606,0.972778,1.41462,1.63791,0.987139
27,1,13,8,3.75e+20,0.0114062,0.0167535,0.5743,3.989,7.43096,222.929,27,18,0.712849,0.605672,0.703206,0.599346,0.699968,0.75057,0.747221,0.75057,0.747221,25.65,25.65,0.913394,0.877483,0.950311,0.868317,0.945936,0.986739,0.982336,0.986739,0.982336,1.26256,1.37997,1.01622
28,1,14,1,3.75e+20,0.0169267,0.003,2.5606,6.907,1.64458,49.3374,27,18,0.108241,0.0185659,0.00693356,0.0185163,0.00693275,-0.00920191,-0.0092009,-0.00920191,-0.0092009,25.65,25.65,0.456855,0.396779,0.39096,0.395721,0.390915,0.346926,0.346887,0.346926,0.346887,0.782787,0.721148,0.35877
29,1,14,2,3.75e+20,0.0169267,0.0038356,2.0966,6.871,1.97231,59.1693,27,18,0.151007,0.028202,0.0266219,0.0280862,0.0266171,0.0137189,0.0137166,0.0137189,0.0137166,25.65,25.65,0.465457,0.38335,0.948691,0.381776,0.948522,0.874432,0.874284,0.874432,0.874284,0.776123,0.69674,0.900294
30,1,14,3,3.75e+20,0.0169267,0.00490394,1.7186,6.806,2.4145,72.4355,27,18,0.216283,0.0454362,0.0552251,0.0451427,0.0552095,0.0452868,0.0452747,0.0452868,0.0452747,25.65,25.65,0.36408,0.224996,-0.144979,0.223542,-0.144938,-0.159121,-0.159078,-0.159121,-0.159078,0.58382,0.408931,-0.158606
31,1,14,4,3.75e+20,0.0169267,0.00626986,1.4041,6.694,3.0205,90.6155,27,18,0.387568,0.224935,0.293772,0.223162,0.293628,0.297071,0.296933,0.297071,0.296933,25.65,25.65,0.510632,0.384748,0.448955,0.381716,0.448736,0.40164,0.401452,0.40164,0.401452,0.793196,0.688447,0.41395
32,1,14,5,3.75e+20,0.0169267,0.00801622,1.1619,6.532,3.77704,113.311,27,18,0.347827,0.221695,0.312626,0.220422,0.312379,0.336679,0.336419,0.336679,0.336419,25.65,25.65,0.810975,0.781346,0.776382,0.776858,0.775768,0.718814,0.71826,0.718814,0.71826,1.27459,1.36306,0.736691
33,1,14,6,3.75e+20,0.0169267,0.010249,0.9683,6.285,4.73427,142.028,27,18,0.439436,0.33264,0.433973,0.330789,0.433432,0.468691,0.468121,0.468691,0.468121,25.65,25.65,0.732055,0.692372,0.90963,0.688521,0.908497,0.955482,0.954319,0.955482,0.954319,1.1318,1.17844,0.984899
34,1,14,7,3.75e+20,0.0169267,0.0131037,0.8076,5.911,5.98692,179.607,27,18,0.482056,0.35612,0.46414,0.353552,0.463224,0.503374,0.502402,0.503374,0.502402,25.65,25.65,0.822328,0.79312,0.910584,0.7874,0.908786,1.01623,1.01427,1.01623,1.01427,1.23642,1.3395,1.01829
35,1,14,8,3.75e+20,0.0169267,0.0167535,0.6986,5.393,7.56492,226.947,27,18,0.640063,0.54691,0.635856,0.543,0.633811,0.682762,0.680631,0.682762,0.680631,25.65,25.65,0.86462,0.821213,0.86713,0.815342,0.864342,0.845466,0.842826,0.845466,0.842826,1.23195,1.28836,0.865598
36,1,14,9,3.75e+20,0.0169267,0.02142,0.6129,4.67,9.72315,291.695,29.1695,18,0.744718,0.662867,0.739068,0.657002,0.735069,0.806467,0.802302,0.806467,0.802302,27.711,27.711,0.912571,0.884685,0.86276,0.876857,0.858091,0.848173,0.843793,0.848173,0.843793,1.21673,1.29516,0.877195
37,1,14,10,3.75e+20,0.0169267,0.0273861,0.546,3.921,12.1646,364.938,36.4938,24,0.831587,0.768225,0.891548,0.759541,0.884292,0.93774,0.930197,0.93774,0.930197,34.6692,34.6692,0.950157,0.922406,0.932779,0.911979,0.925188,0.89362,0.886432,0.89362,0.886432,1.18365,1.25485,0.963348
38,1,15,1,3.75e+20,0.0251189,0.003,3.4829,9.745,1.86765,56.0302,27,18,0.0888147,0.0233534,0.0296802,0.0233068,0.0296777,0.0247433,0.0247412,0.0247433,0.0247412,25.65,25.65,0.162664,0.103098,0.0819991,0.102892,0.0819919,0.0656961,0.0656905,0.0656961,0.0656905,0.282552,0.187381,0.0695914
