! validate_calib3.py -- the corrections measured on the models
!
! 331 nodes
!
! integrated over the mask, corrected divided by true:
!   uncorrected  median 0.6657, 16th and 84th 0.5372 0.9232
!   hicorrect2   median 0.9420, 16th and 84th 0.8401 1.2174
!   table, column median 0.9797, 16th and 84th 0.9240 1.0041
!   table, column and T median 0.9865, 16th and 84th 0.9232 1.0497
!   table, all three median 0.9920, 16th and 84th 0.9558 1.0370
!   hicorrect3.py median 0.9870, 16th and 84th 0.9444 1.0300
!
! relative residual against the radius from the center of the core, median over the nodes
!   radius    uncorrect   hicorrect2       column     column+T    all three   hicorrect3
       3.0      -0.4537      -0.1400      -0.0955      -0.0479      -0.0340      -0.0562
       9.0      -0.4349      -0.1115      -0.0665      -0.0330      -0.0240      -0.0418
      15.0      -0.3490      -0.0606      -0.0228      -0.0063       0.0016      -0.0032
      21.0      -0.3256      -0.0163      -0.0079       0.0134       0.0162       0.0077
      27.0      -0.3168      -0.0086      -0.0061       0.0112       0.0158       0.0097
      33.0      -0.3248      -0.0054      -0.0044       0.0107       0.0078       0.0050
      39.0      -0.3364      -0.0113      -0.0102       0.0076       0.0008      -0.0021
      45.0      -0.3353      -0.0216      -0.0104       0.0045      -0.0021      -0.0071
      51.0      -0.3356      -0.0218      -0.0073       0.0029      -0.0048      -0.0075
      57.0      -0.3548      -0.0236      -0.0075       0.0012      -0.0031      -0.0094
      63.0      -0.3468      -0.0176      -0.0076       0.0022      -0.0033      -0.0056
      69.0      -0.3388      -0.0217      -0.0057       0.0055      -0.0023      -0.0040
      75.0      -0.3366      -0.0176      -0.0050       0.0038      -0.0025      -0.0048
      81.0      -0.3468      -0.0120      -0.0032       0.0013      -0.0014      -0.0058
      87.0      -0.3572      -0.0125      -0.0038       0.0013      -0.0025      -0.0065
      93.0      -0.3463      -0.0159      -0.0019      -0.0017      -0.0041      -0.0072
      99.0      -0.3520      -0.0159      -0.0018      -0.0000      -0.0021      -0.0039
     105.0      -0.3608      -0.0143      -0.0027       0.0007      -0.0022      -0.0038
     111.0      -0.3643      -0.0123      -0.0014      -0.0026      -0.0015      -0.0030
     117.0      -0.3635      -0.0124      -0.0025      -0.0035      -0.0011      -0.0026
     123.0      -0.3854      -0.0099      -0.0019      -0.0018      -0.0009      -0.0041
     129.0      -0.3647      -0.0083      -0.0016      -0.0035      -0.0005      -0.0020
     135.0      -0.4073      -0.0109      -0.0009       0.0002       0.0002      -0.0027
     141.0      -0.4236      -0.0097      -0.0012      -0.0034      -0.0009      -0.0036
     147.0      -0.4218      -0.0077       0.0002      -0.0037      -0.0017      -0.0043
     153.0      -0.3635      -0.0107       0.0001      -0.0117      -0.0018      -0.0028
     159.0      -0.4218      -0.0111       0.0004      -0.0106       0.0004      -0.0021
     165.0      -0.4283      -0.0100       0.0007      -0.0102      -0.0030      -0.0044
     171.0      -0.3859      -0.0100       0.0005      -0.0116      -0.0029      -0.0035
     177.0      -0.3625      -0.0097      -0.0010      -0.0117      -0.0028      -0.0029
     183.0      -0.3625      -0.0107      -0.0016      -0.0117      -0.0035      -0.0041
     189.0      -0.3624      -0.0103      -0.0023      -0.0112      -0.0044      -0.0050
     195.0      -0.3620      -0.0072      -0.0013      -0.0090      -0.0039      -0.0052
     201.0      -0.3618      -0.0055       0.0021      -0.0089      -0.0055      -0.0063
     207.0      -0.3618      -0.0012       0.0056      -0.0115      -0.0055      -0.0064
     213.0      -0.3618      -0.0039       0.0035      -0.0109      -0.0022      -0.0075
     219.0      -0.3618      -0.0052       0.0025      -0.0108      -0.0036      -0.0074
     225.0      -0.4153      -0.0066      -0.0016      -0.0098      -0.0048      -0.0070
     231.0      -0.4281      -0.0105      -0.0027      -0.0062      -0.0050      -0.0089
