! Calibration harvest for the correction of hires surface density images.
! One block per model node.  The header line of a block gives the node name and
! log10 of the background surface density in cm^-2; the following lines give
! log10 of the contrast, the median of the factor that restores the true
! surface density, and the number of pixels.
! Opacity used: kappa_0 = 9.3057882 cm^2 per gram of dust at 1000 GHz.
!
NODE i01j01k01                  14.19464
       1.0125     1.56003        28
       1.0375     1.57472        24
       1.0625     1.59944        36
       1.0875     1.62114        24
       1.1125     1.64709        32
       1.1375     1.66062         5
NODE i01j18k12                  20.72057
       0.0125     1.00451      2736
       0.0375     1.00688       308
       0.0625     1.01555       192
       0.0875     1.02585       140
       0.1125     1.03603        92
       0.1375     1.04561       104
       0.1625     1.06016        88
       0.1875     1.07156        72
       0.2125     1.08303        64
       0.2375     1.09209        68
       0.2625     1.10525        60
       0.2875     1.11320        52
       0.3125     1.12555        48
       0.3375     1.13678        68
       0.3625     1.14805        36
       0.3875     1.15886        64
       0.4125     1.16956        44
       0.4375     1.18013        44
       0.4625     1.18758        52
       0.4875     1.19887        40
       0.5125     1.20967        40
       0.5375     1.21575        40
       0.5625     1.22907        48
       0.5875     1.23676        36
       0.6125     1.24979        44
       0.6375     1.26026        48
       0.6625     1.27069        36
       0.6875     1.28421        44
       0.7125     1.29427        28
       0.7375     1.30892        40
       0.7625     1.32004        48
       0.7875     1.33562        32
       0.8125     1.34663        44
       0.8375     1.36808        44
       0.8625     1.38475        36
       0.8875     1.40109        40
       0.9125     1.41738        32
       0.9375     1.43469        36
       0.9625     1.45783        44
       0.9875     1.47105        20
       1.0125     1.48951        40
       1.0375     1.51388        40
       1.0625     1.53726        36
       1.0875     1.56162        36
       1.1125     1.57964        25
NODE i01j18k13                  20.72064
       0.0125     1.00424      2424
       0.0375     1.00689       280
       0.0625     1.01580       192
       0.0875     1.02779       136
       0.1125     1.03795       116
       0.1375     1.05348       104
       0.1625     1.06454        64
       0.1875     1.07386        76
       0.2125     1.08699        68
       0.2375     1.10044        92
       0.2625     1.11356        40
       0.2875     1.12271        60
       0.3125     1.12941        36
       0.3375     1.14082        64
       0.3625     1.15197        60
       0.3875     1.16167        28
       0.4125     1.17150        64
       0.4375     1.18134        44
       0.4625     1.19078        44
       0.4875     1.19689        52
       0.5125     1.20605        32
       0.5375     1.21435        48
       0.5625     1.22119        40
       0.5875     1.23168        48
       0.6125     1.23789        36
       0.6375     1.24845        44
       0.6625     1.25682        52
       0.6875     1.26560        32
       0.7125     1.27493        44
       0.7375     1.28457        44
       0.7625     1.29382        32
       0.7875     1.30256        48
       0.8125     1.32036        56
       0.8375     1.32939        20
       0.8625     1.34014        48
       0.8875     1.35495        40
       0.9125     1.36719        40
       0.9375     1.38553        52
       0.9625     1.40446        44
       0.9875     1.41795        36
       1.0125     1.43562        40
       1.0375     1.45839        52
       1.0625     1.47674        32
       1.0875     1.49554        37
NODE i01j18k14                  20.72069
       0.0125     1.00425      2528
       0.0375     1.00683       300
       0.0625     1.01552       188
       0.0875     1.02516       144
       0.1125     1.03602       116
       0.1375     1.04894       112
       0.1625     1.05940        72
       0.1875     1.07057        88
       0.2125     1.08256        72
       0.2375     1.09146        60
       0.2625     1.10258        68
       0.2875     1.11345        68
       0.3125     1.12012        48
       0.3375     1.13043        60
       0.3625     1.13722        52
       0.3875     1.14709        48
       0.4125     1.15377        60
       0.4375     1.16351        44
       0.4625     1.16991        48
       0.4875     1.17391        52
       0.5125     1.18484        52
       0.5375     1.18818        44
       0.5625     1.19487        40
       0.5875     1.20112        48
       0.6125     1.20679        48
       0.6375     1.21536        56
       0.6625     1.22265        44
       0.6875     1.22842        44
       0.7125     1.23552        52
       0.7375     1.24455        52
       0.7625     1.25159        44
       0.7875     1.25993        60
       0.8125     1.26928        36
       0.8375     1.27823        60
       0.8625     1.29134        48
       0.8875     1.30272        48
       0.9125     1.31323        48
       0.9375     1.32637        56
       0.9625     1.34071        52
       0.9875     1.35923        60
       1.0125     1.37845        48
       1.0375     1.39585        56
       1.0625     1.40573         5
NODE i01j18k15                  20.72086
       0.0125     1.00401      2476
       0.0375     1.00580       312
       0.0625     1.01314       220
       0.0875     1.02230       148
       0.1125     1.03084       124
       0.1375     1.04001       112
       0.1625     1.05007        96
       0.1875     1.05746        84
       0.2125     1.06783        84
       0.2375     1.07668        76
       0.2625     1.08567        80
       0.2875     1.09255        56
       0.3125     1.09967        72
       0.3375     1.10558        68
       0.3625     1.11391        52
       0.3875     1.11822        76
       0.4125     1.12520        40
       0.4375     1.12969        80
       0.4625     1.13685        48
       0.4875     1.14071        56
       0.5125     1.14566        64
       0.5375     1.15081        48
       0.5625     1.15434        60
       0.5875     1.15993        52
       0.6125     1.16407        68
       0.6375     1.16928        48
       0.6625     1.17401        64
       0.6875     1.18061        68
       0.7125     1.18680        44
       0.7375     1.19103        76
       0.7625     1.20059        80
       0.7875     1.20923        48
       0.8125     1.21672        64
       0.8375     1.22488        80
       0.8625     1.23759        76
       0.8875     1.25048        76
       0.9125     1.26351        72
       0.9375     1.27796        80
       0.9625     1.29401        76
       0.9875     1.30338        21
NODE i01j18k16                  20.72105
       0.0125     1.00391      2480
       0.0375     1.00480       372
       0.0625     1.01051       240
       0.0875     1.01717       176
       0.1125     1.02441       144
       0.1375     1.03116       120
       0.1625     1.03756       116
       0.1875     1.04603       116
       0.2125     1.05265        92
       0.2375     1.05867        80
       0.2625     1.06309        88
       0.2875     1.06922        88
       0.3125     1.07457        76
       0.3375     1.07888        84
       0.3625     1.08374        76
       0.3875     1.08788        92
       0.4125     1.09272        60
       0.4375     1.09519        88
       0.4625     1.09962        72
       0.4875     1.10317        92
       0.5125     1.10691        56
       0.5375     1.10899        80
       0.5625     1.11311        80
       0.5875     1.11669        72
       0.6125     1.12011       100
       0.6375     1.12558        92
       0.6625     1.13045        76
       0.6875     1.13541       104
       0.7125     1.14249        96
       0.7375     1.14916       112
       0.7625     1.15779       104
       0.7875     1.16627       112
       0.8125     1.17641       112
       0.8375     1.18757       124
       0.8625     1.20031       132
       0.8875     1.21043        37
NODE i01j18k17                  20.72121
       0.0125     1.00415      2752
       0.0375     1.00409       468
       0.0625     1.00812       300
       0.0875     1.01311       216
       0.1125     1.01817       176
       0.1375     1.02242       152
       0.1625     1.02722       164
       0.1875     1.03271       136
       0.2125     1.03679       120
       0.2375     1.03994       120
       0.2625     1.04440       112
       0.2875     1.04764       120
       0.3125     1.05119       124
       0.3375     1.05426       108
       0.3625     1.05689       108
       0.3875     1.05943       124
       0.4125     1.06249       108
       0.4375     1.06466       108
       0.4625     1.06662       128
       0.4875     1.06976       136
       0.5125     1.07280       120
       0.5375     1.07547       136
       0.5625     1.07968       164
       0.5875     1.08364       144
       0.6125     1.08826       160
       0.6375     1.09417       180
       0.6625     1.10109       188
       0.6875     1.10829       192
       0.7125     1.11703       212
       0.7375     1.12595       196
       0.7625     1.13350        97
NODE i01j18k18                  20.72132
       0.0125     1.00443      3424
       0.0375     1.00435       588
       0.0625     1.00699       356
       0.0875     1.01047       280
       0.1125     1.01374       248
       0.1375     1.01706       212
       0.1625     1.02023       208
       0.1875     1.02350       204
       0.2125     1.02613       164
       0.2375     1.02856       180
       0.2625     1.03080       184
       0.2875     1.03282       184
       0.3125     1.03452       180
       0.3375     1.03635       208
       0.3625     1.03829       200
       0.3875     1.03989       196
       0.4125     1.04194       224
       0.4375     1.04447       248
       0.4625     1.04697       260
       0.4875     1.05026       288
       0.5125     1.05396       308
       0.5375     1.05859       340
       0.5625     1.06390       340
       0.5875     1.06982       356
       0.6125     1.07632       384
       0.6375     1.08025        37
NODE i01j19k08                  20.72141
       0.0125     1.00481      4780
       0.0375     1.00529       796
       0.0625     1.00719       528
       0.0875     1.00903       444
       0.1125     1.01083       400
       0.1375     1.01269       388
       0.1625     1.01425       368
       0.1875     1.01555       356
       0.2125     1.01686       336
       0.2375     1.01842       372
       0.2625     1.02016       344
       0.2875     1.02206       344
       0.3125     1.02444       316
       0.3375     1.02722       288
       0.3625     1.03079       276
       0.3875     1.03466       248
       0.4125     1.03965       244
       0.4375     1.04504       184
       0.4625     1.05024       176
       0.4875     1.05815       156
       0.5125     1.06855       152
       0.5375     1.07866       136
       0.5625     1.09307       104
       0.5875     1.10549       100
       0.6125     1.12319        96
       0.6375     1.14468        88
       0.6625     1.16876        76
       0.6875     1.19895        72
       0.7125     1.22575        48
       0.7375     1.24698        64
       0.7625     1.28943        52
       0.7875     1.32540        52
       0.8125     1.35653        36
       0.8375     1.39793        56
       0.8625     1.44007        32
       0.8875     1.47258        40
       0.9125     1.51258        28
       0.9375     1.54687        32
       0.9625     1.57867        32
       0.9875     1.61993        32
       1.0125     1.66193        28
       1.0375     1.69709        24
       1.0625     1.72820        24
       1.0875     1.75289        21
NODE i01j19k09                  20.72140
       0.0125     1.00471      4016
       0.0375     1.00520       708
       0.0625     1.00703       472
       0.0875     1.00913       388
       0.1125     1.01146       336
       0.1375     1.01351       304
       0.1625     1.01526       308
       0.1875     1.01669       296
       0.2125     1.01837       276
       0.2375     1.02028       264
       0.2625     1.02217       284
       0.2875     1.02392       248
       0.3125     1.02632       264
       0.3375     1.02965       268
       0.3625     1.03311       216
       0.3875     1.03695       216
       0.4125     1.04186       200
       0.4375     1.04758       180
       0.4625     1.05430       164
       0.4875     1.06214       144
       0.5125     1.07109       152
       0.5375     1.08191       120
       0.5625     1.09425       100
       0.5875     1.10879       112
       0.6125     1.13032       104
       0.6375     1.14808        64
       0.6625     1.16519        72
       0.6875     1.18743        76
       0.7125     1.21776        72
       0.7375     1.24510        48
       0.7625     1.26565        64
       0.7875     1.30778        52
       0.8125     1.34169        36
       0.8375     1.36152        52
       0.8625     1.40434        44
       0.8875     1.44188        28
       0.9125     1.46464        44
       0.9375     1.51083        40
       0.9625     1.54680        32
       0.9875     1.56847        24
       1.0125     1.61120        36
       1.0375     1.65236        32
       1.0625     1.68330        24
       1.0875     1.71053        24
       1.1125     1.73223        21
NODE i01j19k10                  20.72134
       0.0125     1.00455      3540
       0.0375     1.00499       620
       0.0625     1.00724       376
       0.0875     1.00975       296
       0.1125     1.01238       296
       0.1375     1.01518       232
       0.1625     1.01739       240
       0.1875     1.01977       216
       0.2125     1.02197       196
       0.2375     1.02416       200
       0.2625     1.02661       200
       0.2875     1.02909       188
       0.3125     1.03190       192
       0.3375     1.03491       168
       0.3625     1.03833       164
       0.3875     1.04293       192
       0.4125     1.04778       152
       0.4375     1.05392       152
       0.4625     1.06063       136
       0.4875     1.06839       120
       0.5125     1.07668       128
       0.5375     1.08612       100
       0.5625     1.09687       112
       0.5875     1.10992       108
       0.6125     1.12697        96
       0.6375     1.14451        80
       0.6625     1.16351        72
       0.6875     1.17789        80
       0.7125     1.20506        76
       0.7375     1.23323        52
       0.7625     1.25146        60
       0.7875     1.28234        60
       0.8125     1.31135        44
       0.8375     1.32844        44
       0.8625     1.36548        56
       0.8875     1.39978        40
       0.9125     1.42503        40
       0.9375     1.45938        44
       0.9625     1.48922        28
       0.9875     1.51332        36
       1.0125     1.55351        40
       1.0375     1.59266        36
       1.0625     1.62685        32
       1.0875     1.65376        24
       1.1125     1.67919        32
       1.1375     1.70322        13
NODE i01j19k11                  20.72129
       0.0125     1.00444      3184
       0.0375     1.00475       520
       0.0625     1.00741       340
       0.0875     1.01035       252
       0.1125     1.01332       224
       0.1375     1.01668       192
       0.1625     1.01976       204
       0.1875     1.02328       168
       0.2125     1.02609       156
       0.2375     1.02925       156
       0.2625     1.03227       152
       0.2875     1.03525       140
       0.3125     1.03842       144
       0.3375     1.04191       136
       0.3625     1.04563       128
       0.3875     1.04985       132
       0.4125     1.05465       136
       0.4375     1.06117       128
       0.4625     1.06802       104
       0.4875     1.07405       120
       0.5125     1.08298       108
       0.5375     1.09189       104
       0.5625     1.10418       108
       0.5875     1.11772        92
       0.6125     1.12907        84
       0.6375     1.14482        96
       0.6625     1.16515        88
       0.6875     1.18164        56
       0.7125     1.19781        72
       0.7375     1.22054        76
       0.7625     1.24718        48
       0.7875     1.26250        56
       0.8125     1.29372        68
       0.8375     1.32042        44
       0.8625     1.33612        44
       0.8875     1.36939        56
       0.9125     1.39992        40
       0.9375     1.42502        48
       0.9625     1.45733        36
       0.9875     1.48995        48
       1.0125     1.52099        32
       1.0375     1.54234        32
       1.0625     1.56992        32
       1.0875     1.60091        36
       1.1125     1.63433        36
       1.1375     1.65905        25
NODE i01j19k12                  20.72120
       0.0125     1.00427      2860
       0.0375     1.00437       456
       0.0625     1.00812       300
       0.0875     1.01279       212
       0.1125     1.01661       156
       0.1375     1.02100       164
       0.1625     1.02544       144
       0.1875     1.03058       132
       0.2125     1.03528       108
       0.2375     1.03852       132
       0.2625     1.04398       112
       0.2875     1.04809        96
       0.3125     1.05155       112
       0.3375     1.05761        96
       0.3625     1.06215       116
       0.3875     1.06698        88
       0.4125     1.07197        80
       0.4375     1.07671       104
       0.4625     1.08417        96
       0.4875     1.09027        80
       0.5125     1.09743       100
       0.5375     1.10752        84
       0.5625     1.11619        84
       0.5875     1.12569        88
       0.6125     1.13910        72
       0.6375     1.14648        68
       0.6625     1.16167        96
       0.6875     1.17851        56
       0.7125     1.19003        80
       0.7375     1.21060        76
       0.7625     1.23206        60
       0.7875     1.24751        60
       0.8125     1.26811        64
       0.8375     1.29113        56
       0.8625     1.31320        56
       0.8875     1.33465        60
       0.9125     1.36396        48
       0.9375     1.38737        48
       0.9625     1.41007        48
       0.9875     1.43575        36
       1.0125     1.46464        56
       1.0375     1.49364        40
       1.0625     1.51805        36
       1.0875     1.54464        40
       1.1125     1.56783        32
       1.1375     1.59474        37
NODE i01j19k13                  20.72110
       0.0125     1.00423      2888
       0.0375     1.00459       408
       0.0625     1.00906       252
       0.0875     1.01445       192
       0.1125     1.02080       168
       0.1375     1.02691       112
       0.1625     1.03219       136
       0.1875     1.03924       116
       0.2125     1.04497        96
       0.2375     1.04958       112
       0.2625     1.05702        88
       0.2875     1.06209        88
       0.3125     1.06813        88
       0.3375     1.07258        84
       0.3625     1.07802        68
       0.3875     1.08268       100
       0.4125     1.09023        80
       0.4375     1.09560        72
       0.4625     1.10163        88
       0.4875     1.10816        72
       0.5125     1.11493        92
       0.5375     1.12368        56
       0.5625     1.12816        80
       0.5875     1.13769        64
       0.6125     1.14644        88
       0.6375     1.15767        64
       0.6625     1.16702        68
       0.6875     1.17790        80
       0.7125     1.19199        56
       0.7375     1.20189        72
       0.7625     1.21847        76
       0.7875     1.23355        60
       0.8125     1.25025        60
       0.8375     1.26799        72
       0.8625     1.28776        72
       0.8875     1.30680        40
       0.9125     1.32271        60
       0.9375     1.34706        64
       0.9625     1.37394        64
       0.9875     1.39941        52
       1.0125     1.42199        48
       1.0375     1.44577        48
       1.0625     1.46543        44
       1.0875     1.49021        44
       1.1125     1.51617        48
       1.1375     1.53187         9
NODE i01j19k14                  20.72110
       0.0125     1.00406      2608
       0.0375     1.00447       384
       0.0625     1.00926       256
       0.0875     1.01562       180
       0.1125     1.02332       160
       0.1375     1.03069       112
       0.1625     1.03722       128
       0.1875     1.04573       116
       0.2125     1.05231        80
       0.2375     1.05769       104
       0.2625     1.06425        80
       0.2875     1.07050       112
       0.3125     1.07808        56
       0.3375     1.08200        92
       0.3625     1.08976        68
       0.3875     1.09416        84
       0.4125     1.10020        64
       0.4375     1.10549        88
       0.4625     1.11158        56
       0.4875     1.11620        84
       0.5125     1.12243        68
       0.5375     1.12837        92
       0.5625     1.13605        48
       0.5875     1.14058        80
       0.6125     1.14842        56
       0.6375     1.15530        96
       0.6625     1.16578        64
       0.6875     1.17301        60
       0.7125     1.18158        88
       0.7375     1.19435        64
       0.7625     1.20296        72
       0.7875     1.21763        84
       0.8125     1.23177        60
       0.8375     1.24385        76
       0.8625     1.25933        72
       0.8875     1.27693        72
       0.9125     1.29544        68
       0.9375     1.31342        72
       0.9625     1.33345        64
       0.9875     1.35195        52
       1.0125     1.37118        64
       1.0375     1.39357        68
       1.0625     1.41684        60
       1.0875     1.43821        49
NODE i01j19k15                  20.72110
       0.0125     1.00406      2700
       0.0375     1.00450       420
       0.0625     1.00997       248
       0.0875     1.01573       180
       0.1125     1.02404       168
       0.1375     1.03172       112
       0.1625     1.03742       128
       0.1875     1.04568       132
       0.2125     1.05255        92
       0.2375     1.05891        92
       0.2625     1.06548        80
       0.2875     1.07041        96
       0.3125     1.07635        80
       0.3375     1.08169       100
       0.3625     1.08668        52
       0.3875     1.09171       108
       0.4125     1.09854        72
       0.4375     1.10181        84
       0.4625     1.10757        60
       0.4875     1.11111        92
       0.5125     1.11633        52
       0.5375     1.11992        92
       0.5625     1.12564        68
       0.5875     1.13052       100
       0.6125     1.13726        56
       0.6375     1.14222        96
       0.6625     1.15024        84
       0.6875     1.15645        68
       0.7125     1.16311        92
       0.7375     1.17255        88
       0.7625     1.18311        80
       0.7875     1.19409        88
       0.8125     1.20426        80
       0.8375     1.21624        92
       0.8625     1.22907        96
       0.8875     1.24325        80
       0.9125     1.26031        96
       0.9375     1.27944        92
       0.9625     1.29405        72
       0.9875     1.31091        84
       1.0125     1.33221        92
       1.0375     1.34911        45
NODE i01j19k16                  20.72120
       0.0125     1.00392      2516
       0.0375     1.00415       452
       0.0625     1.00893       264
       0.0875     1.01480       200
       0.1125     1.02230       196
       0.1375     1.02866       108
       0.1625     1.03345       148
       0.1875     1.04122       116
       0.2125     1.04546       100
       0.2375     1.05172       128
       0.2625     1.05811       104
       0.2875     1.06194        92
       0.3125     1.06720        92
       0.3375     1.07189       108
       0.3625     1.07626        64
       0.3875     1.07882       104
       0.4125     1.08333        88
       0.4375     1.08699       104
       0.4625     1.09162        80
       0.4875     1.09436        84
       0.5125     1.09839       108
       0.5375     1.10214        84
       0.5625     1.10577       104
       0.5875     1.11098        96
       0.6125     1.11566       104
       0.6375     1.12000       100
       0.6625     1.12638       112
       0.6875     1.13272       104
       0.7125     1.13979       112
       0.7375     1.14770       112
       0.7625     1.15715       124
       0.7875     1.16730       124
       0.8125     1.17892       120
       0.8375     1.18910       120
       0.8625     1.20366       132
       0.8875     1.21819       128
       0.9125     1.23363       116
       0.9375     1.24911       128
       0.9625     1.26221        49
NODE i01j19k17                  20.72127
       0.0125     1.00418      2976
       0.0375     1.00373       480
       0.0625     1.00763       320
       0.0875     1.01258       236
       0.1125     1.01778       208
       0.1375     1.02287       172
       0.1625     1.02832       148
       0.1875     1.03281       140
       0.2125     1.03690       160
       0.2375     1.04113       104
       0.2625     1.04481       136
       0.2875     1.04918       136
       0.3125     1.05296       120
       0.3375     1.05550       124
       0.3625     1.05891       112
       0.3875     1.06129       120
       0.4125     1.06430       120
       0.4375     1.06696       128
       0.4625     1.06959       116
       0.4875     1.07247       144
       0.5125     1.07561       128
       0.5375     1.07877       136
       0.5625     1.08272       160
       0.5875     1.08688       140
       0.6125     1.09106       152
       0.6375     1.09690       168
       0.6625     1.10375       192
       0.6875     1.11103       172
       0.7125     1.11917       192
       0.7375     1.12775       180
       0.7625     1.13787       200
       0.7875     1.14852       192
       0.8125     1.16088       196
       0.8375     1.17332       204
       0.8625     1.18227        37
NODE i01j19k18                  20.72137
       0.0125     1.00435      3288
       0.0375     1.00386       584
       0.0625     1.00701       420
       0.0875     1.01082       312
       0.1125     1.01486       244
       0.1375     1.01856       212
       0.1625     1.02170       180
       0.1875     1.02452       216
       0.2125     1.02803       196
       0.2375     1.03144       172
       0.2625     1.03352       164
       0.2875     1.03613       192
       0.3125     1.03807       180
       0.3375     1.04039       196
       0.3625     1.04263       168
       0.3875     1.04437       180
       0.4125     1.04628       200
       0.4375     1.04856       216
       0.4625     1.05089       228
       0.4875     1.05423       260
       0.5125     1.05713       240
       0.5375     1.06138       272
       0.5625     1.06559       288
       0.5875     1.07127       308
       0.6125     1.07740       312
       0.6375     1.08444       312
       0.6625     1.09204       336
       0.6875     1.10084       332
       0.7125     1.11007       340
       0.7375     1.11596        61
NODE i01j20k10                  20.72147
       0.0125     1.00499      6916
       0.0375     1.00551      1132
       0.0625     1.00712       824
       0.0875     1.00865       748
       0.1125     1.00996       668
       0.1375     1.01102       696
       0.1625     1.01203       716
       0.1875     1.01302       740
       0.2125     1.01416       688
       0.2375     1.01563       688
       0.2625     1.01753       648
       0.2875     1.01958       560
       0.3125     1.02192       516
       0.3375     1.02475       472
       0.3625     1.02797       412
       0.3875     1.03157       380
       0.4125     1.03596       328
       0.4375     1.04080       296
       0.4625     1.04623       236
       0.4875     1.05188       224
       0.5125     1.05938       212
       0.5375     1.06783       176
       0.5625     1.07700       156
       0.5875     1.08818       144
       0.6125     1.10127       120
       0.6375     1.11423       116
       0.6625     1.13271       104
       0.6875     1.15248        96
       0.7125     1.17516        92
       0.7375     1.20253        76
       0.7625     1.22372        68
       0.7875     1.24653        56
       0.8125     1.27951        68
       0.8375     1.31655        68
       0.8625     1.34600        40
       0.8875     1.36907        52
       0.9125     1.41072        48
       0.9375     1.44488        40
       0.9625     1.47594        40
       0.9875     1.50852        36
       1.0125     1.54632        40
       1.0375     1.57982        24
       1.0625     1.60194        32
       1.0875     1.63892        40
       1.1125     1.68013        28
       1.1375     1.69981        21
NODE i01j20k11                  20.72147
       0.0125     1.00490      5720
       0.0375     1.00543      1012
       0.0625     1.00716       708
       0.0875     1.00889       636
       0.1125     1.01035       556
       0.1375     1.01162       540
       0.1625     1.01277       572
       0.1875     1.01396       556
       0.2125     1.01518       552
       0.2375     1.01663       556
       0.2625     1.01835       536
       0.2875     1.02058       508
       0.3125     1.02298       428
       0.3375     1.02559       412
       0.3625     1.02880       364
       0.3875     1.03263       356
       0.4125     1.03683       304
       0.4375     1.04166       284
       0.4625     1.04732       240
       0.4875     1.05406       228
       0.5125     1.06079       200
       0.5375     1.06821       160
       0.5625     1.07785       168
       0.5875     1.08776       140
       0.6125     1.10079       136
       0.6375     1.11409       112
       0.6625     1.13026       128
       0.6875     1.14630        84
       0.7125     1.16587        96
       0.7375     1.18750        76
       0.7625     1.20652        76
       0.7875     1.23132        76
       0.8125     1.25643        64
       0.8375     1.28949        68
       0.8625     1.32402        60
       0.8875     1.34680        48
       0.9125     1.37208        52
       0.9375     1.40980        48
       0.9625     1.44072        40
       0.9875     1.46836        40
       1.0125     1.49723        44
       1.0375     1.53548        40
       1.0625     1.57101        36
       1.0875     1.60219        32
       1.1125     1.62835        32
       1.1375     1.65946        32
       1.1625     1.67524         5
NODE i01j20k12                  20.72143
       0.0125     1.00479      4824
       0.0375     1.00515       816
       0.0625     1.00713       564
       0.0875     1.00927       492
       0.1125     1.01118       416
       0.1375     1.01301       384
       0.1625     1.01460       372
       0.1875     1.01615       344
       0.2125     1.01768       376
       0.2375     1.01919       380
       0.2625     1.02100       344
       0.2875     1.02313       356
       0.3125     1.02539       328
       0.3375     1.02814       348
       0.3625     1.03127       296
       0.3875     1.03508       280
       0.4125     1.03951       276
       0.4375     1.04365       232
       0.4625     1.04894       232
       0.4875     1.05529       212
       0.5125     1.06289       196
       0.5375     1.07038       176
       0.5625     1.07930       160
       0.5875     1.08847       152
       0.6125     1.10003       132
       0.6375     1.11179       120
       0.6625     1.12589       128
       0.6875     1.14305       116
       0.7125     1.15899       100
       0.7375     1.17699        76
       0.7625     1.18964        88
       0.7875     1.21102        88
       0.8125     1.23842        84
       0.8375     1.26341        64
       0.8625     1.28504        56
       0.8875     1.30336        64
       0.9125     1.33471        68
       0.9375     1.36519        48
       0.9625     1.39165        56
       0.9875     1.41916        48
       1.0125     1.44459        48
       1.0375     1.47391        44
       1.0625     1.50479        40
       1.0875     1.53464        48
       1.1125     1.56682        40
       1.1375     1.59635        36
       1.1625     1.61567        13
NODE i01j20k13                  20.72139
       0.0125     1.00458      3852
       0.0375     1.00480       688
       0.0625     1.00720       416
       0.0875     1.00987       368
       0.1125     1.01273       312
       0.1375     1.01531       280
       0.1625     1.01783       260
       0.1875     1.02021       224
       0.2125     1.02211       224
       0.2375     1.02432       244
       0.2625     1.02671       208
       0.2875     1.02856       224
       0.3125     1.03136       240
       0.3375     1.03398       204
       0.3625     1.03678       216
       0.3875     1.04041       224
       0.4125     1.04433       204
       0.4375     1.04860       192
       0.4625     1.05359       208
       0.4875     1.05971       184
       0.5125     1.06539       164
       0.5375     1.07337       184
       0.5625     1.08146       152
       0.5875     1.08939       148
       0.6125     1.09986       144
       0.6375     1.10939       128
       0.6625     1.12063       124
       0.6875     1.13389       128
       0.7125     1.14806       104
       0.7375     1.16243       108
       0.7625     1.17933       104
       0.7875     1.20074       104
       0.8125     1.21949        80
       0.8375     1.23747        80
       0.8625     1.25471        68
       0.8875     1.27430        80
       0.9125     1.30109        80
       0.9375     1.32592        60
       0.9625     1.34933        64
       0.9875     1.37748        68
       1.0125     1.40284        56
       1.0375     1.42790        56
       1.0625     1.45472        48
       1.0875     1.47755        48
       1.1125     1.50092        52
       1.1375     1.53163        45
NODE i01j20k14                  20.72135
       0.0125     1.00446      3456
       0.0375     1.00429       596
       0.0625     1.00733       388
       0.0875     1.01045       304
       0.1125     1.01408       248
       0.1375     1.01769       220
       0.1625     1.02139       204
       0.1875     1.02447       188
       0.2125     1.02717       184
       0.2375     1.03037       176
       0.2625     1.03337       188
       0.2875     1.03647       148
       0.3125     1.03912       172
       0.3375     1.04180       160
       0.3625     1.04479       172
       0.3875     1.04812       148
       0.4125     1.05136       164
       0.4375     1.05531       152
       0.4625     1.05952       176
       0.4875     1.06479       164
       0.5125     1.07071       144
       0.5375     1.07674       152
       0.5625     1.08399       152
       0.5875     1.09211       144
       0.6125     1.10005       140
       0.6375     1.10757       136
       0.6625     1.11943       144
       0.6875     1.13009       116
       0.7125     1.14232       112
       0.7375     1.15651       128
       0.7625     1.17234       116
       0.7875     1.18694       104
       0.8125     1.20266        96
       0.8375     1.21976       104
       0.8625     1.23822        80
       0.8875     1.25529        92
       0.9125     1.27607        80
       0.9375     1.29436        72
       0.9625     1.31321        80
       0.9875     1.33894        76
       1.0125     1.36519        76
       1.0375     1.38942        64
       1.0625     1.41099        64
       1.0875     1.43733        60
       1.1125     1.46295        61
NODE i01j20k15                  20.72133
       0.0125     1.00426      3016
       0.0375     1.00386       548
       0.0625     1.00728       348
       0.0875     1.01125       288
       0.1125     1.01590       212
       0.1375     1.02004       188
       0.1625     1.02373       172
       0.1875     1.02808       192
       0.2125     1.03252       164
       0.2375     1.03628       132
       0.2625     1.03906       156
       0.2875     1.04297       132
       0.3125     1.04634       148
       0.3375     1.04958       136
       0.3625     1.05302       144
       0.3875     1.05653       128
       0.4125     1.05942       156
       0.4375     1.06355       132
       0.4625     1.06725       132
       0.4875     1.07123       136
       0.5125     1.07590       156
       0.5375     1.08144       140
       0.5625     1.08667       132
       0.5875     1.09231       136
       0.6125     1.09990       156
       0.6375     1.10819       136
       0.6625     1.11651       136
       0.6875     1.12603       140
       0.7125     1.13745       136
       0.7375     1.14889       120
       0.7625     1.16147       132
       0.7875     1.17423       120
       0.8125     1.18733       120
       0.8375     1.20358       112
       0.8625     1.21795       100
       0.8875     1.23335       112
       0.9125     1.25062       104
       0.9375     1.27144        96
       0.9625     1.29141       100
       0.9875     1.31116        88
       1.0125     1.33253        92
       1.0375     1.35517        84
       1.0625     1.37781        80
       1.0875     1.39153        21
NODE i01j20k16                  20.72132
       0.0125     1.00432      3228
       0.0375     1.00382       564
       0.0625     1.00738       296
       0.0875     1.01173       296
       0.1125     1.01670       224
       0.1375     1.02162       188
       0.1625     1.02584       164
       0.1875     1.03000       172
       0.2125     1.03455       168
       0.2375     1.03872       128
       0.2625     1.04235       160
       0.2875     1.04641       144
       0.3125     1.04948       116
       0.3375     1.05206       144
       0.3625     1.05558       112
       0.3875     1.05821       152
       0.4125     1.06153       148
       0.4375     1.06499       116
       0.4625     1.06805       148
       0.4875     1.07164       152
       0.5125     1.07589       120
       0.5375     1.07951       152
