! Calibration harvest for the correction of hires surface density images.
! One block per model node.  The header line of a block gives the node name and
! log10 of the background surface density in cm^-2; the following lines give
! log10 of the contrast, the median of the factor that restores the true
! surface density, and the number of pixels.
! Opacity used: kappa_0 = 9.3057882 cm^2 per gram of dust at 1000 GHz.
!
NODE i01j01k01                  14.19464
       0.6625     1.00274         8
       0.7125     1.00198        16
       0.8125     1.00138         8
       0.8875     1.00280         8
       0.9125     1.00182         8
       0.9375     1.00230         8
       0.9875     1.00215         8
       1.0625     1.00175         8
       1.1125     1.00193         8
       1.1625     1.00266        24
       1.2375     1.00251         8
       1.3125     1.00091         8
       1.3375     1.00232        16
       1.3625     1.00369         8
       1.4125     1.00257         8
       1.4875     1.00174        16
       1.5375     1.00245         8
       1.5625     1.00381         8
       1.5875     1.00225        16
       1.6375     1.00183         8
       1.6625     1.00182         8
       1.7125     1.00323         8
       1.7375     1.00221         8
       1.7625     1.00286        24
       1.8125     1.00092         8
       1.8625     1.00281        16
       1.8875     1.00139         8
       1.9125     1.00365         8
       1.9625     1.00212        24
       2.0125     1.00147        16
       2.0375     1.00248         8
       2.0875     1.00271        16
       2.1125     1.00191        24
       2.1375     1.00314         8
       2.1625     1.00308        12
NODE i01j03k03                  17.52263
       0.0125     0.99937        60
       0.1625     1.00082         8
       0.1875     0.99951        16
       0.3125     1.00130         8
       0.3625     1.00019        16
       0.4625     1.00152         8
       0.5125     1.00100         8
       0.5375     1.00060         8
       0.5625     1.00028         8
       0.6125     1.00148         8
       0.6625     1.00128         8
       0.6875     1.00111         8
       0.7125     1.00109        12
       0.7625     1.00117         8
       0.8125     1.00129         8
       0.8375     1.00142         8
       0.8625     1.00161         8
       0.8875     1.00121        16
       0.9375     1.00103         8
       0.9875     1.00147         8
       1.0125     1.00098        16
       1.0375     1.00234        12
       1.0625     1.00051         8
       1.1125     1.00043        16
       1.1625     1.00203         8
       1.1875     1.00269        24
       1.2125     0.99948         8
       1.2375     1.00078         8
       1.2875     1.00073        16
       1.3125     1.00280        24
       1.3625     1.00027         8
       1.3875     1.00048        16
       1.4125     0.99958         8
       1.4375     1.00265         8
       1.4625     1.00365        24
       1.4875     0.99960        16
       1.5125     1.00097         8
       1.5375     1.00228         8
       1.5625     0.99979        32
       1.5875     1.00424        12
       1.6125     1.00072         8
       1.6375     1.00000        24
       1.6625     0.99977         8
       1.6875     1.00125        16
       1.7125     1.00069        40
       1.7375     1.00033        16
       1.7875     1.00025        40
       1.8125     1.00418        16
       1.8375     0.99954        28
       1.8625     1.00064        16
       1.8875     0.99928        24
       1.9125     1.00176        24
       1.9375     1.00069        48
       1.9625     1.00049        16
       1.9875     0.99891        60
       2.0125     1.00119        24
       2.0375     1.00276        28
       2.0625     1.00118        24
       2.0875     0.99926        32
       2.1125     1.00202        48
       2.1375     0.99871        36
       2.1625     1.00090        24
       2.1875     1.00270        32
NODE i01j03k04                  18.89369
       0.0125     0.99932        60
       0.1125     1.00111        16
       0.1375     0.99953         8
       0.2125     1.00085         8
       0.2375     1.00112         8
       0.2625     1.00083        12
       0.3125     1.00027         8
       0.3375     1.00061         8
       0.3625     1.00155        16
       0.4125     1.00031         8
       0.4375     1.00010         8
       0.4625     1.00081         8
       0.4875     1.00230        12
       0.5125     1.00091         8
       0.5375     1.00022         8
       0.5625     1.00037         8
       0.5875     1.00188        24
       0.6375     1.00085         8
       0.6625     1.00064        24
       0.6875     1.00317        12
       0.7125     1.00102         8
       0.7375     1.00066        16
       0.7625     1.00222        16
       0.7875     1.00216        16
       0.8125     1.00070        16
       0.8375     1.00126        16
       0.8625     1.00297        28
       0.8875     1.00109         8
       0.9125     1.00064        24
       0.9375     1.00328        32
       0.9625     1.00054        24
       0.9875     1.00381         8
       1.0125     1.00082        44
       1.0375     1.00106        16
       1.0625     1.00109        24
       1.0875     1.00250        48
       1.1125     1.00142        24
       1.1375     1.00187        48
       1.1625     1.00328        36
       1.1875     1.00123        40
       1.2125     1.00269        72
       1.2375     1.00079        48
       1.2625     1.00321        72
       1.2875     1.00258        56
       1.3125     1.00327        80
       1.3375     1.00307        52
       1.3625     1.00383        68
       1.3875     1.00312        76
       1.4125     1.00455        72
       1.4375     1.00446        84
       1.4625     1.00478        68
       1.4875     1.00484       116
       1.5125     1.00519        68
       1.5375     1.00543       108
       1.5625     1.00549       116
       1.5875     1.00561       100
       1.6125     1.00569       120
       1.6375     1.00595       132
       1.6625     1.00618       144
       1.6875     1.00641       188
       1.7125     1.00667       168
       1.7375     1.00714       224
       1.7625     1.00822       228
       1.7875     1.01219       204
       1.8125     1.02449       172
       1.8375     1.04854       112
       1.8625     1.06568         9
NODE i01j04k01                  14.47570
       0.0125     0.61463        60
       0.2375     0.67928         8
       0.2625     0.70190        16
       0.4375     0.76874         8
       0.5125     0.72027         8
       0.5375     0.73324        12
       0.6125     0.85822         8
       0.7125     0.80008         8
       0.7875     0.75818        16
       0.8125     0.92048         8
       0.9125     0.87802         8
       0.9875     0.82453         8
       1.0375     0.86908        16
       1.1125     0.93204         8
       1.1875     0.89342         8
       1.2125     0.99081         8
       1.2625     0.84465         8
