# radiative transfer cores injected into simsky2.w40
# tag  y_pix  x_pix  M_BE(Msun)  R_BE(arcsec)  SD_emb(cm-2)  FWHM(arcsec)  Td_avg(K)  local_column(cm-2)
i08j25k14      776   853     1.3015      68.05      4.8e+22      61.02     7.62    3.626e+22
i08j25k14      853   894     1.3015      68.05      4.8e+22      61.02     7.62     6.14e+22
i08j25k14     1112  1126     1.3015      68.05      4.8e+22      61.02     7.62    3.576e+22
i08j25k14     1064   943     1.3015      68.05      4.8e+22      61.02     7.62    3.454e+22
i08j25k14      714   669     1.3015      68.05      4.8e+22      61.02     7.62    3.467e+22
i08j25k14      936  1124     1.3015      68.05      4.8e+22      61.02     7.62    3.723e+22
i07j27k10      960   443     2.8650     184.67      2.4e+22      28.15     8.32    2.998e+22
i07j27k10      571   887     2.8650     184.67      2.4e+22      28.15     8.32     2.33e+22
i07j27k10      921  1332     2.8650     184.67      2.4e+22      28.15     8.32    1.711e+22
i07j27k10      424  1573     2.8650     184.67      2.4e+22      28.15     8.32    2.333e+22
i07j27k10      814   691     2.8650     184.67      2.4e+22      28.15     8.32    2.865e+22
i07j27k10     1105   726     2.8650     184.67      2.4e+22      28.15     8.32    2.093e+22
i07j27k10      703   988     2.8650     184.67      2.4e+22      28.15     8.32    2.257e+22
i07j27k10     1342   218     2.8650     184.67      2.4e+22      28.15     8.32    2.155e+22
i04j28k11     1666   317     4.2534     235.81        3e+21      32.32    12.44     4.22e+21
i04j28k11      346  1698     4.2534     235.81        3e+21      32.32    12.44     3.98e+21
i04j28k11     1690   122     4.2534     235.81        3e+21      32.32    12.44    4.094e+21
i04j28k11      427   113     4.2534     235.81        3e+21      32.32    12.44    4.241e+21
i04j28k11      777  1679     4.2534     235.81        3e+21      32.32    12.44    4.236e+21
i04j28k11     1460   122     4.2534     235.81        3e+21      32.32    12.44    4.205e+21
i04j28k11      918  1668     4.2534     235.81        3e+21      32.32    12.44     4.23e+21
i04j28k11      507    97     4.2534     235.81        3e+21      32.32    12.44    4.205e+21
