# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: hi.surface.density.r13p5.fits
# ABOUT CENTRAL POSITION (X1,Y1): 38,38 (PIXELS)
# TOTAL VALUE:  1.0194406E+25
# TOTAL STDEV:  4.1767089E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
    1   0.0000000E+00  0.0000000E+00  3.1042800E+21  1.0000000E-33 -1.0000000E-33
    2   3.0000000E+00  0.0000000E+00  3.0975267E+21  1.0000000E-33 -1.0000000E-33
    3   6.0000000E+00  0.0000000E+00  3.0606753E+21  1.0000000E-33 -1.0000000E-33
    4   9.0000000E+00  0.0000000E+00  3.0338696E+21  1.0000000E-33  1.7266721E-02
    5   1.2000000E+01  0.0000000E+00  2.9977702E+21  5.3547901E+18  2.1695281E-02
    6   1.5000000E+01  0.0000000E+00  2.9390946E+21  2.0488345E+19  4.1608916E-02
    7   1.8000000E+01  0.0000000E+00  2.8707906E+21  1.1198285E+19  8.8585063E-02
    8   2.1000000E+01  0.0000000E+00  2.8063766E+21  1.7021992E+19  1.2897056E-01
    9   2.4000000E+01  0.0000000E+00  2.7474856E+21  1.4031903E+19  1.4721494E-01
   10   2.7000000E+01  0.0000000E+00  2.7043472E+21  9.7583172E+18  1.4721494E-01
   11   3.0000000E+01  0.0000000E+00  2.6721568E+21  8.2043679E+18  1.4721494E-01
   12   3.3000000E+01  0.0000000E+00  2.6488573E+21  3.9766336E+18  1.3436248E-01
   13   3.6000000E+01  0.0000000E+00  2.6332404E+21  3.5018516E+18  1.1365396E-01
   14   3.9000000E+01  0.0000000E+00  2.6222806E+21  2.5225587E+18  9.1885076E-02
   15   4.2000000E+01  0.0000000E+00  2.6156029E+21  1.3856501E+18  6.7958242E-02
   16   4.5000000E+01  0.0000000E+00  2.6116449E+21  9.1520406E+17  5.2107052E-02
   17   4.8000000E+01  0.0000000E+00  2.6093035E+21  4.7277648E+17  3.4406217E-02
   18   5.1000000E+01  0.0000000E+00  2.6077071E+21  4.2243145E+17  2.1949629E-02
   19   5.4000000E+01  0.0000000E+00  2.6066084E+21  2.6239017E+17  1.3897852E-02
   20   5.7000000E+01  0.0000000E+00  2.6058238E+21  2.2224904E+17  1.0094421E-02
   21   6.0000000E+01  0.0000000E+00  2.6050852E+21  2.0926598E+17  7.3729927E-03
   22   6.3000000E+01  0.0000000E+00  2.6042553E+21  2.5312420E+17  6.5301580E-03
   23   6.6000000E+01  0.0000000E+00  2.6034407E+21  2.3749793E+17  6.5301580E-03
   24   6.9000000E+01  0.0000000E+00  2.6026314E+21  2.2252827E+17  6.7251421E-03
   25   7.2000000E+01  0.0000000E+00  2.6017968E+21  2.2851701E+17  6.9943662E-03
   26   7.5000000E+01  0.0000000E+00  2.6008766E+21  2.7384410E+17  7.5355987E-03
   27   7.8000000E+01  0.0000000E+00  2.5999178E+21  3.0928243E+17  8.6659211E-03
   28   8.1000000E+01  0.0000000E+00  2.5989826E+21  3.0059248E+17  9.4006829E-03
   29   8.4000000E+01  0.0000000E+00  2.5981382E+21  3.0750349E+17  9.4006829E-03
   30   8.7000000E+01  0.0000000E+00  2.5972873E+21  4.2959064E+17  9.4006829E-03
   31   9.0000000E+01  0.0000000E+00  2.5963935E+21  5.6488241E+17  9.5326744E-03
   32   9.3000000E+01  0.0000000E+00  2.5954576E+21  7.0508790E+17  1.0152341E-02
   33   9.6000000E+01  0.0000000E+00  1.8214738E+21  1.1895649E+21  1.0996196E-02
   34   9.9000000E+01  0.0000000E+00  1.5345993E+21  1.2776790E+21  5.5693017E+00
   35   1.0200000E+02  0.0000000E+00  1.3439237E+21  1.2980457E+21  5.5693017E+00
   36   1.0500000E+02  0.0000000E+00  1.0044891E+21  1.2654349E+21  1.0042745E+01
   37   1.0800000E+02  0.0000000E+00  9.8859435E+20  1.2607740E+21  5.5693017E+00
